Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00170236",83,11,2,1,-,8,2,30
"S00170237",96,5,4,-,7,11,16,26
"S00170238",152,10,3,-,2,12,6,27
"S00170239",121,3,3,-,9,16,26,29
"S00170240",103,6,3,-,5,8,12,20
"S00170241",146,16,3,-,1,8,8,26
"S00170242",154,7,3,-,6,21,17,39
"S00170243",95,10,3,1,1,7,9,28
"S00170244",63,7,1,1,3,20,15,15
"S00170245",96,11,3,1,5,25,26,31
"S00170246",99,10,2,-,1,8,5,16
"S00170247",86,4,2,-,2,6,9,16
"S00170248",161,12,5,-,2,24,12,35
"S00170249",100,8,5,-,6,12,13,22
"S00170250",125,17,3,2,7,37,26,46
"S00170251",111,8,2,-,1,9,11,27
"S00170252",105,18,6,-,13,14,19,25
"S00170253",111,5,6,-,8,17,27,25
"S00170254",133,4,3,-,2,7,15,17
"S00170255",180,9,1,-,4,19,24,42
"S00170256",130,15,2,2,4,18,19,38
"S00170257",104,3,-,-,1,1,7,7
"S00170258",80,4,1,-,1,5,3,17
"S00170259",147,7,-,-,4,13,13,32
"S00170260",99,9,5,-,-,11,5,38
"S00170261",116,22,16,2,6,39,21,34
"S00170262",74,12,5,1,1,21,12,23
"S00170263",72,-,-,-,17,7,19,16
"S00170264",94,11,3,-,4,14,10,22
"S00170265",106,6,3,-,4,17,6,25
"S00170266",62,2,-,1,1,6,3,13
"S00170267",67,8,3,1,2,14,11,17
"S00170268",112,9,6,-,6,10,7,31
"S00170269",205,6,2,-,9,5,17,29
"S00170270",151,9,3,-,4,15,17,27
"S00170271",101,12,2,4,3,10,12,15
"S00170272",91,2,1,-,2,6,5,21
"S00170273",93,2,-,-,4,1,11,15
"S00170274",73,4,2,-,3,2,11,13
"S00170275",123,14,1,-,3,13,6,36
"S00170276",98,7,5,1,5,15,4,28
"S00170277",170,15,5,-,5,24,19,47
"S00170278",78,6,1,-,9,5,14,12
"S00170279",122,17,9,-,4,22,18,24
"S00170280",167,-,1,-,1,2,8,16
"S00170281",170,13,1,-,1,9,12,34
"S00170282",131,4,3,-,10,8,14,29
"S00170283",111,4,3,-,2,7,12,21
"S00170284",68,4,1,-,1,4,3,12
"S00170285",138,10,1,1,5,22,21,21
"S00170286",83,7,3,-,4,6,4,15
"S00170287",135,15,2,-,1,11,11,18
"S00170288",118,9,3,-,2,6,7,31
"S00170289",69,4,1,1,4,3,10,16
"S00170290",113,10,5,1,13,21,19,30
"S00170291",126,8,3,-,4,15,17,33
"S00170292",174,16,9,1,5,29,19,35
"S00170293",151,11,4,-,6,12,5,29
"S00170294",105,6,2,-,3,10,13,26
"S00170295",232,7,4,-,12,4,16,18
"S00170296",109,11,5,1,5,23,14,20
"S00170297",92,5,-,-,4,5,10,19
"S00170298",162,16,1,-,6,14,11,26
"S00170299",129,6,6,1,8,21,25,33
"S00170300",112,12,1,-,5,9,9,22
"S00170301",169,13,6,2,13,32,42,40
"S00170302",88,2,5,-,6,13,17,32
"S00170303",149,8,2,-,12,18,19,30
"S00170304",139,1,3,-,3,2,16,3
"S00170305",165,8,9,-,2,11,15,47
"S00170306",180,6,-,-,3,7,10,23
"S00170307",89,14,8,-,1,13,6,24
"S00170308",122,12,5,-,5,25,21,41
"S00170309",81,3,2,-,2,7,8,15
"S00170310",108,12,5,-,-,17,14,25
"S00170311",87,8,1,-,2,13,6,15
"S00170312",76,7,2,-,1,7,6,29
"S00170313",141,7,1,-,1,14,8,33
"S00170314",186,5,-,-,5,9,1,34
"S00170315",146,11,4,2,-,19,15,35
"S00170316",118,11,6,-,5,11,20,29
"S00170317",65,4,5,1,8,14,25,16
"S00170318",110,11,3,1,5,22,21,22
"S00170319",68,8,-,-,5,8,12,10
"S00170320",134,11,7,-,5,16,24,30
"S00170321",140,5,2,-,6,20,17,19
"S00170322",155,10,1,-,7,4,14,18
"S00170323",73,6,-,2,12,18,21,34
"S00170324",93,5,3,2,2,7,6,16
"S00170325",125,11,4,-,8,13,18,27
"S00170326",171,17,5,1,3,17,10,37
"S00170327",150,4,1,-,23,15,36,24
"S00170328",107,6,7,1,10,14,24,20
"S00170329",110,13,5,1,3,7,1,21
"S00170330",68,11,2,-,2,22,16,28
"S00170331",61,8,3,-,6,14,16,21
"S00170332",87,6,1,-,2,10,11,22
"S00170333",87,3,2,-,5,14,26,21
"S00170334",67,5,-,-,1,6,9,9
"S00170335",164,7,3,-,5,6,12,29
"S00170336",114,8,5,2,3,9,7,25
"S00170337",110,16,4,1,5,18,10,31
"S00170338",82,6,5,-,3,18,24,22
"S00170339",123,14,7,-,4,21,13,36
"S00170340",80,6,7,2,7,16,18,9
"S00170341",76,10,4,-,3,13,18,22
"S00170342",104,3,1,1,11,16,16,29
"S00170343",105,5,2,-,6,21,30,30
"S00170344",90,3,1,-,7,21,26,31
"S00170345",121,10,1,-,4,21,21,27
"S00170346",128,12,2,-,6,22,14,31
"S00170347",112,1,-,-,3,4,7,14
"S00170348",91,12,1,1,4,17,8,35
"S00170349",83,6,2,-,4,7,4,16
"S00170350",124,10,4,-,5,17,19,27
"S00170351",89,3,-,-,2,3,6,17
"S00170352",91,12,4,-,6,12,8,21
"S00170353",71,1,1,-,10,17,24,13
"S00170354",133,-,3,-,2,6,11,18
"S00170355",84,3,2,-,4,12,16,13
"S00170356",102,7,-,-,5,11,9,22
"S00170357",120,12,4,-,4,22,17,41
"S00170358",129,19,6,-,7,18,9,26
"S00170359",145,12,4,-,4,29,19,38
"S00170360",70,7,-,-,-,10,9,21
"S00170361",98,6,3,-,7,15,11,22
"S00170362",89,11,5,1,13,24,12,26
"S00170363",78,6,3,-,5,14,5,26
"S00170364",146,9,6,-,15,22,24,38
"S00170365",95,9,2,-,9,13,14,14
"S00170366",176,12,2,-,8,27,29,42
"S00170367",140,8,2,-,6,15,17,35
"S00170368",113,8,2,-,-,20,12,23
"S00170369",100,9,5,-,6,17,23,27
"S00170370",74,-,-,-,4,10,12,24
"S00170371",179,4,-,-,5,3,7,17
"S00170372",78,7,5,4,8,14,11,31
"S00170373",106,8,2,-,12,19,15,23
"S00170374",71,6,5,2,8,8,18,14
"S00170375",144,11,6,-,7,20,17,33
"S00170376",72,6,1,-,3,7,6,15
"S00170377",63,5,1,-,6,12,10,15
"S00170378",251,4,3,-,6,8,16,28
"S00170379",84,4,1,-,7,9,18,13
"S00170380",81,7,2,2,-,4,3,17
"S00170381",140,14,4,-,4,10,14,20
"S00170382",62,8,1,1,2,8,1,11
"S00170383",264,5,3,1,8,7,9,26
"S00170384",68,1,2,-,-,6,9,13
"S00170385",126,10,5,-,-,14,7,34
"S00170386",80,11,1,-,6,16,17,25
"S00170387",106,17,1,1,15,17,23,31
"S00170388",172,10,4,2,6,22,19,36
"S00170389",64,3,4,1,2,11,10,13
"S00170390",128,2,-,-,5,6,4,20
"S00170391",96,7,6,2,17,22,17,24
"S00170392",139,6,5,-,7,20,24,32
"S00170393",99,7,1,-,8,20,19,21
"S00170394",88,12,10,1,3,18,13,26
"S00170395",128,9,2,1,8,7,12,17
"S00170396",89,11,4,4,4,17,14,21
"S00170397",159,18,2,-,10,23,21,34
"S00170398",103,3,4,-,6,11,19,18
"S00170399",89,7,-,-,2,5,8,24
"S00170400",253,12,14,2,19,34,33,87
"S00170401",112,5,-,-,7,18,19,27
"S00170402",85,10,1,-,1,10,13,13
"S00170403",110,12,5,-,3,10,5,24
"S00170404",140,6,1,-,9,11,10,24
"S00170405",188,6,4,1,14,30,31,38
"S00170406",117,4,-,-,1,9,9,23
"S00170407",104,6,-,-,8,9,13,17
"S00170408",72,10,4,1,2,22,15,25
"S00170409",75,3,1,-,1,4,11,16
"S00170410",131,10,2,-,6,17,21,39
"S00170411",161,6,4,-,6,15,24,34
"S00170412",64,6,6,-,4,12,11,13
"S00170413",115,3,2,-,6,12,21,28
"S00170414",117,16,6,-,-,18,10,35
"S00170415",101,10,6,1,3,16,7,23
"S00170416",106,13,4,1,7,20,15,26
"S00170417",83,7,6,1,5,20,13,27
"S00170418",89,2,1,-,2,13,18,22
"S00170419",169,14,3,-,6,6,6,24
"S00170420",134,6,1,-,1,10,11,26
"S00170421",78,14,9,-,3,20,5,29
"S00170422",184,4,1,-,6,7,9,22
"S00170423",116,7,3,-,8,25,26,31
"S00170424",63,4,-,-,4,5,14,9
"S00170425",63,5,1,1,1,8,1,11
"S00170426",136,6,2,-,12,8,11,31
"S00170427",130,7,4,-,6,14,6,35
"S00170428",125,6,1,-,4,8,16,19
"S00170429",81,3,1,1,2,7,8,12
"S00170430",78,16,7,-,3,11,6,21
"S00170431",240,19,12,3,13,54,65,71
"S00170432",204,8,-,-,5,4,5,22
"S00170433",98,5,-,-,12,21,22,30
"S00170434",121,5,2,1,10,19,23,34
"S00170435",200,2,3,-,5,8,12,25
"S00170436",120,4,5,-,5,22,26,33
"S00170437",91,6,2,1,7,8,10,16
"S00170438",183,3,-,-,9,4,13,17
"S00170439",67,3,1,-,2,1,13,11
"S00170440",163,10,2,3,5,16,14,33
"S00170441",72,5,1,-,3,4,14,20
"S00170442",172,2,4,-,4,9,6,16
"S00170443",133,10,3,1,6,19,16,22
"S00170444",92,3,-,-,5,14,15,27
"S00170445",202,10,4,-,10,5,12,31
"S00170446",273,4,4,-,9,5,20,31
"S00170447",83,2,1,-,3,2,2,12
"S00170448",174,3,3,-,12,22,14,44
"S00170449",131,10,3,-,14,18,40,38
"S00170450",135,5,4,-,10,7,18,22
"S00170451",78,6,4,-,2,7,7,10
"S00170452",95,6,-,-,3,6,4,19
"S00170453",98,6,2,-,11,9,13,19
"S00170454",141,6,7,-,8,20,21,34
"S00170455",66,5,3,-,4,8,13,14
"S00170456",98,8,4,-,9,12,17,21
"S00170457",84,8,6,-,-,18,9,26
"S00170458",112,9,3,2,11,17,14,22
"S00170459",124,12,6,4,10,21,21,32
"S00170460",134,9,8,-,10,27,26,29
"S00170461",106,6,5,-,7,25,34,24
"S00170462",97,7,7,1,10,18,21,23
"S00170463",78,5,-,-,-,10,19,16
"S00170464",126,11,5,-,7,22,34,36
"S00170465",193,3,-,-,6,6,9,22
"S00170466",104,24,7,-,6,31,19,44
"S00170467",111,8,3,-,5,13,11,28
"S00170468",105,8,6,2,4,11,16,28
"S00170469",103,2,-,-,-,3,4,13
"S00170470",102,11,5,-,6,15,19,25
"S00170471",91,5,6,4,6,14,13,19
"S00170472",66,5,1,-,6,8,11,13
"S00170473",130,12,8,-,10,17,26,37
"S00170474",81,5,-,-,9,12,13,16
"S00170475",133,7,8,4,8,21,19,23
"S00170476",106,8,1,-,5,14,16,25
"S00170477",79,4,-,1,2,11,17,17
"S00170478",210,8,2,-,5,14,9,26
"S00170479",93,6,4,1,8,20,14,31
"S00170480",138,9,2,2,7,20,22,38
"S00170481",93,2,2,-,3,5,8,12
"S00170482",75,6,2,-,3,15,7,18
"S00170483",160,11,6,-,10,17,17,41
"S00170484",117,5,-,1,8,15,36,21
"S00170485",175,7,3,1,3,4,13,37
"S00170486",163,12,3,-,9,8,17,29
"S00170487",132,20,9,1,8,38,13,35
"S00170488",161,3,-,-,2,7,8,26
"S00170489",151,9,2,-,14,20,29,33
"S00170490",105,11,6,-,8,24,17,23
"S00170491",108,9,2,-,12,18,12,34
"S00170492",68,2,2,-,4,7,4,16
"S00170493",80,6,2,-,4,14,20,19
"S00170494",70,4,2,2,4,10,13,16
"S00170495",113,12,2,-,5,9,17,21
"S00170496",63,6,3,-,4,2,16,17
"S00170497",106,15,4,-,4,24,25,31
"S00170498",113,18,8,2,5,32,20,36
"S00170499",103,7,2,-,4,16,9,21
"S00170500",134,6,2,1,12,19,30,22
"S00170501",64,6,2,-,2,8,7,13
"S00170502",171,13,3,-,7,37,24,49
"S00170503",98,8,6,-,4,13,6,26
"S00170504",125,11,3,-,11,16,16,22
"S00170505",84,7,1,1,5,19,20,27
"S00170506",61,4,1,-,1,8,6,17
"S00170507",173,23,12,4,15,47,49,81
"S00170508",131,6,6,2,10,26,25,28
"S00170509",146,11,3,-,11,16,31,22
"S00170510",92,8,4,-,3,8,11,20
"S00170511",88,5,5,-,6,16,7,23
"S00170512",70,7,2,1,3,13,6,20
"S00170513",95,2,2,-,14,7,20,22
"S00170514",170,21,17,1,4,27,60,91
"S00170515",112,3,-,-,2,10,12,27
"S00170516",198,6,4,1,5,17,21,39
"S00170517",136,11,3,-,5,17,15,37
"S00170518",69,6,4,-,4,18,18,21
"S00170519",89,11,-,-,4,15,13,26
"S00170520",101,19,12,1,4,38,16,32
"S00170521",63,4,1,1,5,11,9,16
"S00170522",83,7,1,-,3,6,12,16
"S00170523",190,10,7,-,5,24,23,48
"S00170524",135,10,4,-,7,16,21,20
"S00170525",79,2,1,-,4,5,4,26
"S00170526",116,7,5,1,3,10,10,18
"S00170527",292,5,1,-,8,7,19,37
"S00170528",91,15,10,-,6,24,9,32
"S00170529",62,3,3,-,4,10,8,18
"S00170530",162,5,2,2,5,10,15,25
"S00170531",112,5,4,-,3,19,8,32
"S00170532",110,9,1,1,4,16,14,35
"S00170533",176,6,6,-,4,4,18,30
"S00170534",81,7,3,2,6,7,13,18
"S00170535",122,3,4,-,3,10,20,25
"S00170536",138,21,11,3,2,31,27,54
"S00170537",110,1,-,-,7,2,7,16
"S00170538",85,2,1,-,1,13,14,26
"S00170539",108,1,2,1,14,9,15,26
"S00170540",133,1,2,2,2,5,5,28
"S00170541",92,11,-,2,2,15,16,26
"S00170542",112,8,3,-,10,14,24,23
"S00170543",63,3,-,-,5,3,10,8
"S00170544",106,18,6,-,-,14,12,30
"S00170545",107,8,-,-,-,12,15,19
"S00170546",77,6,-,-,1,17,7,24
"S00170547",246,11,4,-,12,11,19,36
"S00170548",140,5,-,-,7,4,13,22
"S00170549",159,11,2,2,11,17,12,32
"S00170550",151,13,8,-,7,28,19,48
"S00170551",120,12,7,2,10,12,17,28
"S00170552",73,4,1,-,6,4,9,12
"S00170553",172,16,6,-,11,24,18,44
"S00170554",137,12,4,-,3,17,19,23
"S00170555",144,8,2,1,14,20,18,35
"S00170556",97,9,3,-,6,10,10,23
"S00170557",160,9,4,-,6,16,22,38
"S00170558",128,12,2,-,4,18,11,28
"S00170559",87,11,5,-,6,5,18,17
"S00170560",130,15,6,-,2,17,14,35
"S00170561",119,13,1,-,14,26,17,32
"S00170562",76,5,2,-,1,7,8,19
"S00170563",98,4,2,-,8,13,17,23
"S00170564",72,9,3,-,6,14,20,24
"S00170565",65,9,1,-,3,15,9,28
"S00170566",97,10,3,-,1,13,9,26
"S00170567",151,11,2,-,8,19,14,34
"S00170568",112,10,-,-,3,8,18,17
"S00170569",125,19,11,5,22,36,22,48
"S00170570",97,7,2,-,6,12,10,20
"S00170571",128,15,7,1,9,11,12,31
"S00170572",190,3,3,-,6,11,12,23
"S00170573",83,5,1,-,-,5,5,22
"S00170574",87,14,6,-,4,11,8,28
"S00170575",86,12,2,-,4,11,7,16
"S00170576",90,6,1,1,3,2,10,21
"S00170577",175,14,6,-,10,27,16,44
"S00170578",89,9,1,1,7,17,8,26
"S00170579",136,6,3,1,5,11,19,30
"S00170580",121,9,-,1,3,15,15,32
"S00170581",72,13,5,-,6,30,24,38
"S00170582",161,8,2,1,10,15,26,26
"S00170583",74,3,4,-,6,11,18,18
"S00170584",149,15,9,-,11,21,31,36
"S00170585",85,2,-,-,9,6,16,18
"S00170586",160,6,2,-,8,14,32,38
"S00170587",160,6,1,-,6,16,15,38
"S00170588",169,20,8,-,2,22,8,46
"S00170589",268,10,4,1,6,10,22,52
"S00170590",162,12,4,-,4,15,14,45
"S00170591",153,7,3,-,5,11,10,27
"S00170592",121,14,3,-,3,22,18,37
"S00170593",137,12,3,-,10,17,16,48
"S00170594",80,13,8,-,1,23,19,31
"S00170595",111,20,14,-,1,36,25,46
"S00170596",148,18,5,-,5,31,13,50
"S00170597",94,8,7,1,2,21,10,33
"S00170598",138,13,3,-,3,18,12,38
"S00170599",106,14,4,-,2,18,23,32
"S00170600",148,18,6,-,4,17,19,34
"S00170601",95,13,3,-,3,8,6,22
"S00170602",175,16,4,-,4,21,16,44
"S00170603",114,15,10,2,7,16,10,33
"S00170604",73,10,-,-,3,9,12,18
"S00170605",82,8,-,-,5,10,10,19
"S00170606",84,4,1,-,6,7,11,18
"S00170607",126,5,3,-,3,16,12,31
"S00170608",155,16,5,1,6,24,23,46
"S00170609",164,17,5,1,12,30,16,42
"S00170610",106,12,7,-,11,16,15,22
"S00170611",149,19,7,-,10,19,13,39
"S00170612",113,7,4,-,9,14,8,37
"S00170613",77,8,7,-,8,13,10,24
"S00170614",102,10,-,-,1,14,13,30
"S00170615",122,11,-,-,3,5,8,25
"S00170616",90,11,2,-,1,10,5,30
"S00170617",95,10,1,-,2,19,13,27
"S00170618",97,15,2,-,3,8,7,27
"S00170619",140,10,-,-,7,11,19,39
"S00170620",84,8,5,-,6,8,5,27
"S00170621",97,4,-,-,4,9,5,23
"S00170622",112,9,3,-,8,5,9,23
"S00170623",87,4,1,1,4,9,5,27
"S00170624",76,9,4,-,7,5,6,22
"S00170625",65,3,4,-,6,3,4,13
"S00170626",151,15,2,-,8,14,9,32
"S00170627",139,12,4,-,5,6,4,22
"S00170628",102,8,7,-,1,10,4,18
"S00170629",91,8,3,1,2,9,7,17
"S00170630",149,11,-,-,5,8,14,19
"S00170631",121,7,4,-,-,12,7,28
"S00170632",124,6,4,1,6,13,11,30
"S00170633",131,13,2,-,4,7,10,21
"S00170634",108,14,4,-,7,16,14,47
"S00170635",73,6,2,-,8,11,16,19
"S00170636",74,11,6,-,2,9,10,17
"S00170637",97,6,2,-,7,7,14,14
"S00170638",126,17,8,-,7,23,20,34
"S00170639",133,16,2,-,8,9,11,27
"S00170640",148,16,11,5,9,21,11,43
"S00170641",160,8,-,-,6,11,10,32
"S00170642",124,9,4,-,3,5,6,22
"S00170643",148,13,3,-,2,15,11,28
"S00170644",147,12,5,-,8,16,13,41
"S00170645",60,6,-,-,3,7,1,18
"S00170646",93,8,1,-,3,15,4,16
"S00170647",136,7,3,-,5,10,9,31
"S00170648",80,-,1,-,2,2,4,15
"S00170649",136,5,2,-,5,10,6,34
"S00170650",118,7,2,-,7,6,7,28
"S00170651",96,4,3,-,2,9,6,13
"S00170652",134,5,9,-,7,10,14,46
"S00170653",107,9,2,-,1,7,9,22
"S00170654",117,6,3,1,5,13,4,22
"S00170655",80,7,1,-,5,10,9,15
"S00170656",174,16,5,-,7,10,18,32
"S00170657",134,9,2,-,6,12,9,37
"S00170658",145,10,8,-,20,17,23,32
"S00170659",73,2,5,1,4,10,5,18
"S00170660",79,5,5,-,6,9,7,12
"S00170661",135,12,-,-,2,5,3,28
"S00170662",187,13,1,1,4,7,9,34
"S00170663",116,8,5,-,2,8,11,16
"S00170664",175,11,1,-,4,12,12,37
"S00170665",133,19,1,-,9,5,4,32
"S00170666",92,7,2,-,-,3,6,16
"S00170667",177,7,-,1,12,13,12,36
"S00170668",85,4,2,-,8,7,13,17
"S00170669",97,10,3,-,6,9,7,25
"S00170670",104,4,4,-,5,18,12,38
"S00170671",114,5,7,-,9,20,23,24
"S00170672",103,6,6,2,7,8,16,19
"S00170673",160,8,1,-,14,13,24,27
"S00170674",125,12,8,-,3,13,8,25
"S00170675",109,12,3,-,-,3,6,25
"S00170676",123,11,1,-,13,6,16,26
"S00170677",110,7,-,-,2,6,6,19
"S00170678",105,3,2,-,2,2,8,21
"S00170679",155,2,-,-,12,7,15,21
"S00170680",164,1,3,-,15,6,36,30
"S00170681",87,3,2,-,9,4,14,15
"S00170682",127,16,5,2,9,12,12,29
"S00170683",62,4,3,-,6,4,16,19
"S00170684",62,2,2,-,6,5,10,16
"S00170685",78,9,1,-,3,5,6,14
"S00170686",80,7,2,-,4,10,9,17
"S00170687",148,8,2,-,4,4,3,28
"S00170688",105,10,6,-,6,22,20,27
"S00170689",94,9,5,-,1,3,9,21
"S00170690",101,9,2,-,-,10,3,23
"S00170691",118,10,2,-,5,8,18,26
"S00170692",137,7,2,-,18,14,22,28
"S00170693",62,8,3,1,4,7,12,15
"S00170694",143,10,6,-,5,13,6,25
"S00170695",108,14,6,-,5,13,13,31
"S00170696",97,6,4,1,6,21,17,27
"S00170697",96,6,1,-,14,19,17,31
"S00170698",145,6,5,-,1,12,8,28
"S00170699",138,11,3,1,7,12,8,25
"S00170700",152,7,-,-,12,11,17,41
"S00170701",196,8,6,1,34,20,36,37
"S00170702",63,7,5,-,7,6,12,20
"S00170703",107,8,8,-,18,15,24,31
"S00170704",88,10,2,-,5,11,7,16
"S00170705",91,16,7,4,13,31,15,39
"S00170706",78,11,2,2,4,17,7,25
"S00170707",119,7,10,-,19,6,20,33
"S00170708",70,3,-,-,9,7,13,19
"S00170709",162,16,2,-,7,14,15,40
"S00170710",150,16,5,-,16,11,11,33
"S00170711",95,10,1,1,10,11,8,29
"S00170712",90,6,5,-,3,8,6,15
"S00170713",80,5,1,-,4,13,9,19
"S00170714",167,10,1,-,10,19,19,32
"S00170715",160,15,7,-,10,21,15,37
"S00170716",112,7,1,-,8,9,19,24
"S00170717",88,16,8,2,9,23,27,32
"S00170718",119,9,2,-,6,6,15,19
"S00170719",161,32,18,3,14,36,29,54
"S00170720",88,5,-,-,5,8,13,21
"S00170721",92,3,1,-,4,13,9,26
"S00170722",69,9,4,-,2,8,10,19
"S00170723",74,4,4,-,7,2,4,17
"S00170724",89,9,2,1,4,4,8,21
"S00170725",108,11,2,-,9,6,6,16
"S00170726",166,10,-,1,15,18,30,33
"S00170727",213,2,3,-,23,12,24,21
"S00170728",98,5,1,-,1,7,3,18
"S00170729",108,10,-,-,1,10,4,22
"S00170730",108,11,2,4,7,13,7,20
"S00170731",90,10,2,-,8,12,11,19
"S00170732",78,14,6,-,2,13,5,23
"S00170733",121,8,3,2,4,19,13,29
"S00170734",105,7,4,-,7,14,15,29
"S00170735",65,7,1,-,-,7,7,12
"S00170736",98,7,3,-,6,3,1,30
"S00170737",81,8,-,-,8,3,10,21
"S00170738",179,17,3,-,21,12,10,36
"S00170739",66,8,2,1,1,6,2,16
"S00170740",139,15,6,1,12,13,20,28
"S00170741",179,14,3,-,10,18,12,32
"S00170742",95,7,1,-,8,10,19,16
"S00170743",71,7,-,-,-,3,1,12
"S00170744",111,14,4,1,4,17,10,34
"S00170745",81,6,1,-,4,9,8,15
"S00170746",184,11,3,-,4,10,9,26
"S00170747",158,10,3,-,4,16,11,36
"S00170748",160,18,12,2,11,19,14,28
"S00170749",75,13,8,-,5,10,6,15
"S00170750",115,3,8,-,5,10,18,21
"S00170751",96,6,1,-,8,13,14,24
"S00170752",83,12,1,-,5,10,6,15
"S00170753",75,7,2,-,3,9,6,13
"S00170754",62,1,1,1,2,3,6,14
"S00170755",96,9,6,-,4,18,6,30
"S00170756",119,8,3,-,3,4,5,13
"S00170757",133,13,1,-,12,15,20,24
"S00170758",110,11,3,-,4,16,18,30
"S00170759",102,9,1,-,3,7,10,19
"S00170760",64,5,1,-,7,5,13,18
"S00170761",68,7,3,-,7,2,9,7
"S00170762",146,11,2,-,6,6,3,26
"S00170763",155,5,3,-,7,15,11,36
"S00170764",223,15,4,1,15,11,17,37
"S00170765",181,12,5,-,11,10,12,49
"S00170766",124,15,4,-,3,17,9,25
"S00170767",145,15,1,-,6,7,14,30
"S00170768",176,14,2,-,6,14,11,39
"S00170769",110,15,3,2,5,9,8,19
"S00170770",222,8,-,-,11,10,13,42
"S00170771",169,4,3,-,15,13,20,35
"S00170772",133,10,4,-,10,21,15,41
"S00170773",77,9,3,1,4,18,13,27
"S00170774",162,11,9,1,9,21,22,45
"S00170775",63,13,4,-,4,11,7,25
"S00170776",88,9,3,-,1,10,15,22
"S00170777",205,13,6,-,5,18,15,44
"S00170778",173,8,3,-,5,5,10,35
"S00170779",174,12,6,-,14,22,19,42
"S00170780",135,19,4,-,6,17,10,36
"S00170781",82,11,5,-,4,9,4,15
"S00170782",152,17,8,3,11,24,26,43
"S00170783",82,13,5,-,4,15,6,30
"S00170784",136,13,6,-,6,11,13,43
"S00170785",119,15,2,-,8,15,8,34
"S00170786",92,17,1,-,6,17,19,35
"S00170787",140,14,6,-,8,14,12,34
"S00170788",68,8,3,-,2,5,9,13
"S00170789",88,7,2,1,6,5,14,19
"S00170790",137,9,2,-,4,15,16,36
"S00170791",156,14,3,-,5,12,3,28
"S00170792",146,19,3,2,8,12,9,40
"S00170793",109,6,4,-,3,6,7,21
"S00170794",134,16,2,-,4,13,9,30
"S00170795",118,8,-,-,6,8,4,21
"S00170796",73,4,2,1,1,5,3,11
"S00170797",131,8,1,-,3,7,4,31
"S00170798",89,9,1,1,7,8,10,21
"S00170799",116,14,6,-,8,10,10,21
"S00170800",105,8,1,-,6,12,4,29
"S00170801",131,10,4,1,3,12,6,37
"S00170802",104,11,3,-,5,12,14,33
"S00170803",114,7,4,-,9,9,11,19
"S00170804",98,4,2,-,4,3,8,12
"S00170805",131,15,-,-,6,10,11,22
"S00170806",82,2,-,-,6,4,10,24
"S00170807",80,12,5,-,5,8,5,13
"S00170808",117,8,1,-,6,15,12,26
"S00170809",137,13,8,-,6,10,8,25
"S00170810",109,23,4,1,-,12,3,25
"S00170811",172,15,3,-,4,20,8,55
"S00170812",142,16,2,1,5,10,1,27
"S00170813",127,21,7,1,4,11,8,36
"S00170814",181,13,4,-,12,3,12,46
"S00170815",85,14,4,-,4,10,4,22
"S00170816",116,12,6,-,4,7,11,21
"S00170817",128,12,6,-,-,11,12,36
"S00170818",94,4,1,-,-,7,3,27
"S00170819",130,15,2,-,4,9,6,29
"S00170820",146,7,2,2,6,13,9,40
"S00170821",116,10,2,-,4,3,10,25
"S00170822",87,12,7,1,2,15,11,30
"S00170823",165,16,4,2,7,8,10,53
"S00170824",93,10,5,-,3,5,9,18
"S00170825",81,12,-,-,1,4,4,18
"S00170826",124,6,2,-,6,7,8,27
"S00170827",155,15,1,-,8,10,15,23
"S00170828",151,20,13,-,5,10,15,25
"S00170829",175,11,5,-,10,13,13,30
"S00170830",127,11,7,-,4,50,37,40
"S00170831",115,5,1,-,6,7,8,18
"S00170832",102,6,3,-,5,14,6,20
"S00170833",122,10,2,-,2,8,7,14
"S00170834",97,8,2,-,-,7,8,21
"S00170835",117,24,7,1,2,26,14,53
"S00170836",119,9,2,-,1,11,5,33
"S00170837",75,10,1,-,3,5,10,22
"S00170838",116,6,1,-,4,8,6,19
"S00170839",138,15,1,1,4,7,5,26
"S00170840",112,9,5,-,6,5,6,30
"S00170841",74,15,2,-,-,5,3,11
"S00170842",137,8,1,-,2,10,9,36
"S00170843",141,18,1,-,4,10,15,27
"S00170844",90,5,-,-,6,10,8,12
"S00170845",68,7,3,-,5,7,5,19
"S00170846",71,9,1,-,-,8,4,20
"S00170847",135,15,3,-,10,18,16,40
"S00170848",128,7,-,-,11,8,9,19
"S00170849",71,5,2,-,2,11,3,19
"S00170850",104,7,2,-,1,6,8,19
"S00170851",114,9,2,-,4,3,3,21
"S00170852",130,9,3,-,6,7,10,21
"S00170853",175,11,5,-,6,13,10,38
"S00170854",102,5,1,-,9,2,12,25
"S00170855",104,7,1,-,5,-,2,7
"S00170856",118,10,-,-,7,6,2,18
"S00170857",104,7,1,-,9,8,6,20
"S00170858",72,5,-,-,9,5,5,22
"S00170859",109,7,2,-,4,7,5,23
"S00170860",132,23,8,-,1,16,18,42
"S00170861",87,5,10,5,7,12,12,28
"S00170862",104,3,-,-,21,9,21,17
"S00170863",99,8,5,-,11,14,7,28
"S00170864",81,6,3,-,4,17,12,21
