Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00176918",115,-,3,5,-,3,10,16,5,4,3,7,2,15,-,12,12,12,4,4,-,-
"S00176919",67,-,1,3,2,-,9,6,5,6,-,7,-,6,4,5,5,5,-,3,-,-
"S00176920",84,-,-,9,-,2,16,14,1,4,2,5,-,-,1,10,5,11,-,7,-,-
"S00176921",53,-,-,-,-,1,5,7,3,8,-,1,-,2,9,7,2,6,-,1,-,-
"S00176922",28,-,-,4,-,-,5,1,1,1,-,-,-,1,-,4,4,2,-,2,-,-
"S00176923",37,-,1,4,1,-,2,5,1,-,1,3,-,4,-,1,1,7,2,-,-,-
"S00176924",48,-,-,-,-,1,1,6,5,4,-,6,-,2,1,5,-,2,3,4,-,-
"S00176925",41,-,-,2,-,-,-,5,3,4,1,1,-,-,1,3,3,11,2,1,-,-
"S00176926",44,-,-,2,-,-,5,6,4,4,-,2,-,3,4,7,-,8,1,2,-,-
"S00176927",109,-,3,8,-,-,12,14,4,8,4,7,1,10,2,9,6,7,3,7,-,-
"S00176928",60,-,-,11,1,-,2,6,8,9,2,1,-,3,2,4,1,7,1,3,-,-
"S00176929",66,2,4,5,1,-,8,6,2,5,-,3,5,2,1,8,5,6,2,5,-,-
"S00176930",48,-,-,9,2,-,2,12,-,4,3,-,-,2,6,5,2,5,1,1,-,-
"S00176931",57,-,-,5,1,1,8,14,2,4,3,1,-,-,-,4,3,10,-,4,-,-
"S00176932",64,-,-,4,2,-,4,4,1,-,1,2,2,5,5,6,11,12,2,2,-,-
"S00176933",39,-,-,3,-,-,1,2,-,3,2,7,-,1,2,7,6,4,2,-,-,-
"S00176934",135,-,-,6,2,2,8,16,5,6,6,11,2,11,7,14,21,15,2,2,-,-
"S00176935",58,-,-,5,-,-,7,8,5,3,2,3,-,1,1,8,5,7,1,-,-,-
"S00176936",96,-,-,9,1,-,7,19,3,12,3,3,-,4,8,11,3,15,1,-,-,-
"S00176937",37,-,-,2,1,-,1,1,1,3,1,2,-,2,4,5,4,4,1,3,-,-
"S00176938",40,-,2,1,-,-,4,8,1,-,1,3,-,3,3,3,-,5,2,2,-,-
"S00176939",71,-,-,7,-,-,5,5,1,3,1,5,-,6,-,8,10,11,7,2,-,-
"S00176940",33,-,-,3,-,-,-,1,6,3,-,1,-,5,1,3,2,9,-,-,-,-
"S00176941",38,-,-,4,-,-,4,4,-,4,-,-,-,-,-,7,2,8,-,4,-,-
"S00176942",45,-,-,5,1,1,3,3,2,3,-,1,2,5,3,3,3,3,4,1,-,-
"S00176943",35,-,-,2,-,1,2,2,4,7,1,1,1,-,2,-,2,2,2,3,-,-
"S00176944",46,-,-,7,-,-,4,4,-,-,-,3,2,4,3,8,5,5,-,-,-,-
"S00176945",78,-,-,7,1,1,4,7,4,1,4,2,-,4,7,14,7,12,3,3,-,-
"S00176946",39,-,-,1,-,-,-,7,5,1,-,1,-,1,-,4,1,9,2,1,-,-
"S00176947",78,1,-,22,-,5,3,9,4,4,2,1,-,4,1,6,5,11,1,3,-,-
"S00176948",63,-,-,7,1,-,5,12,6,5,2,4,-,-,1,9,3,7,-,3,-,-
"S00176949",57,-,1,8,-,1,2,7,4,5,2,2,-,2,2,8,4,8,-,2,-,-
"S00176950",54,-,-,7,-,-,7,4,1,3,2,7,-,4,-,6,6,5,1,2,-,-
"S00176951",88,-,-,12,1,1,3,17,4,3,4,4,-,4,6,5,8,12,2,3,-,-
"S00176952",56,-,-,5,-,-,2,13,5,4,1,3,-,2,6,5,5,7,5,-,-,-
"S00176953",52,-,-,4,-,-,2,8,4,2,1,2,1,-,2,7,1,13,-,-,-,-
"S00176954",79,-,-,3,3,-,7,12,2,4,2,8,1,9,2,11,5,4,-,3,2,-
"S00176955",65,1,-,1,2,-,2,8,2,3,4,4,4,4,3,13,6,6,5,1,-,-
"S00176956",126,2,1,5,2,-,12,11,12,5,4,6,1,6,3,19,13,19,1,-,-,1
"S00176957",74,-,-,3,-,2,6,9,6,9,4,1,-,3,6,7,4,13,2,2,-,-
"S00176958",29,-,-,4,-,-,4,3,1,1,1,-,-,-,2,2,-,4,3,1,1,-
"S00176959",38,1,-,6,-,-,2,7,3,6,-,1,-,-,3,2,-,3,2,4,-,-
"S00176960",41,-,-,3,-,-,3,6,1,4,2,3,-,2,3,6,1,3,1,1,-,-
"S00176961",69,-,-,2,-,-,14,6,-,5,1,3,-,5,5,9,3,11,-,2,-,-
"S00176962",49,-,-,1,-,-,4,8,4,7,-,-,-,-,4,4,6,6,1,-,-,-
"S00176963",40,-,-,9,-,2,4,2,-,6,-,-,-,-,2,4,2,4,-,1,-,-
"S00176964",95,-,-,12,-,-,9,10,7,4,2,3,1,3,6,7,10,11,1,3,1,-
"S00176965",93,-,2,5,-,-,12,6,1,10,5,4,3,8,-,5,11,19,3,3,-,-
"S00176966",33,-,-,2,-,-,2,4,2,-,1,2,-,3,-,4,5,3,-,5,-,-
"S00176967",37,-,-,4,-,-,1,3,5,-,-,1,-,3,3,2,4,8,1,-,-,-
"S00176968",73,-,2,6,1,1,8,7,4,-,2,3,-,6,5,11,2,11,1,2,-,-
"S00176969",39,-,-,6,1,-,3,7,1,3,3,1,1,-,3,7,3,-,3,1,-,-
"S00176970",44,-,-,6,-,1,3,3,1,1,-,3,1,2,3,6,3,5,1,1,-,-
"S00176971",27,-,-,3,1,-,4,1,-,-,-,2,3,1,2,3,1,3,-,1,-,-
"S00176972",33,-,-,9,-,-,-,9,2,1,1,-,-,4,2,3,2,2,-,-,-,-
"S00176973",57,-,-,6,-,-,9,7,1,2,-,4,1,5,3,7,7,6,1,3,-,-
"S00176974",54,-,-,4,-,-,4,8,1,2,1,6,1,4,3,5,2,11,1,-,-,-
"S00176975",41,-,2,4,-,-,-,8,-,2,-,3,-,1,8,2,4,6,-,-,-,-
"S00176976",30,1,2,3,-,-,-,1,1,2,-,3,-,2,1,3,5,5,2,-,-,-
"S00176977",51,1,-,5,-,-,2,8,6,3,1,3,-,3,2,4,3,8,2,1,-,-
"S00176978",29,-,1,-,-,-,6,5,2,-,-,-,-,2,4,3,2,11,-,-,-,-
"S00176979",45,-,-,3,2,-,4,1,1,6,1,-,-,2,2,5,4,4,1,3,-,-
"S00176980",30,-,-,1,-,-,1,6,2,3,-,1,-,-,3,4,2,4,-,-,-,-
"S00176981",59,-,-,2,2,-,4,4,2,5,2,1,1,3,4,8,2,14,2,4,-,-
"S00176982",42,-,-,8,-,-,3,6,3,-,1,1,1,2,-,9,3,5,1,-,-,-
"S00176983",22,-,-,2,-,-,2,2,2,1,-,-,-,-,-,1,3,7,-,2,-,-
"S00176984",51,-,-,2,-,-,5,3,5,1,2,4,-,1,7,8,8,5,-,-,-,-
"S00176985",35,-,-,2,-,-,-,5,4,4,1,-,-,3,3,4,5,3,-,-,1,-
"S00176986",63,-,-,7,-,1,1,9,7,3,3,4,-,4,3,10,1,4,1,1,-,-
"S00176987",66,-,-,11,-,2,4,10,6,3,1,3,-,5,7,9,-,4,-,-,-,-
"S00176988",53,-,1,4,1,-,11,7,2,2,1,2,-,2,-,4,5,9,-,-,-,-
"S00176989",54,-,1,4,-,2,1,3,3,7,-,2,1,1,8,4,-,14,4,-,-,-
"S00176990",76,-,2,8,-,1,8,8,4,2,4,6,-,6,2,9,6,2,1,4,-,-
"S00176991",76,-,-,5,1,2,7,7,4,5,1,-,-,6,6,18,3,9,-,2,-,-
"S00176992",67,-,-,8,1,-,4,6,2,3,3,3,3,3,4,5,10,7,-,4,-,-
"S00176993",48,-,-,4,-,1,3,2,-,5,4,2,-,1,2,1,7,4,1,3,-,-
"S00176994",62,-,-,4,1,-,3,7,2,2,1,3,2,7,3,2,6,15,2,2,-,-
"S00176995",61,-,-,8,-,-,6,5,3,4,3,3,-,-,3,5,7,9,3,2,-,-
"S00176996",53,-,-,7,-,-,2,8,3,2,1,5,-,4,1,5,2,9,2,-,1,-
"S00176997",57,-,1,4,-,1,5,8,2,5,1,4,-,3,4,7,3,9,-,-,-,-
"S00176998",107,-,-,11,1,-,12,8,10,4,2,5,2,4,2,13,12,10,3,1,-,-
"S00176999",45,1,-,2,-,-,5,6,4,2,-,1,-,3,5,4,2,4,3,4,-,-
"S00177000",39,-,-,4,-,1,3,8,3,-,1,3,-,2,1,6,3,1,2,-,-,-
"S00177001",57,-,2,3,2,-,4,7,-,4,-,5,1,7,-,6,5,6,-,3,-,-
"S00177002",65,-,1,7,2,-,4,10,5,5,2,4,-,2,4,7,4,8,2,1,-,-
"S00177003",104,-,-,7,2,-,4,11,4,5,4,12,2,9,4,14,12,18,1,1,-,-
"S00177004",92,3,-,3,-,-,6,11,-,5,2,3,4,13,9,4,6,11,3,8,-,-
"S00177005",35,-,-,-,3,-,2,2,6,-,-,-,5,-,2,6,3,2,-,-,-,-
"S00177006",48,-,-,4,-,-,4,3,-,4,2,1,-,5,2,8,5,7,3,-,-,-
"S00177007",44,-,-,3,2,2,4,2,4,3,4,1,-,1,-,10,5,4,-,4,-,-
"S00177008",34,-,-,2,-,2,3,4,1,1,2,3,-,3,1,3,2,5,-,1,-,-
"S00177009",36,-,-,3,-,1,3,1,1,3,1,2,-,3,3,9,4,4,-,2,-,-
"S00177010",52,-,-,-,-,-,3,5,-,2,3,1,4,5,1,10,5,8,1,1,-,-
"S00177011",42,-,-,3,-,-,4,1,2,5,1,1,-,1,5,6,5,4,3,-,-,-
"S00177012",76,-,1,5,1,-,6,10,1,-,1,10,-,2,6,7,4,11,-,5,1,-
"S00177013",64,1,-,8,-,-,7,15,4,1,4,1,1,1,5,3,7,5,1,2,-,-
"S00177014",51,1,-,4,-,2,2,3,4,5,2,-,-,-,6,9,2,6,5,3,-,-
"S00177015",55,-,-,11,2,1,6,8,3,5,-,2,-,-,4,5,4,5,6,-,-,-
"S00177016",61,-,-,3,-,2,8,7,2,6,6,-,-,1,2,9,5,10,-,4,-,-
"S00177017",43,-,-,2,-,-,5,6,4,1,1,1,-,-,2,5,4,6,2,2,-,-
"S00177018",119,3,2,8,-,1,10,14,6,14,3,6,1,9,2,8,16,12,3,2,-,-
"S00177019",38,-,-,1,-,-,5,5,-,3,3,4,-,3,1,5,2,6,-,2,-,-
"S00177020",50,-,-,2,-,-,6,8,2,2,3,4,-,2,4,4,2,5,-,2,-,-
"S00177021",67,1,-,4,2,4,3,11,7,1,1,-,-,4,4,6,9,5,2,4,-,-
"S00177022",69,-,-,7,1,1,7,11,1,-,1,4,-,5,3,9,5,9,-,1,-,-
"S00177023",52,-,-,5,-,-,5,5,3,2,3,1,-,7,2,5,5,4,4,2,-,-
"S00177024",18,-,-,1,-,-,1,3,-,1,1,2,-,1,1,-,1,2,1,-,-,-
"S00177025",77,-,2,14,1,4,4,5,4,2,5,7,-,3,2,8,5,6,2,5,-,-
"S00177026",42,-,1,2,-,1,2,4,3,1,2,6,-,1,1,7,6,3,-,1,-,-
"S00177027",55,-,1,7,-,1,-,7,1,2,-,2,-,6,1,4,8,7,4,1,-,-
"S00177028",58,-,2,7,-,-,8,5,1,1,-,4,-,1,6,9,1,12,2,2,-,-
"S00177029",36,1,-,1,-,-,3,3,4,3,-,4,-,5,1,3,3,5,2,-,-,-
"S00177030",70,-,-,3,-,1,3,9,4,2,3,5,-,2,3,12,8,8,-,3,-,-
"S00177031",75,-,-,10,4,-,5,5,4,5,1,5,-,7,3,4,12,8,2,2,-,-
"S00177032",61,1,1,6,1,1,5,8,4,3,3,1,1,-,1,7,4,7,-,4,-,-
"S00177033",55,1,-,5,-,-,6,8,3,4,3,7,-,4,2,2,1,7,1,-,-,-
"S00177034",57,-,-,10,-,-,2,3,4,5,3,1,-,7,-,6,7,6,4,1,-,-
"S00177035",64,-,-,2,-,3,5,10,4,6,2,6,-,3,3,4,-,8,1,4,-,-
"S00177036",33,-,1,2,-,1,2,-,-,2,-,2,-,1,2,4,5,11,-,1,-,-
"S00177037",38,-,-,5,-,-,4,6,1,2,-,-,-,2,1,4,3,8,-,1,-,-
"S00177038",89,1,-,9,-,-,8,2,3,3,-,10,3,6,3,17,10,8,-,3,-,-
"S00177039",51,-,-,-,1,-,6,4,5,-,4,1,-,1,2,7,2,14,2,-,-,-
"S00177040",58,-,-,6,1,-,7,7,2,1,-,2,1,3,3,4,10,9,1,4,-,-
"S00177041",54,-,-,4,-,1,2,6,1,1,2,3,1,1,2,8,3,6,5,3,-,-
"S00177042",53,-,-,1,-,1,6,4,6,4,3,5,-,1,1,4,3,7,1,4,-,-
"S00177043",47,-,-,6,-,-,3,7,4,3,1,-,2,3,5,3,1,5,2,2,-,-
"S00177044",76,-,-,2,-,-,2,8,7,8,3,8,-,10,5,8,8,5,-,-,-,-
"S00177045",21,1,-,2,-,-,1,1,1,2,1,-,2,-,2,-,-,6,1,-,1,-
"S00177046",46,-,-,5,-,-,2,4,5,1,3,-,-,2,1,12,2,7,2,-,-,-
"S00177047",73,-,-,5,1,-,2,6,-,5,4,3,4,12,2,9,8,7,1,2,2,-
"S00177048",84,-,-,5,-,2,3,7,4,4,2,12,3,9,1,8,7,10,-,3,-,-
"S00177049",44,-,-,-,-,1,5,9,3,-,1,6,-,4,4,3,2,7,-,2,-,-
"S00177050",52,-,2,2,-,-,1,4,1,-,2,1,1,5,-,11,8,5,4,3,-,-
"S00177051",49,-,-,5,-,-,6,3,3,4,-,-,1,2,2,7,9,5,1,-,-,1
"S00177052",57,-,-,7,-,-,5,6,6,1,1,4,-,-,5,5,2,11,4,4,-,-
"S00177053",92,19,-,2,-,-,12,6,5,-,4,5,1,5,6,7,5,10,-,3,-,-
"S00177054",50,-,-,8,-,-,7,4,2,-,-,3,3,4,-,5,8,8,-,-,-,-
"S00177055",93,2,-,11,2,-,6,10,3,5,5,6,3,7,3,11,10,6,-,6,-,-
"S00177056",42,-,-,2,-,-,5,11,-,-,1,5,-,2,-,4,4,-,-,1,1,-
"S00177057",75,-,2,10,1,-,7,11,1,7,3,2,-,9,2,7,3,2,-,4,-,-
"S00177058",57,1,-,7,1,-,3,2,3,7,1,3,-,4,2,9,-,5,-,1,-,-
"S00177059",99,-,-,8,1,-,7,13,5,5,6,2,1,4,8,13,14,11,3,-,-,-
"S00177060",73,-,-,6,2,-,3,12,4,3,6,2,-,4,3,10,10,5,1,3,-,-
"S00177061",47,-,-,3,2,2,5,4,2,2,-,3,-,1,2,5,5,4,1,2,-,-
"S00177062",29,-,-,4,-,-,4,8,-,-,-,4,-,-,1,5,3,3,-,2,-,-
"S00177063",59,-,-,3,-,-,4,6,1,7,1,6,1,9,1,6,7,4,3,2,-,-
"S00177064",45,2,-,2,-,-,3,11,1,3,3,3,-,4,-,2,2,5,3,2,-,-
"S00177065",33,-,-,4,-,2,2,3,3,4,-,2,1,1,2,2,3,1,1,2,-,-
"S00177066",59,-,-,1,-,-,8,3,3,19,-,2,-,5,-,6,6,-,2,-,-,-
"S00177067",53,-,-,4,1,2,6,4,3,4,-,3,1,2,4,4,5,8,1,3,-,-
"S00177068",81,-,-,6,-,-,7,7,7,8,2,3,-,3,3,7,5,12,1,9,-,-
"S00177069",46,-,-,4,-,-,3,7,2,5,-,-,1,1,5,-,7,4,1,1,-,-
"S00177070",57,-,-,1,-,-,4,4,3,4,1,2,-,7,2,8,6,9,2,4,-,-
"S00177071",35,1,1,-,-,-,4,7,3,9,2,1,-,1,1,1,2,2,-,-,-,-
"S00177072",86,-,-,9,1,1,8,11,7,1,2,6,1,9,2,11,5,10,-,4,-,-
"S00177073",55,-,-,1,-,-,3,7,3,5,5,3,-,-,1,7,7,4,2,3,-,-
"S00177074",31,-,-,2,-,-,4,2,1,4,-,2,-,2,2,4,-,3,1,2,-,-
"S00177075",48,-,-,4,2,-,3,2,4,3,-,-,1,7,2,7,2,7,-,3,-,-
"S00177076",59,-,-,12,1,-,-,7,4,2,3,-,-,1,5,3,7,10,3,1,-,-
"S00177077",124,-,-,14,2,-,17,17,10,8,3,9,4,5,6,6,6,14,2,2,-,-
"S00177078",98,-,1,7,1,2,5,7,5,4,4,6,3,7,5,8,11,13,1,6,-,-
"S00177079",56,-,-,4,1,1,4,7,3,3,2,3,-,2,1,12,4,7,-,2,-,-
"S00177080",13,-,-,2,-,-,-,4,-,-,-,-,-,1,1,-,1,2,-,-,-,-
"S00177081",52,-,-,6,-,3,3,8,5,-,-,3,-,3,2,3,5,5,3,5,-,-
"S00177082",99,-,2,4,3,1,1,9,6,2,4,9,4,3,3,16,12,17,-,2,-,-
"S00177083",46,-,-,4,1,-,4,5,5,-,1,5,-,-,-,8,7,8,-,-,-,-
"S00177084",45,-,-,6,1,2,1,4,7,1,4,1,-,2,2,4,2,5,1,-,-,-
"S00177085",19,1,-,-,1,-,-,-,-,2,-,1,2,-,-,-,3,2,1,3,-,-
"S00177086",30,-,-,4,-,-,3,5,1,2,1,-,1,1,6,3,-,3,-,4,-,-
"S00177087",172,-,1,14,2,2,16,28,9,7,6,6,-,7,3,27,13,22,5,4,-,-
"S00177088",32,-,-,3,-,-,2,9,3,-,-,4,1,2,1,1,-,2,1,2,-,-
"S00177089",72,-,-,19,-,2,6,5,-,-,5,2,1,1,5,6,4,11,-,2,-,-
"S00177090",62,-,-,5,1,-,4,5,4,6,2,4,1,11,1,10,2,5,3,3,-,-
"S00177091",48,-,-,7,1,-,6,3,2,2,3,1,-,3,3,6,3,6,1,-,-,-
"S00177092",97,-,-,8,-,-,10,8,1,-,4,12,3,8,2,11,9,17,1,9,-,1
"S00177093",23,-,-,1,-,-,-,5,3,-,1,-,1,2,1,5,1,1,-,-,-,-
"S00177094",37,-,-,2,-,-,1,1,1,4,1,-,-,2,1,5,10,9,1,2,-,-
"S00177095",28,-,-,5,-,-,-,2,1,1,-,2,-,-,-,6,3,3,1,-,-,-
"S00177096",44,-,-,3,-,1,3,2,3,5,2,2,-,2,3,5,6,4,-,5,-,-
"S00177097",48,1,-,4,-,-,4,1,5,3,1,2,-,4,-,5,6,9,-,1,-,-
"S00177098",75,8,-,5,-,-,7,8,6,2,5,1,-,1,4,8,2,12,4,1,-,-
"S00177099",41,-,-,1,-,-,5,8,-,5,-,1,-,-,5,5,2,5,-,4,-,-
"S00177100",60,-,-,1,-,-,7,8,3,4,-,1,-,9,3,9,4,7,3,-,-,-
"S00177101",101,-,3,4,2,2,7,20,5,6,4,8,-,3,3,11,6,9,2,10,-,-
"S00177102",66,-,-,3,3,-,10,6,3,-,5,4,1,5,5,6,7,8,-,3,-,-
"S00177103",60,-,-,4,-,-,4,7,-,3,4,3,-,2,2,10,5,11,2,1,-,-
"S00177104",98,-,-,11,1,4,3,9,3,3,7,11,3,3,3,4,12,13,2,5,-,-
"S00177105",15,-,-,5,-,-,-,-,3,-,1,-,-,1,-,5,-,2,-,1,1,-
"S00177106",55,-,-,7,1,-,2,3,6,5,-,3,1,6,1,3,7,8,2,-,-,-
"S00177107",53,-,-,4,-,-,-,-,-,4,3,7,4,7,7,3,6,11,-,1,-,-
"S00177108",32,-,-,6,-,-,1,8,2,-,2,1,2,1,4,3,4,4,4,-,-,-
"S00177109",82,-,-,8,2,-,11,5,4,3,2,6,-,4,8,4,6,10,5,2,-,-
"S00177110",82,-,1,11,-,-,9,5,-,1,3,6,-,3,2,14,4,16,3,2,-,-
"S00177111",137,-,-,15,2,1,6,15,7,3,3,9,3,6,4,18,11,25,2,3,-,-
"S00177112",41,-,-,-,-,1,-,6,2,3,1,4,-,4,1,5,3,8,3,-,-,-
"S00177113",52,-,1,6,-,2,3,8,1,3,-,1,1,2,2,5,6,5,2,5,-,-
"S00177114",93,-,-,10,1,-,8,11,3,2,6,8,3,-,4,10,10,13,-,3,-,-
"S00177115",63,-,-,8,-,-,7,8,1,8,-,1,-,2,3,4,5,6,5,3,-,-
"S00177116",40,-,-,6,-,-,4,4,5,6,1,1,-,-,1,2,4,6,-,-,-,-
"S00177117",59,-,-,6,-,-,4,10,3,1,3,4,-,4,1,7,5,10,-,1,-,-
"S00177118",68,-,-,7,-,-,3,2,6,2,2,4,1,3,3,10,3,11,-,3,-,-
"S00177119",52,1,-,5,-,2,5,5,2,3,-,4,-,1,-,8,7,5,-,2,-,-
"S00177120",37,-,-,4,-,-,4,8,1,3,-,-,-,2,2,4,-,7,-,1,-,-
"S00177121",38,-,-,3,-,-,1,3,1,-,1,4,-,1,2,4,5,9,-,2,-,-
"S00177122",78,-,1,4,-,1,3,10,7,4,3,-,2,3,6,10,6,12,2,3,-,-
"S00177123",58,-,-,4,-,-,7,4,11,4,-,5,-,5,8,3,2,13,1,-,-,-
"S00177124",61,-,-,4,-,-,4,7,6,3,4,2,-,-,4,4,11,13,-,1,-,-
"S00177125",38,-,-,3,-,1,1,8,-,1,2,3,-,-,6,1,5,3,-,-,1,-
"S00177126",36,-,-,3,1,-,5,6,2,5,2,2,-,-,-,3,1,4,2,-,-,-
"S00177127",32,-,-,1,-,-,4,5,1,3,2,-,-,-,2,4,4,5,1,2,-,-
"S00177128",76,-,-,7,1,-,5,12,4,-,4,4,5,3,1,12,13,3,4,-,-,-
"S00177129",42,-,-,3,1,-,4,3,1,4,-,-,2,2,1,9,1,8,1,-,-,-
"S00177130",92,-,-,11,-,-,10,15,5,3,1,2,-,-,6,11,12,10,1,4,-,-
"S00177131",67,-,-,8,-,-,4,14,3,6,-,1,1,2,10,12,4,6,3,2,-,-
"S00177132",124,1,-,6,1,1,7,11,3,2,4,10,1,9,5,16,23,15,4,9,-,1
"S00177133",82,-,-,10,1,1,8,14,-,3,3,3,2,7,3,7,8,4,3,2,-,-
"S00177134",79,-,-,7,-,3,7,15,8,2,1,7,-,3,4,10,5,5,1,3,-,-
"S00177135",115,-,-,10,-,2,10,13,8,4,8,5,2,6,6,17,6,15,5,2,-,1
"S00177136",43,1,1,1,-,-,4,3,2,5,1,-,-,2,-,5,4,6,2,1,-,-
"S00177137",45,-,-,10,-,-,2,6,6,3,-,3,1,5,-,5,2,6,-,-,-,-
"S00177138",58,-,-,5,-,2,2,9,1,2,3,2,4,4,3,8,6,6,4,3,-,-
"S00177139",58,-,-,7,-,-,5,16,2,1,-,1,-,7,1,13,1,8,-,-,-,-
"S00177140",40,-,-,4,-,-,2,7,4,-,4,-,1,3,2,5,2,5,3,2,-,-
"S00177141",48,-,-,3,-,-,6,5,4,3,1,-,-,3,2,7,4,3,3,5,-,-
"S00177142",41,-,-,6,1,-,6,4,7,2,2,-,-,1,5,3,3,5,1,-,-,-
"S00177143",34,-,-,-,-,1,2,4,1,1,2,1,1,3,1,2,1,6,1,2,-,-
"S00177144",26,-,-,1,-,-,5,2,-,-,4,1,-,2,-,4,1,9,2,-,-,-
"S00177145",37,-,-,4,-,-,6,1,2,3,1,2,1,2,3,1,-,5,1,2,-,-
"S00177146",60,-,-,6,-,-,-,4,3,6,5,1,-,1,-,7,4,12,5,1,-,-
"S00177147",68,-,1,6,1,1,6,7,5,4,3,3,-,2,2,11,3,5,2,1,2,-
"S00177148",55,-,-,7,-,-,2,4,4,-,4,2,1,1,1,9,5,11,1,3,-,-
"S00177149",33,-,-,2,-,-,4,8,2,6,-,1,-,-,-,5,2,4,-,2,-,-
"S00177150",47,-,1,8,2,-,1,6,1,1,-,2,1,-,-,4,8,7,1,-,-,-
"S00177151",31,-,1,4,-,-,2,6,3,3,-,-,-,-,4,-,1,2,2,-,-,-
"S00177152",42,-,1,6,-,2,3,3,2,-,1,6,1,3,2,2,5,4,-,2,-,-
"S00177153",49,-,-,4,2,2,3,4,4,2,5,1,1,6,-,6,2,6,1,-,-,-
"S00177154",82,-,-,11,-,1,3,12,2,5,-,3,2,2,7,7,4,19,2,5,-,-
"S00177155",70,-,-,5,1,-,4,6,4,4,-,5,-,8,6,5,10,10,2,4,-,-
"S00177156",21,-,1,2,-,-,2,4,-,1,1,-,-,-,1,-,2,1,3,-,-,-
"S00177157",47,-,-,1,-,-,3,2,1,4,-,1,-,1,2,12,5,8,-,-,-,-
"S00177158",33,-,-,2,-,-,3,3,-,4,4,2,-,-,5,5,3,2,1,-,-,-
"S00177159",57,-,1,3,-,-,2,5,3,6,-,4,2,2,1,4,4,11,3,3,-,-
"S00177160",32,-,-,2,-,1,4,3,2,2,5,1,-,2,-,2,2,2,1,3,-,-
"S00177161",61,-,-,6,-,-,6,9,1,1,-,5,-,2,1,7,3,7,4,8,-,2
"S00177162",44,-,-,5,-,4,5,5,-,-,1,-,2,-,3,4,9,-,-,2,-,-
"S00177163",120,-,-,14,3,1,10,10,1,3,9,8,2,13,4,13,11,12,2,3,-,-
"S00177164",79,-,-,9,-,2,7,9,4,4,-,3,3,5,1,13,12,-,2,3,-,-
"S00177165",60,-,2,4,1,-,7,11,3,2,-,7,-,3,2,10,1,9,1,1,-,-
"S00177166",47,-,1,4,-,-,10,7,1,1,1,-,-,4,6,2,2,5,1,1,-,-
"S00177167",39,-,-,3,-,-,3,9,2,4,1,2,-,1,3,5,-,8,-,2,-,-
"S00177168",67,-,-,5,-,1,3,9,3,9,1,3,-,2,2,8,4,9,1,2,-,-
"S00177169",44,-,-,5,-,-,-,7,3,-,-,-,1,2,1,9,4,9,1,-,-,-
"S00177170",58,-,-,6,-,-,6,12,-,3,1,-,2,3,2,5,6,7,-,5,1,-
"S00177171",40,-,-,4,-,-,1,5,4,2,-,6,-,-,-,2,6,5,2,1,-,-
"S00177172",41,-,-,-,-,-,6,4,3,5,-,5,1,-,1,3,4,4,2,-,-,-
"S00177173",61,-,-,3,-,-,7,11,-,-,1,-,-,2,-,9,10,9,-,5,-,-
"S00177174",66,-,1,7,-,-,9,5,7,1,-,-,-,4,-,8,10,11,3,4,-,-
"S00177175",69,-,-,7,-,1,1,13,6,3,3,3,-,4,-,7,8,8,3,3,-,-
"S00177176",48,8,-,7,-,-,5,2,2,-,2,1,1,4,3,2,3,5,1,-,-,-
"S00177177",41,-,2,6,-,-,1,6,-,1,-,3,-,-,2,6,4,5,3,-,-,-
"S00177178",61,2,-,8,-,-,3,9,4,3,2,2,-,1,2,4,3,12,3,2,-,-
"S00177179",70,-,-,8,2,1,6,14,6,6,-,-,1,1,4,7,1,13,2,1,-,-
"S00177180",59,-,-,4,1,-,1,6,2,6,4,3,-,4,6,4,4,11,-,2,-,-
"S00177181",57,-,-,5,-,-,6,11,6,7,-,1,-,1,7,4,2,8,1,-,-,-
"S00177182",39,-,-,3,1,-,2,-,2,3,3,3,-,-,-,7,5,5,-,-,-,-
"S00177183",58,-,-,3,2,1,5,8,6,4,1,-,3,5,1,6,1,9,-,1,-,1
"S00177184",41,-,-,3,-,-,3,5,1,1,1,1,-,1,2,3,3,11,5,-,-,-
"S00177185",71,-,-,10,1,-,2,11,6,2,-,3,-,4,4,12,4,8,1,5,-,-
"S00177186",50,-,-,2,-,-,4,6,5,1,4,-,-,-,1,11,8,6,1,-,-,-
"S00177187",48,2,-,3,-,2,7,9,1,5,-,1,1,1,1,5,4,4,-,2,-,-
"S00177188",48,-,-,4,-,1,2,6,2,3,-,3,-,1,4,5,-,10,1,2,-,-
"S00177189",51,-,-,3,-,-,3,7,2,6,-,2,1,2,2,6,7,5,-,1,-,-
