Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00173324",105,104,6,47,51,5,5,-,-,-
"S00173325",112,35,3,3,30,76,74,2,-,-
"S00173326",70,11,-,6,9,59,56,4,-,-
"S00173327",110,83,21,53,10,29,29,-,-,-
"S00173328",134,132,131,1,-,2,2,-,-,-
"S00173329",110,8,4,-,4,102,102,-,-,-
"S00173330",96,71,9,38,28,21,21,-,-,-
"S00173331",141,73,15,50,10,68,68,-,-,-
"S00173332",86,22,4,10,8,68,68,-,-,-
"S00173333",97,33,12,2,19,60,60,-,-,-
"S00173334",78,26,6,14,6,52,52,-,-,-
"S00173335",118,114,1,43,70,4,4,-,-,-
"S00173336",131,115,59,37,23,9,9,-,-,-
"S00173337",100,100,11,83,6,-,-,-,-,-
"S00173338",93,60,3,9,49,33,31,2,-,-
"S00173339",113,104,59,42,3,6,6,-,-,-
"S00173340",84,74,4,11,59,8,8,-,-,-
"S00173341",170,54,20,14,22,117,117,-,-,-
"S00173342",112,47,14,22,14,65,65,-,-,-
"S00173343",98,81,2,21,56,18,18,-,-,-
"S00173344",195,195,93,92,7,-,-,-,-,-
"S00173345",65,49,5,15,26,16,16,-,-,-
"S00173346",123,123,24,102,-,-,-,-,-,-
"S00173347",135,135,50,85,-,-,-,-,-,-
"S00173348",61,51,-,36,12,10,10,-,-,-
"S00173349",130,125,69,51,4,5,5,-,-,-
"S00173350",72,11,4,5,2,61,61,-,-,-
"S00173351",95,91,-,26,66,7,7,-,-,-
"S00173352",93,81,1,28,55,9,9,-,-,-
"S00173353",120,120,49,67,3,-,-,-,-,-
"S00173354",104,37,28,12,-,67,67,-,-,-
"S00173355",145,30,4,12,11,115,115,-,-,-
"S00173356",96,98,-,29,67,2,2,-,-,-
"S00173357",76,5,-,5,-,71,71,-,-,-
"S00173358",125,114,87,13,14,11,1,10,-,-
"S00173359",157,105,89,15,-,52,41,12,-,-
"S00173360",62,8,-,8,-,54,54,-,-,-
"S00173361",178,141,105,39,-,29,29,4,-,-
"S00173362",191,191,189,-,2,-,-,-,-,-
"S00173363",69,70,15,15,39,4,4,-,-,-
"S00173364",105,19,-,12,7,86,86,-,-,-
"S00173365",65,63,15,38,8,5,5,-,-,-
"S00173366",150,31,5,27,1,121,121,-,-,-
"S00173367",75,53,38,12,5,20,20,-,-,-
"S00173368",120,115,5,46,64,4,4,-,-,-
"S00173369",179,175,166,9,-,6,6,-,-,-
"S00173370",87,84,5,17,62,4,4,-,-,-
"S00173371",102,84,7,67,10,18,18,-,-,-
"S00173372",159,147,10,14,123,12,12,-,-,-
"S00173373",99,27,1,12,10,72,72,-,-,-
"S00173374",87,49,4,38,-,42,38,4,-,-
"S00173375",127,122,92,26,4,5,5,-,-,-
"S00173376",110,57,12,22,28,55,55,-,-,-
"S00173377",97,81,27,9,53,12,12,-,-,-
"S00173378",142,142,133,7,4,-,-,-,-,-
"S00173379",85,83,4,48,33,2,2,-,-,-
"S00173380",161,157,81,56,21,2,2,-,-,-
"S00173381",142,142,70,63,13,-,-,-,-,-
"S00173382",68,65,-,40,23,3,3,-,-,-
"S00173383",174,161,7,79,75,13,13,-,-,-
"S00173384",81,18,-,14,4,65,65,-,-,-
"S00173385",146,33,5,15,13,113,113,-,-,-
"S00173386",92,83,-,20,67,8,8,-,-,-
"S00173387",213,141,29,57,55,72,70,-,-,-
"S00173388",239,236,184,40,12,3,3,-,-,-
"S00173389",68,15,-,15,-,57,57,-,-,-
"S00173390",113,76,-,22,54,37,37,-,-,-
"S00173391",109,109,19,89,1,-,-,-,-,-
"S00173392",163,80,79,-,-,82,84,-,-,-
"S00173393",207,204,123,18,63,5,5,-,-,-
"S00173394",94,88,62,24,2,6,1,5,-,-
"S00173395",95,87,-,44,43,5,5,-,-,-
"S00173396",184,184,33,50,97,-,-,-,-,-
"S00173397",80,26,9,9,9,57,56,-,-,-
"S00173398",87,83,76,4,1,6,3,3,-,-
"S00173399",72,66,-,58,3,6,6,-,-,-
"S00173400",91,71,-,23,52,19,19,-,-,-
"S00173401",120,119,62,57,-,1,1,-,-,-
"S00173402",69,22,7,18,-,47,47,-,-,-
"S00173403",86,52,7,6,36,34,34,-,-,-
"S00173404",108,108,28,68,12,-,-,-,-,-
"S00173405",79,52,14,16,22,19,19,-,-,5
"S00173406",89,17,3,10,4,72,72,-,-,-
"S00173407",149,146,130,12,5,3,2,2,-,-
"S00173408",91,81,-,32,49,12,12,-,-,-
"S00173409",122,122,22,96,4,-,-,-,-,-
"S00173410",131,21,7,11,3,110,105,5,-,-
"S00173411",157,151,9,118,24,2,2,-,-,-
"S00173412",91,91,87,9,-,-,-,-,-,-
"S00173413",101,81,2,11,68,20,20,-,-,-
"S00173414",156,155,102,40,17,1,1,-,-,-
"S00173415",106,59,7,32,23,48,43,5,-,-
"S00173416",110,22,5,12,3,91,78,9,-,-
"S00173417",141,140,21,63,60,3,3,-,-,-
"S00173418",125,118,2,41,74,7,7,-,-,-
"S00173419",166,156,36,24,96,10,10,-,-,-
"S00173420",165,161,16,143,2,7,7,-,-,-
"S00173421",144,25,9,7,9,119,119,-,-,-
"S00173422",60,24,12,4,5,36,36,-,-,-
"S00173423",60,2,4,-,1,55,53,3,-,-
"S00173424",136,106,6,51,48,27,27,-,-,-
"S00173425",67,28,8,1,19,39,39,-,-,-
"S00173426",70,50,-,27,27,20,20,-,-,-
"S00173427",84,20,4,8,8,64,59,9,-,-
"S00173428",97,88,4,28,56,9,9,-,-,-
"S00173429",116,94,3,33,58,22,22,-,-,-
"S00173430",128,118,57,49,12,10,10,-,-,-
"S00173431",156,151,55,72,24,5,5,-,-,-
"S00173432",107,62,36,21,10,45,45,-,-,-
"S00173433",118,21,3,13,5,98,98,-,-,-
"S00173434",88,82,15,9,58,6,3,-,3,-
"S00173435",111,100,95,4,3,11,1,10,-,-
"S00173436",114,98,3,20,74,15,15,-,-,-
"S00173437",87,74,11,15,48,13,13,-,-,-
"S00173438",113,113,10,100,3,-,-,-,-,-
"S00173439",157,156,11,63,79,4,4,-,-,-
"S00173440",121,104,-,18,86,17,16,-,1,-
"S00173441",124,119,68,36,15,6,6,-,-,-
"S00173442",106,101,2,25,74,5,5,-,-,-
"S00173443",164,160,151,7,1,3,3,-,-,-
"S00173444",137,137,40,99,2,-,-,-,-,-
"S00173445",60,41,2,20,15,22,22,-,-,-
"S00173446",123,110,4,10,96,13,13,-,-,-
"S00173447",81,58,1,35,22,21,21,-,-,-
"S00173448",247,247,106,68,73,-,-,-,-,-
"S00173449",121,7,2,4,2,114,112,2,-,-
"S00173450",126,126,113,10,-,-,-,-,-,-
"S00173451",71,65,-,16,50,9,9,-,-,-
"S00173452",100,97,11,67,21,3,3,-,-,-
"S00173453",170,158,6,48,104,10,10,-,-,-
"S00173454",163,156,128,17,11,8,8,-,-,-
"S00173455",129,113,32,62,20,18,18,-,-,-
"S00173456",131,126,118,4,-,9,9,-,-,-
"S00173457",166,37,7,7,27,129,127,-,-,-
"S00173458",144,144,138,4,2,-,-,-,-,-
"S00173459",70,29,11,8,10,41,40,-,-,-
"S00173460",91,88,-,11,77,-,-,-,-,4
"S00173461",84,6,4,3,-,78,78,-,-,-
"S00173462",61,54,10,19,25,8,8,-,-,-
"S00173463",77,63,2,8,53,14,14,-,-,-
"S00173464",182,180,8,82,88,5,5,-,-,-
"S00173465",99,62,7,15,40,38,38,-,-,-
"S00173466",97,92,4,24,65,5,5,-,-,-
"S00173467",145,104,103,1,-,37,37,-,-,-
"S00173468",171,155,145,7,5,16,16,-,-,-
"S00173469",113,104,-,31,72,10,10,-,-,-
"S00173470",124,99,1,46,54,25,25,-,-,-
"S00173471",167,131,9,36,86,35,35,1,-,-
"S00173472",65,51,4,25,24,11,11,-,-,-
"S00173473",120,120,67,53,-,-,-,-,-,-
"S00173474",186,183,174,5,5,3,3,-,-,-
"S00173475",145,113,-,51,62,32,32,-,-,-
"S00173476",131,30,1,21,7,101,101,-,-,-
"S00173477",136,125,10,79,36,9,9,-,-,-
"S00173478",70,72,35,35,2,2,2,-,-,-
"S00173479",154,154,136,2,15,-,-,-,-,-
"S00173480",111,80,49,27,5,28,28,-,-,-
"S00173481",180,180,83,80,15,-,-,-,-,-
"S00173482",63,63,53,6,4,-,-,-,-,-
"S00173483",105,105,54,44,4,-,-,-,-,-
"S00173484",63,27,5,5,14,36,36,-,-,-
"S00173485",78,71,3,18,47,7,7,-,-,-
"S00173486",102,85,2,23,58,17,17,-,-,-
"S00173487",183,66,4,21,42,120,118,3,-,-
"S00173488",113,101,92,5,4,12,12,-,-,-
"S00173489",117,74,-,15,59,47,47,-,-,-
"S00173490",95,76,4,16,60,23,23,-,-,-
"S00173491",79,46,-,18,28,33,33,-,-,-
"S00173492",78,28,9,15,3,54,54,-,-,-
"S00173493",87,87,-,56,31,-,-,-,-,-
"S00173494",114,79,67,12,-,39,16,26,-,-
"S00173495",76,45,43,2,-,27,27,-,-,-
"S00173496",146,79,19,55,5,67,62,6,-,-
"S00173497",172,172,74,87,16,-,-,-,-,-
"S00173498",94,33,1,22,7,61,57,3,-,-
"S00173499",72,23,6,1,16,47,47,-,-,-
"S00173500",109,16,-,4,17,93,93,-,-,-
"S00173501",109,81,2,16,63,28,28,-,-,-
"S00173502",104,81,31,20,30,23,20,3,-,-
"S00173503",174,168,-,106,62,6,4,2,-,-
"S00173504",72,72,2,38,30,-,-,-,-,-
"S00173505",141,134,51,79,1,6,3,3,-,-
"S00173506",108,93,6,12,75,16,16,-,-,-
"S00173507",147,58,7,15,39,89,89,-,-,-
"S00173508",123,119,19,10,84,6,7,-,1,-
"S00173509",155,147,111,6,28,5,3,2,-,-
"S00173510",124,123,86,34,3,-,-,-,-,-
"S00173511",149,32,-,3,27,116,116,-,-,-
"S00173512",122,90,38,33,19,36,24,4,-,-
"S00173513",89,66,1,7,58,23,23,-,-,-
"S00173514",60,36,-,7,29,24,22,2,-,-
"S00173515",99,93,67,25,2,5,5,-,-,-
"S00173516",63,2,1,-,1,61,60,2,-,-
"S00173517",142,114,9,58,49,28,28,-,-,-
"S00173518",129,45,8,7,28,84,78,6,-,-
"S00173519",93,80,5,31,44,14,9,4,-,-
"S00173520",119,28,-,8,20,91,73,-,19,-
"S00173521",183,116,59,40,15,66,66,1,-,-
"S00173522",148,131,-,33,98,17,13,-,4,-
"S00173523",102,102,5,23,74,1,1,-,-,-
"S00173524",154,116,17,26,74,38,38,-,-,-
"S00173525",124,119,33,88,-,3,3,-,-,-
"S00173526",98,30,13,9,6,66,66,-,-,-
"S00173527",138,114,6,29,82,24,24,-,-,-
"S00173528",64,62,-,24,38,2,2,-,-,-
"S00173529",84,7,-,-,7,77,77,-,-,-
"S00173530",156,135,27,106,2,20,18,2,-,1
"S00173531",90,82,6,36,40,8,4,4,-,-
"S00173532",111,111,76,27,12,-,-,-,-,-
"S00173533",162,119,21,36,64,43,43,-,-,-
"S00173534",78,34,4,15,15,44,36,8,-,-
"S00173535",143,128,8,60,60,15,15,-,-,-
"S00173536",113,108,13,24,71,1,1,-,-,-
"S00173537",94,93,3,15,75,-,-,-,-,-
"S00173538",123,118,77,41,-,5,5,-,-,-
"S00173539",75,19,4,16,1,59,50,6,-,-
"S00173540",154,39,13,10,16,117,117,-,-,-
"S00173541",83,22,15,2,4,57,55,-,2,-
"S00173542",219,216,143,59,14,3,3,-,-,-
"S00173543",115,89,13,31,42,30,30,-,-,-
"S00173544",111,108,17,56,35,3,3,-,-,-
"S00173545",106,102,91,5,6,4,4,-,-,-
"S00173546",131,57,17,34,6,74,72,2,-,-
"S00173547",70,27,-,4,23,43,43,-,-,-
"S00173548",87,85,15,35,35,2,2,-,-,-
"S00173549",141,134,23,19,93,3,3,-,-,3
"S00173550",89,89,34,46,7,-,-,-,-,-
"S00173551",155,125,15,58,52,30,30,-,-,-
"S00173552",188,122,17,75,31,64,64,-,-,-
"S00173553",110,51,-,22,29,55,55,-,-,-
"S00173554",85,80,27,51,3,5,3,1,1,-
"S00173555",114,104,7,32,66,10,10,-,-,-
"S00173556",158,122,25,29,65,39,39,-,-,-
"S00173557",94,87,6,25,56,7,7,-,-,-
"S00173558",86,60,1,24,35,26,24,-,-,-
"S00173559",116,111,4,42,66,4,4,-,-,-
"S00173560",179,148,46,58,44,31,31,-,-,-
"S00173561",135,116,5,18,93,19,19,-,-,-
"S00173562",121,121,54,67,-,-,-,-,-,-
"S00173563",215,205,116,56,37,10,10,-,-,-
"S00173564",127,75,9,39,28,54,54,-,-,-
"S00173565",75,75,-,28,47,-,-,-,-,-
"S00173566",88,85,46,40,-,2,2,-,-,-
"S00173567",159,130,3,6,121,32,30,3,-,-
"S00173568",153,84,15,25,41,69,66,3,-,-
"S00173569",147,134,28,70,35,13,13,-,-,-
"S00173570",151,151,90,32,27,-,-,-,-,-
"S00173571",123,111,10,84,19,12,12,-,-,-
"S00173572",110,93,-,32,57,17,17,-,-,-
"S00173573",80,65,12,20,38,15,15,-,-,-
"S00173574",87,24,3,13,8,63,63,-,-,-
"S00173575",70,70,6,46,15,1,1,-,-,-
"S00173576",139,126,6,61,58,14,14,-,-,-
"S00173577",141,83,16,16,51,60,60,-,-,-
"S00173578",145,145,10,59,76,-,-,-,-,-
"S00173579",93,93,56,26,4,-,-,-,-,-
"S00173580",118,114,6,10,99,4,4,-,-,-
"S00173581",79,62,5,21,36,17,17,-,-,-
"S00173582",159,144,70,33,37,14,12,-,-,-
"S00173583",161,147,4,33,113,14,14,-,-,-
"S00173584",144,134,-,60,74,10,10,-,-,-
"S00173585",111,110,4,25,81,1,1,-,-,-
"S00173586",117,109,7,73,29,4,2,2,-,-
"S00173587",65,65,1,5,58,-,-,-,-,-
"S00173588",102,88,19,46,19,14,14,-,-,-
"S00173589",80,64,-,24,40,16,16,-,-,-
"S00173590",76,73,25,34,11,2,-,2,-,-
"S00173591",110,94,3,43,46,16,15,2,-,-
"S00173592",134,121,7,8,104,13,13,-,-,-
"S00173593",71,46,-,24,19,22,19,5,-,-
"S00173594",74,53,-,3,49,19,19,-,-,-
"S00173595",103,86,2,39,45,17,17,-,-,-
"S00173596",156,157,66,74,13,2,2,-,-,-
"S00173597",95,72,10,24,40,23,21,2,-,-
"S00173598",137,91,6,20,65,45,45,-,-,-
"S00173599",100,88,10,16,61,12,12,-,-,-
"S00173600",139,139,9,98,39,-,-,-,-,-
"S00173601",97,97,5,17,74,-,-,-,-,-
"S00173602",100,94,13,41,42,6,6,-,-,-
"S00173603",89,86,-,49,37,3,1,2,-,-
"S00173604",124,107,11,22,74,17,17,-,-,-
"S00173605",118,114,1,39,74,6,6,-,-,-
"S00173606",95,92,-,77,15,3,3,-,-,-
"S00173607",180,169,40,77,52,11,11,-,-,-
"S00173608",95,62,6,22,34,37,37,-,-,-
"S00173609",159,140,7,48,85,19,19,-,-,-
"S00173610",104,104,20,73,11,-,-,-,-,-
"S00173611",61,49,38,11,-,12,12,-,-,-
"S00173612",180,180,122,49,11,-,-,-,-,-
"S00173613",115,83,6,58,22,32,32,-,-,-
"S00173614",108,42,5,27,12,65,65,-,-,-
"S00173615",112,111,6,9,92,4,4,-,-,-
"S00173616",146,141,2,13,126,6,6,-,-,-
"S00173617",113,92,30,22,40,21,18,3,-,-
"S00173618",168,159,2,19,139,9,9,-,-,-
"S00173619",135,100,-,16,84,35,35,-,-,-
"S00173620",119,117,-,49,68,2,2,-,-,-
"S00173621",144,123,3,36,84,21,17,4,-,-
"S00173622",115,113,70,36,2,5,-,5,-,-
"S00173623",98,95,1,34,60,3,3,-,-,-
"S00173624",77,77,57,13,3,-,-,-,-,-
"S00173625",170,166,132,28,6,4,4,-,-,-
"S00173626",108,104,15,43,49,4,4,-,-,-
"S00173627",104,65,9,31,23,39,39,-,-,-
"S00173628",182,180,143,18,19,1,1,-,-,-
"S00173629",99,70,2,17,50,29,29,-,-,-
"S00173630",90,88,66,18,4,-,-,-,-,1
"S00173631",137,135,115,20,-,-,-,-,-,-
"S00173632",107,106,-,41,68,-,-,-,-,-
"S00173633",93,46,40,4,1,44,44,-,-,-
"S00173634",124,124,79,42,-,-,-,-,-,-
"S00173635",89,89,29,60,-,-,-,-,-,-
"S00173636",103,97,20,66,11,6,6,-,-,-
"S00173637",150,95,27,26,42,55,53,-,2,-
"S00173638",95,88,21,44,23,7,7,-,-,-
"S00173639",134,120,12,70,37,10,10,-,-,-
"S00173640",119,108,35,44,33,7,7,-,-,-
"S00173641",156,146,72,70,-,14,11,1,2,-
"S00173642",126,102,78,24,-,24,20,4,-,-
"S00173643",156,156,84,58,14,-,-,-,-,-
"S00173644",157,148,108,18,22,9,9,-,-,-
"S00173645",139,134,113,16,5,5,5,-,-,-
"S00173646",177,173,120,32,21,1,1,-,-,-
"S00173647",169,156,110,44,4,13,8,5,-,-
"S00173648",126,125,10,56,60,2,2,-,-,-
"S00173649",83,79,4,35,40,4,4,-,-,-
"S00173650",61,58,7,15,34,4,4,-,-,-
"S00173651",179,135,62,55,18,44,44,-,-,-
"S00173652",146,113,17,89,5,33,33,-,-,-
"S00173653",146,111,4,40,67,30,30,-,-,5
"S00173654",159,118,56,32,30,41,41,-,-,-
"S00173655",113,6,2,-,4,107,107,-,-,-
"S00173656",158,101,38,14,51,57,48,3,6,-
"S00173657",109,41,8,18,18,68,68,2,-,-
"S00173658",77,23,8,7,6,57,57,-,-,-
"S00173659",87,76,6,59,8,11,11,-,-,-
"S00173660",151,151,41,105,5,-,-,-,-,-
"S00173661",87,67,22,20,25,20,10,7,4,-
"S00173662",87,55,8,27,20,32,24,5,3,-
"S00173663",115,96,60,-,35,19,17,2,-,-
"S00173664",186,154,125,13,16,32,25,7,-,-
"S00173665",127,78,58,10,7,52,50,2,-,-
"S00173666",115,56,31,8,17,59,29,14,16,-
"S00173667",149,140,96,16,25,9,5,4,-,-
"S00173668",72,72,48,18,6,-,-,-,-,-
"S00173669",62,62,33,14,15,-,-,-,-,-
"S00173670",156,152,71,31,47,1,-,-,1,-
"S00173671",94,84,17,61,6,10,5,2,1,-
"S00173672",94,86,60,22,5,4,4,-,-,1
"S00173673",86,82,34,39,12,1,1,-,-,-
"S00173674",73,72,55,9,8,1,1,-,-,-
"S00173675",62,62,5,60,-,-,-,-,-,-
"S00173676",96,93,52,37,1,3,3,-,-,-
"S00173677",101,101,67,14,20,-,-,-,-,-
"S00173678",78,73,37,25,8,8,8,-,-,-
"S00173679",74,74,37,21,13,-,-,-,-,-
"S00173680",151,150,86,52,13,1,1,-,-,-
"S00173681",78,75,44,18,13,2,1,-,2,-
"S00173682",81,63,17,30,16,18,11,5,2,-
"S00173683",198,194,152,29,13,3,2,1,1,-
"S00173684",124,107,80,23,7,17,17,-,-,-
"S00173685",63,64,38,22,6,1,-,-,1,-
"S00173686",170,170,132,10,25,-,-,-,-,-
"S00173687",92,87,37,14,36,3,3,-,-,-
"S00173688",72,70,43,20,7,-,-,-,-,-
"S00173689",75,71,30,41,-,2,2,-,-,-
"S00173690",101,96,51,22,23,-,-,-,-,5
"S00173691",90,89,88,1,-,2,-,2,-,-
"S00173692",127,123,113,12,-,4,4,2,-,-
"S00173693",119,113,63,28,22,6,1,5,-,-
"S00173694",130,128,25,58,45,2,2,-,-,-
"S00173695",126,67,19,18,30,59,41,5,14,-
"S00173696",145,140,38,37,68,4,1,4,-,-
"S00173697",113,114,27,31,56,1,1,-,-,-
"S00173698",90,16,1,17,1,72,58,7,7,-
"S00173699",163,157,-,56,105,2,2,-,-,-
"S00173700",193,187,18,49,120,9,5,3,-,-
"S00173701",122,48,9,23,16,74,47,17,10,-
"S00173702",154,152,21,44,87,2,2,-,-,-
"S00173703",180,177,21,47,113,3,3,-,-,-
"S00173704",163,36,21,4,11,127,125,2,-,-
"S00173705",115,85,15,15,55,30,23,7,-,-
"S00173706",87,55,1,20,30,38,38,-,-,-
"S00173707",194,194,157,28,9,-,-,-,-,-
"S00173708",118,118,66,36,15,-,-,-,-,-
"S00173709",77,50,18,12,20,27,21,3,1,-
"S00173710",77,44,1,29,11,34,34,-,-,-
"S00173711",96,84,33,28,23,13,2,10,-,-
"S00173712",117,105,31,19,59,8,3,5,-,-
"S00173713",195,186,53,78,58,9,9,-,-,-
"S00173714",92,82,22,27,30,10,7,4,-,-
"S00173715",174,169,137,19,10,6,7,-,1,-
"S00173716",85,80,45,16,15,5,-,-,5,-
"S00173717",133,133,6,82,45,-,-,-,-,-
"S00173718",81,78,2,46,30,3,3,-,-,-
"S00173719",98,93,6,69,18,1,1,-,-,-
"S00173720",94,94,5,50,43,-,-,-,-,-
"S00173721",127,127,87,24,18,-,-,-,-,-
"S00173722",198,185,69,71,45,13,13,-,-,-
"S00173723",137,132,5,73,50,3,-,3,-,-
"S00173724",75,75,48,19,12,-,-,-,-,-
"S00173725",100,86,22,49,18,14,14,-,-,-
"S00173726",111,110,40,28,42,-,-,-,-,-
"S00173727",76,76,52,7,19,-,-,-,-,-
"S00173728",85,84,48,33,1,1,1,-,-,-
"S00173729",75,63,39,14,10,12,8,2,2,-
"S00173730",106,104,72,22,10,2,2,-,-,-
"S00173731",128,128,72,33,24,-,-,-,-,-
"S00173732",113,97,62,3,32,19,8,8,-,-
"S00173733",127,121,31,56,34,2,1,1,-,4
"S00173734",101,97,51,15,32,3,3,-,-,-
"S00173735",119,120,6,79,32,-,-,-,-,-
"S00173736",125,119,51,15,53,6,6,-,-,-
"S00173737",166,157,56,57,44,9,9,-,-,-
"S00173738",108,91,11,80,-,17,17,-,-,-
"S00173739",134,130,63,30,37,4,4,-,-,-
"S00173740",156,156,123,8,25,-,-,-,-,-
"S00173741",96,87,44,17,23,9,6,3,-,-
"S00173742",169,169,105,38,26,-,-,-,-,-
"S00173743",120,120,87,15,18,-,-,-,-,-
"S00173744",156,156,95,20,41,-,-,-,-,-
"S00173745",166,162,136,9,10,4,-,-,4,-
"S00173746",144,144,143,2,-,-,-,-,-,-
"S00173747",131,126,63,32,31,5,5,-,-,-
"S00173748",140,134,84,39,20,3,3,-,-,-
"S00173749",160,158,134,6,21,2,2,-,-,-
"S00173750",145,122,80,17,25,23,20,2,1,-
"S00173751",93,87,46,40,-,6,2,5,-,-
"S00173752",118,114,92,11,9,4,-,3,-,-
"S00173753",139,136,105,24,7,3,1,2,-,-
"S00173754",109,109,74,20,15,-,-,-,-,-
"S00173755",139,137,61,44,32,2,-,2,-,-
"S00173756",73,73,62,5,6,-,-,-,-,-
"S00173757",100,99,48,23,25,3,2,2,-,-
"S00173758",76,58,28,20,10,17,20,1,-,-
"S00173759",63,35,17,7,7,31,33,1,1,-
"S00173760",120,112,56,34,27,7,2,5,-,-
"S00173761",88,86,57,32,-,2,-,2,-,-
"S00173762",138,117,35,73,11,21,21,-,-,-
"S00173763",105,107,76,12,19,2,2,-,1,-
"S00173764",105,101,2,54,45,4,4,-,-,-
"S00173765",119,119,5,59,57,-,-,-,-,-
"S00173766",136,132,11,75,46,4,4,-,-,-
"S00173767",153,153,16,34,100,-,-,-,-,-
"S00173768",153,146,89,39,20,8,8,-,-,-
"S00173769",126,113,34,49,30,15,15,-,-,-
"S00173770",182,182,111,47,24,-,-,-,-,-
"S00173771",172,169,101,39,29,3,1,2,-,-
"S00173772",140,135,112,19,4,5,-,2,2,-
"S00173773",122,122,88,20,14,-,-,-,-,-
"S00173774",190,184,98,46,44,5,3,-,2,2
"S00173775",121,123,86,28,5,-,-,-,-,2
"S00173776",107,103,57,27,21,3,-,3,-,-
"S00173777",119,119,80,27,12,-,-,-,-,-
"S00173778",171,171,132,20,19,-,-,-,-,-
"S00173779",111,108,55,20,29,5,5,-,-,-
"S00173780",131,117,100,14,5,14,14,-,-,-
"S00173781",73,73,23,45,5,-,-,-,-,-
"S00173782",96,79,38,37,1,17,13,-,4,-
"S00173783",98,78,27,20,31,20,18,2,-,-
"S00173784",74,73,46,22,3,2,2,-,-,-
"S00173785",88,57,22,11,24,30,28,-,2,-
"S00173786",132,120,-,55,63,12,6,6,-,-
"S00173787",89,41,12,21,6,48,47,1,-,-
"S00173788",131,103,35,41,27,31,15,2,22,-
"S00173789",89,69,14,13,42,20,9,8,1,-
"S00173790",187,176,76,58,40,13,13,-,-,-
"S00173791",118,113,19,89,5,5,5,-,-,-
"S00173792",108,68,16,26,30,37,34,1,3,-
"S00173793",92,91,77,12,-,2,2,-,-,-
"S00173794",109,61,26,24,11,51,45,3,3,-
"S00173795",87,73,13,37,19,14,4,9,1,-
"S00173796",93,37,13,7,17,56,52,4,-,-
"S00173797",87,73,5,29,36,14,14,-,-,-
"S00173798",163,164,71,79,14,5,5,-,-,-
"S00173799",159,126,65,50,11,33,27,3,-,-
"S00173800",103,49,28,14,8,55,55,-,-,-
"S00173801",100,95,5,47,47,5,5,-,-,-
"S00173802",109,104,26,75,2,5,4,2,-,-
"S00173803",194,191,160,11,20,3,3,-,-,-
"S00173804",147,147,91,17,37,-,-,-,-,-
"S00173805",97,97,4,79,10,-,-,-,-,-
"S00173806",132,132,4,124,-,4,4,-,-,-
"S00173807",119,81,12,66,2,38,34,4,-,-
"S00173808",146,134,64,53,17,9,9,-,-,-
"S00173809",134,133,87,36,10,-,-,-,-,-
"S00173810",97,97,-,93,-,-,-,-,-,-
"S00173811",120,94,45,36,12,26,26,-,-,-
"S00173812",126,123,83,40,-,5,-,5,-,-
"S00173813",132,122,83,30,13,6,4,2,-,-
"S00173814",182,144,17,105,23,34,34,4,-,-
"S00173815",93,93,67,23,4,-,-,-,-,-
"S00173816",146,144,77,41,24,5,-,1,3,-
"S00173817",106,105,35,39,31,2,2,-,-,-
"S00173818",100,100,88,13,2,-,-,-,-,-
"S00173819",124,119,109,1,7,5,4,-,1,-
"S00173820",104,104,27,46,31,-,-,-,-,-
"S00173821",200,200,182,14,4,-,-,-,-,-
"S00173822",135,134,101,19,14,1,1,-,-,-
"S00173823",115,114,93,9,6,-,-,-,-,-
"S00173824",115,113,98,15,-,-,-,-,-,4
"S00173825",128,128,75,12,41,-,-,-,-,-
"S00173826",70,70,58,3,9,-,-,-,-,-
"S00173827",119,115,76,33,8,2,-,2,-,-
"S00173828",136,127,56,49,22,9,-,9,-,-
"S00173829",96,96,54,14,25,-,-,-,-,-
"S00173830",158,158,77,56,19,-,-,-,-,-
"S00173831",173,173,76,52,45,-,-,-,-,-
"S00173832",79,74,68,9,-,5,5,-,-,-
"S00173833",162,162,78,38,46,-,-,-,-,-
"S00173834",127,106,50,35,21,20,4,9,12,-
"S00173835",68,24,10,3,11,47,47,-,-,-
"S00173836",101,85,7,33,45,14,14,-,-,-
"S00173837",160,145,113,13,18,14,14,-,-,-
"S00173838",121,118,69,30,21,3,3,-,-,-
"S00173839",78,78,56,16,6,-,-,-,-,-
"S00173840",130,130,117,11,2,-,-,-,-,-
"S00173841",64,64,60,4,-,-,-,-,-,-
"S00173842",144,143,107,20,16,1,1,-,-,-
"S00173843",167,162,89,52,21,5,5,-,-,-
"S00173844",189,185,137,34,11,6,-,1,2,-
"S00173845",124,124,72,46,2,-,-,-,-,-
"S00173846",92,93,89,2,-,4,-,4,-,-
"S00173847",180,175,115,36,24,6,3,-,2,-
"S00173848",61,61,15,46,-,-,-,-,-,-
"S00173849",73,71,46,22,5,2,2,-,-,-
"S00173850",145,144,31,84,32,1,1,-,-,-
"S00173851",92,88,56,18,14,4,-,4,-,-
"S00173852",92,92,53,15,20,-,-,-,-,-
