Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00177097",75,7,10,8,2,15,31
"S00177098",124,19,20,13,5,20,45
"S00177099",69,14,13,6,12,12,12
"S00177100",100,17,17,8,3,20,35
"S00177101",150,22,31,14,12,26,47
"S00177102",83,3,12,11,8,13,34
"S00177103",109,23,22,21,9,11,28
"S00177104",163,20,20,21,15,27,62
"S00177105",66,27,10,4,7,1,16
"S00177106",103,9,14,11,12,15,46
"S00177107",89,10,8,9,6,12,40
"S00177108",61,19,11,5,4,11,10
"S00177109",139,29,14,17,9,15,51
"S00177110",122,15,17,16,15,21,38
"S00177111",167,14,14,18,13,34,78
"S00177112",114,15,17,14,12,15,41
"S00177113",89,19,16,9,8,19,18
"S00177114",135,22,18,20,12,15,46
"S00177115",96,10,14,13,4,19,36
"S00177116",81,29,18,17,7,1,9
"S00177117",82,14,17,13,4,15,21
"S00177118",105,13,18,14,7,19,34
"S00177119",90,12,15,10,10,19,26
"S00177120",63,17,17,2,5,8,13
"S00177121",84,8,7,17,6,9,35
"S00177122",118,12,25,13,9,26,34
"S00177123",108,31,28,8,4,23,18
"S00177124",106,22,24,9,9,17,25
"S00177125",61,9,13,7,6,13,13
"S00177126",73,22,14,6,1,14,20
"S00177127",120,39,7,16,8,7,40
"S00177128",107,10,12,14,10,17,44
"S00177129",77,15,15,8,6,12,21
"S00177130",107,10,15,13,11,14,43
"S00177131",128,37,27,6,13,23,21
"S00177132",146,4,6,12,9,35,77
"S00177133",172,18,15,22,11,27,79
"S00177134",126,14,26,16,16,19,36
"S00177135",129,16,14,15,9,26,49
"S00177136",111,48,11,9,11,13,19
"S00177137",89,15,7,14,10,10,33
"S00177138",105,8,11,13,11,17,44
"S00177139",112,18,15,13,4,15,47
"S00177140",79,6,10,13,6,11,29
"S00177141",72,10,7,11,8,16,20
"S00177142",97,36,25,1,8,16,12
"S00177143",60,12,15,7,4,8,14
"S00177144",61,7,10,10,4,8,19
"S00177145",68,19,17,7,10,7,8
"S00177146",88,13,8,7,5,16,39
"S00177147",113,12,22,10,15,18,39
"S00177148",106,16,13,9,7,17,40
"S00177149",54,17,20,3,7,5,-
"S00177150",85,16,9,13,7,14,28
"S00177151",64,12,13,11,4,15,10
"S00177152",119,21,17,11,8,15,47
"S00177153",104,8,14,9,9,10,52
"S00177154",133,27,41,16,6,18,21
"S00177155",110,17,12,9,6,16,53
"S00177156",63,23,5,8,4,8,12
"S00177157",83,8,14,6,6,15,37
"S00177158",77,12,15,12,6,12,19
"S00177159",108,31,20,6,4,17,31
"S00177160",61,10,7,2,6,17,17
"S00177161",85,8,11,12,8,19,25
"S00177162",65,12,14,9,3,12,17
"S00177163",175,8,18,24,7,14,104
"S00177164",136,12,18,16,7,29,54
"S00177165",89,8,14,18,10,14,25
"S00177166",100,30,12,9,9,8,27
"S00177167",81,24,16,9,6,10,16
"S00177168",110,17,14,6,6,24,44
"S00177169",64,15,9,5,5,13,16
"S00177170",101,32,21,11,8,10,15
"S00177171",88,14,15,10,6,11,32
"S00177172",67,11,16,6,8,8,16
"S00177173",106,25,11,17,16,13,24
"S00177174",117,9,18,18,16,22,30
"S00177175",96,9,15,16,12,13,31
"S00177176",74,10,21,15,4,10,18
"S00177177",64,4,15,4,5,12,20
"S00177178",88,12,25,5,12,13,19
"S00177179",130,23,43,8,12,16,27
"S00177180",95,23,24,14,5,20,14
"S00177181",108,29,26,11,6,21,14
"S00177182",80,12,17,4,13,10,26
"S00177183",110,20,25,8,12,17,25
"S00177184",80,16,24,12,6,15,9
"S00177185",122,25,27,11,8,15,33
"S00177186",85,12,10,11,11,17,25
"S00177187",83,24,16,7,9,15,17
"S00177188",76,14,17,8,7,17,14
"S00177189",97,29,20,14,4,13,20
"S00177190",122,15,21,14,10,32,34
"S00177191",53,16,9,6,8,6,8
"S00177192",97,14,6,16,10,8,40
"S00177193",81,9,18,5,13,14,21
"S00177194",129,21,22,17,11,11,47
"S00177195",64,14,12,5,5,17,15
"S00177196",99,26,19,5,13,11,22
"S00177197",98,15,22,12,11,15,23
"S00177198",101,36,21,8,7,8,21
"S00177199",80,27,12,4,8,7,19
"S00177200",88,19,18,8,11,13,19
"S00177201",147,25,24,16,15,25,43
"S00177202",85,8,24,10,3,24,16
"S00177203",114,18,28,10,10,19,30
"S00177204",110,15,26,13,11,11,32
"S00177205",64,5,10,9,7,9,21
"S00177206",112,37,25,9,4,19,22
"S00177207",132,10,10,22,8,9,66
"S00177208",66,12,12,4,6,7,26
"S00177209",100,7,25,10,9,25,19
"S00177210",135,14,18,19,8,16,60
"S00177211",116,9,14,15,11,20,47
"S00177212",109,22,22,12,8,25,20
"S00177213",109,26,28,12,8,18,13
"S00177214",91,27,14,9,5,10,30
"S00177215",99,39,24,3,11,13,9
"S00177216",157,27,21,20,25,25,40
"S00177217",136,16,10,11,14,22,65
"S00177218",84,15,15,5,13,14,24
"S00177219",59,11,10,5,6,8,19
"S00177220",58,26,9,10,4,5,7
"S00177221",174,13,43,29,11,27,51
"S00177222",130,13,22,24,6,14,48
"S00177223",68,15,11,6,6,13,17
"S00177224",127,26,29,11,14,22,25
"S00177225",101,14,21,15,7,20,19
"S00177226",93,20,18,11,8,13,25
"S00177227",122,15,12,22,7,15,51
"S00177228",55,7,11,6,9,9,15
"S00177229",84,13,19,5,7,7,32
"S00177230",63,9,13,6,3,12,24
"S00177231",71,7,7,5,13,13,28
"S00177232",51,6,9,5,4,10,16
"S00177233",60,8,14,10,7,9,14
"S00177234",91,25,32,10,3,9,10
"S00177235",98,22,26,12,5,17,17
"S00177236",85,19,16,13,5,15,21
"S00177237",115,7,20,10,6,17,56
"S00177238",105,23,26,13,10,20,13
"S00177239",98,34,22,6,10,6,17
"S00177240",144,18,27,24,9,29,37
"S00177241",110,17,21,13,11,18,30
"S00177242",120,28,29,8,21,11,23
"S00177243",89,20,23,10,9,11,21
"S00177244",98,12,26,15,8,14,24
"S00177245",64,19,11,4,4,3,25
"S00177246",108,8,16,16,9,21,34
"S00177247",132,21,15,22,10,17,54
"S00177248",103,2,13,13,4,9,64
"S00177249",102,19,21,14,10,12,29
"S00177250",117,35,32,8,9,16,15
"S00177251",105,19,25,11,9,26,22
"S00177252",62,4,7,6,4,7,31
"S00177253",89,16,17,7,5,16,29
"S00177254",95,17,26,12,7,10,23
"S00177255",113,6,14,16,16,17,46
"S00177256",128,28,24,23,19,10,25
"S00177257",154,23,30,24,10,26,41
"S00177258",104,18,24,16,16,10,20
"S00177259",146,10,27,21,14,27,47
"S00177260",71,10,17,8,6,13,15
"S00177261",146,19,24,22,7,19,55
"S00177262",85,9,16,12,4,11,37
"S00177263",96,20,22,8,9,21,15
"S00177264",127,17,21,18,10,10,50
"S00177265",146,17,18,29,7,21,62
"S00177266",152,28,26,22,16,30,36
"S00177267",158,33,44,19,19,21,18
"S00177268",87,8,14,12,10,12,34
"S00177269",83,6,22,10,8,14,20
"S00177270",128,54,17,12,10,11,21
"S00177271",70,2,7,7,4,12,38
"S00177272",100,16,27,10,10,14,23
"S00177273",104,31,19,5,13,17,21
"S00177274",99,20,18,12,12,14,19
"S00177275",58,14,13,7,3,12,9
"S00177276",129,30,28,12,16,19,26
"S00177277",74,15,10,9,7,19,15
"S00177278",97,11,10,11,8,17,38
"S00177279",90,18,21,14,8,11,20
"S00177280",122,9,26,19,9,19,40
"S00177281",152,63,38,12,8,16,17
"S00177282",56,12,13,7,3,10,12
"S00177283",55,17,4,7,5,4,17
"S00177284",131,16,35,17,13,21,29
"S00177285",75,23,15,12,2,13,12
"S00177286",96,12,30,11,10,15,18
"S00177287",86,24,11,11,5,12,15
"S00177288",143,7,22,14,6,19,74
"S00177289",126,19,32,21,8,16,25
"S00177290",59,5,9,13,6,11,22
"S00177291",91,23,21,12,10,11,14
"S00177292",81,12,13,10,8,18,19
"S00177293",66,8,4,6,5,14,27
"S00177294",128,5,17,18,10,28,50
"S00177295",112,14,13,12,15,21,40
"S00177296",78,31,18,3,3,17,3
"S00177297",85,13,17,12,9,14,21
"S00177298",67,26,13,1,8,10,7
"S00177299",75,18,17,6,4,14,16
"S00177300",115,14,19,11,11,22,35
"S00177301",83,13,14,6,8,15,23
"S00177302",101,11,11,18,5,12,40
"S00177303",114,40,30,6,16,15,11
"S00177304",83,26,12,12,6,9,18
"S00177305",101,23,16,16,5,15,25
"S00177306",62,14,10,4,14,13,8
"S00177307",76,10,16,7,9,12,26
"S00177308",146,12,22,12,13,21,63
"S00177309",147,35,31,17,19,20,30
"S00177310",173,8,26,24,12,23,86
"S00177311",91,13,18,15,13,15,21
"S00177312",67,20,17,5,3,8,11
"S00177313",77,2,18,7,5,10,33
"S00177314",112,36,26,7,8,12,26
"S00177315",101,11,16,22,6,18,24
"S00177316",66,12,18,8,8,7,11
"S00177317",58,6,16,4,6,10,16
"S00177318",133,49,40,12,4,20,12
"S00177319",89,4,12,15,3,25,29
"S00177320",71,7,20,7,5,13,14
"S00177321",76,13,14,7,11,10,23
"S00177322",56,6,10,4,8,6,21
"S00177323",116,13,33,12,17,17,27
"S00177324",85,15,13,11,5,20,17
"S00177325",135,21,36,18,9,8,39
"S00177326",170,10,22,19,13,31,75
"S00177327",85,9,27,7,10,12,20
"S00177328",94,16,16,9,6,18,29
"S00177329",87,18,18,5,10,14,22
"S00177330",71,9,23,9,6,14,13
"S00177331",73,13,18,8,5,9,17
"S00177332",58,5,9,5,3,20,14
"S00177333",99,16,26,9,13,18,9
"S00177334",54,14,8,5,6,8,16
"S00177335",98,21,19,8,5,18,25
"S00177336",99,14,22,12,16,15,20
"S00177337",150,7,15,16,9,21,81
"S00177338",134,52,31,5,12,17,19
"S00177339",88,25,22,3,10,18,13
"S00177340",90,12,22,11,6,14,22
"S00177341",74,8,11,14,6,14,19
"S00177342",98,12,30,15,12,17,19
"S00177343",62,8,8,8,5,5,26
"S00177344",92,4,2,6,-,19,59
"S00177345",113,7,36,11,8,20,36
"S00177346",65,15,16,4,4,7,19
"S00177347",63,6,8,9,11,13,16
"S00177348",131,21,28,17,13,25,24
"S00177349",100,25,16,10,10,9,24
"S00177350",111,38,29,10,8,8,21
"S00177351",105,3,9,10,12,12,55
"S00177352",59,10,12,4,7,10,7
"S00177353",109,15,23,15,9,22,24
"S00177354",128,25,28,18,10,25,22
"S00177355",124,26,33,18,9,11,28
"S00177356",113,37,23,20,3,14,19
"S00177357",93,3,5,11,6,9,59
"S00177358",151,11,18,23,7,17,72
"S00177359",115,5,29,23,15,21,26
"S00177360",79,7,13,11,7,7,31
"S00177361",127,45,23,14,12,21,15
"S00177362",130,37,30,10,11,18,20
"S00177363",144,33,44,9,12,17,29
"S00177364",91,17,26,14,8,10,20
"S00177365",72,12,15,6,13,10,14
"S00177366",64,10,13,8,4,11,16
"S00177367",100,34,19,10,8,13,16
"S00177368",97,11,15,14,17,15,32
"S00177369",66,21,20,4,7,8,8
"S00177370",126,12,11,17,6,21,56
"S00177371",137,19,27,7,8,19,56
"S00177372",59,7,10,7,5,12,21
"S00177373",101,39,17,12,5,10,18
"S00177374",69,19,11,2,5,12,15
"S00177375",56,11,12,4,4,8,19
"S00177376",172,59,42,13,16,11,31
"S00177377",101,7,10,12,5,7,60
"S00177378",83,22,20,6,9,11,15
"S00177379",87,9,28,14,10,17,11
"S00177380",121,11,18,14,14,19,42
"S00177381",89,5,11,15,1,6,48
"S00177382",73,15,17,5,6,10,17
"S00177383",153,15,23,18,14,19,68
"S00177384",131,-,14,13,7,18,80
"S00177385",123,16,24,18,11,26,28
"S00177386",106,38,23,6,12,18,8
"S00177387",144,18,41,16,11,26,32
"S00177388",58,2,7,12,11,11,18
"S00177389",112,14,29,10,9,23,23
"S00177390",110,14,23,10,13,21,21
"S00177391",93,16,14,7,9,11,36
"S00177392",115,4,12,12,8,19,59
"S00177393",96,22,12,12,16,6,33
"S00177394",86,17,23,12,6,16,12
"S00177395",152,23,30,18,11,29,38
"S00177396",69,23,15,8,7,7,10
"S00177397",68,7,23,7,6,10,15
"S00177398",88,9,18,17,6,13,33
"S00177399",99,24,25,14,10,16,9
"S00177400",72,29,17,6,8,7,8
"S00177401",70,-,14,14,9,6,23
"S00177402",70,9,18,8,8,11,16
"S00177403",66,25,12,4,6,5,11
"S00177404",58,14,13,9,4,10,10
"S00177405",61,11,20,3,5,6,13
"S00177406",85,24,13,2,15,15,14
"S00177407",63,26,12,5,3,11,9
"S00177408",95,30,22,4,10,5,24
"S00177409",122,-,13,11,6,9,82
"S00177410",102,27,27,6,11,13,15
"S00177411",162,7,26,20,17,23,72
"S00177412",150,3,15,13,13,31,75
"S00177413",66,15,7,10,11,7,20
"S00177414",73,26,13,7,9,8,6
"S00177415",103,9,31,8,9,17,26
"S00177416",89,3,11,8,7,20,32
"S00177417",58,7,13,6,4,12,13
"S00177418",195,13,31,26,13,29,83
"S00177419",73,10,25,8,7,11,12
"S00177420",132,25,39,11,7,29,21
"S00177421",77,12,28,6,4,11,16
"S00177422",131,37,27,15,17,15,26
"S00177423",165,9,22,30,12,18,77
"S00177424",121,35,27,12,11,14,26
"S00177425",90,9,18,9,11,14,36
"S00177426",74,17,19,11,2,11,10
"S00177427",140,5,17,24,8,17,66
"S00177428",69,11,14,10,9,12,15
"S00177429",83,14,14,10,8,11,27
"S00177430",78,17,19,9,12,11,12
"S00177431",99,7,25,14,10,13,29
"S00177432",91,13,23,6,9,15,25
"S00177433",70,25,17,7,6,10,8
"S00177434",118,11,13,19,5,15,58
"S00177435",85,8,20,15,4,19,20
"S00177436",113,22,16,14,8,19,34
"S00177437",97,22,20,13,6,13,25
"S00177438",155,60,27,11,8,9,40
"S00177439",86,18,13,7,5,14,25
"S00177440",89,31,13,11,6,7,17
"S00177441",73,17,23,12,4,4,13
"S00177442",71,26,15,2,7,8,11
"S00177443",89,9,27,12,10,12,21
"S00177444",69,12,22,8,6,11,10
"S00177445",124,17,29,20,12,19,31
"S00177446",98,4,15,12,5,17,47
"S00177447",81,23,21,5,7,10,11
"S00177448",65,13,7,7,9,11,18
"S00177449",57,14,19,4,2,10,3
"S00177450",72,14,17,7,8,8,18
"S00177451",153,12,21,18,7,22,73
"S00177452",92,17,30,11,11,8,7
"S00177453",154,17,25,19,12,21,60
"S00177454",117,27,26,14,6,19,25
"S00177455",96,11,22,9,17,17,18
"S00177456",72,10,17,5,6,18,17
"S00177457",73,19,12,3,15,9,17
"S00177458",104,19,22,10,9,21,27
"S00177459",112,6,23,12,10,19,44
"S00177460",130,23,36,17,7,21,26
"S00177461",102,13,16,12,10,21,30
"S00177462",105,19,16,10,9,23,28
"S00177463",88,7,10,13,7,21,30
"S00177464",95,33,25,10,5,8,15
"S00177465",60,5,17,10,2,9,18
"S00177466",85,12,10,10,11,11,31
"S00177467",100,35,17,7,11,9,21
"S00177468",126,33,36,10,16,23,8
"S00177469",165,5,24,14,4,20,99
"S00177470",78,27,16,4,9,13,13
"S00177471",80,28,14,8,9,11,7
"S00177472",116,26,13,10,15,9,43
"S00177473",121,17,27,14,11,17,32
"S00177474",145,44,23,18,15,11,31
"S00177475",61,16,13,4,5,12,12
"S00177476",90,29,19,9,7,13,17
"S00177477",73,9,15,14,6,16,13
"S00177478",55,18,10,5,5,5,12
"S00177479",102,14,28,16,8,10,23
"S00177480",100,23,21,6,11,20,19
"S00177481",84,10,32,11,7,11,13
"S00177482",88,7,24,9,13,14,20
"S00177483",87,15,22,10,16,9,17
"S00177484",56,10,13,4,7,15,11
"S00177485",106,12,22,9,4,22,35
"S00177486",99,31,29,6,10,9,7
"S00177487",73,14,18,10,7,9,15
"S00177488",96,17,27,14,11,9,18
"S00177489",98,15,32,14,5,11,23
"S00177490",99,14,7,8,16,13,38
"S00177491",115,31,30,6,11,20,11
"S00177492",78,28,24,7,8,3,8
"S00177493",85,26,24,9,8,9,8
"S00177494",126,24,37,10,7,25,19
"S00177495",98,18,27,10,9,17,17
"S00177496",52,9,10,6,4,11,12
"S00177497",102,13,16,16,19,19,22
"S00177498",76,15,19,18,7,11,9
"S00177499",93,7,17,18,5,12,33
"S00177500",50,6,16,7,9,4,7
"S00177501",93,17,23,11,10,16,17
"S00177502",98,6,27,14,3,23,23
"S00177503",86,20,25,4,9,11,12
"S00177504",94,8,19,9,13,11,29
"S00177505",122,2,11,20,8,13,67
"S00177506",110,13,16,16,11,16,37
"S00177507",77,11,26,13,7,7,13
"S00177508",90,13,20,6,3,23,25
"S00177509",76,9,18,6,9,19,16
"S00177510",72,24,15,4,5,11,9
"S00177511",141,27,36,19,20,20,25
"S00177512",132,18,37,15,10,25,25
"S00177513",58,7,10,4,9,10,18
"S00177514",106,10,11,20,6,14,45
"S00177515",83,8,16,17,4,11,23
"S00177516",60,4,5,9,3,7,29
"S00177517",71,21,13,3,8,13,16
"S00177518",64,6,7,4,10,9,26
"S00177519",122,10,25,19,8,29,32
"S00177520",86,10,16,11,11,15,23
"S00177521",108,31,21,8,5,14,23
"S00177522",105,22,20,13,10,18,22
"S00177523",101,25,16,17,12,15,16
"S00177524",74,15,23,8,9,12,11
"S00177525",58,5,7,7,15,7,23
"S00177526",76,9,16,12,11,14,17
"S00177527",74,15,13,8,6,17,15
"S00177528",86,6,19,12,5,19,25
"S00177529",65,22,19,6,3,12,5
"S00177530",124,15,22,17,16,22,34
"S00177531",78,17,18,8,9,12,14
"S00177532",99,22,19,12,10,17,22
"S00177533",84,14,25,4,12,12,20
"S00177534",93,2,11,13,7,18,44
"S00177535",99,25,19,13,8,15,15
"S00177536",143,39,35,9,15,20,25
"S00177537",110,11,24,21,14,16,26
"S00177538",131,10,11,14,17,15,63
"S00177539",78,5,14,12,8,10,29
"S00177540",157,14,18,28,20,27,50
"S00177541",73,14,17,7,6,13,12
"S00177542",60,22,11,3,7,14,6
"S00177543",109,34,28,17,9,14,9
"S00177544",76,10,26,9,7,10,15
"S00177545",109,23,26,17,12,16,12
"S00177546",73,14,17,7,13,10,12
"S00177547",139,11,25,23,10,17,53
"S00177548",101,15,15,13,10,15,33
"S00177549",86,18,29,7,10,7,15
"S00177550",97,24,17,15,7,13,14
"S00177551",129,8,19,16,9,18,59
"S00177552",68,26,9,3,15,8,9
"S00177553",176,8,23,35,16,37,60
"S00177554",190,23,26,23,14,34,67
"S00177555",142,22,39,18,16,23,24
"S00177556",101,14,17,16,6,15,30
"S00177557",133,22,24,19,5,28,35
"S00177558",75,23,15,8,5,9,15
"S00177559",94,9,15,15,4,14,41
"S00177560",51,24,4,5,7,5,8
"S00177561",65,5,8,9,7,16,20
"S00177562",109,15,30,10,5,15,34
"S00177563",94,7,23,12,11,15,26
"S00177564",76,23,10,6,6,12,20
"S00177565",82,7,10,18,12,15,24
"S00177566",80,5,13,18,8,13,22
"S00177567",91,22,28,8,3,14,9
"S00177568",133,9,18,21,7,31,49
"S00177569",127,37,33,4,21,12,20
"S00177570",107,8,20,22,5,15,40
"S00177571",137,44,35,10,12,14,19
"S00177572",117,21,19,19,16,12,30
"S00177573",101,29,19,11,12,15,15
"S00177574",105,23,24,11,11,21,19
"S00177575",97,9,14,20,6,16,36
"S00177576",82,26,14,11,10,10,12
"S00177577",47,7,10,9,1,12,11
"S00177578",96,13,22,20,13,7,17
"S00177579",146,19,25,17,9,25,51
"S00177580",173,6,31,19,10,37,69
"S00177581",88,20,22,14,11,9,12
"S00177582",69,11,15,15,4,13,13
"S00177583",62,7,9,9,4,9,24
"S00177584",118,8,24,18,5,22,41
"S00177585",131,22,29,23,8,26,26
"S00177586",50,1,13,10,-,11,13
"S00177587",115,16,22,9,16,20,28
"S00177588",88,19,13,10,8,15,19
"S00177589",97,31,22,12,9,20,11
"S00177590",77,13,19,11,8,12,14
"S00177591",116,1,17,14,10,22,52
"S00177592",92,24,18,16,5,18,11
"S00177593",126,15,31,16,12,16,39
"S00177594",97,13,20,19,17,10,20
"S00177595",92,24,21,9,7,20,11
"S00177596",58,8,10,6,4,10,20
"S00177597",100,12,19,14,5,17,36
"S00177598",119,18,19,17,9,18,39
"S00177599",104,11,16,9,7,16,46
"S00177600",94,31,16,10,7,10,20
"S00177601",88,10,17,10,4,9,39
"S00177602",88,7,16,9,7,21,28
"S00177603",94,22,23,7,8,13,22
"S00177604",124,12,18,26,11,18,39
"S00177605",119,42,22,12,12,17,15
"S00177606",93,9,13,15,12,12,28
"S00177607",122,6,19,18,13,26,40
"S00177608",99,10,13,8,15,20,33
"S00177609",110,21,26,10,8,20,29
"S00177610",92,4,26,12,7,20,26
"S00177611",89,9,17,8,8,12,35
"S00177612",75,29,25,2,5,11,4
"S00177613",100,22,32,16,8,14,13
"S00177614",96,14,23,13,8,21,19
"S00177615",82,15,24,16,5,14,10
"S00177616",65,5,12,8,8,22,18
"S00177617",104,11,18,14,4,14,43
"S00177618",49,4,18,2,5,12,8
"S00177619",77,13,15,10,6,14,17
"S00177620",122,19,25,18,14,18,28
"S00177621",80,12,18,6,8,8,26
"S00177622",83,5,20,10,5,17,26
"S00177623",105,9,18,20,10,19,29
"S00177624",100,24,19,11,11,19,19
"S00177625",75,20,19,8,4,12,12
"S00177626",63,3,12,9,3,9,26
"S00177627",63,9,15,8,6,11,15
"S00177628",99,4,19,7,9,15,47
"S00177629",89,11,19,13,10,12,24
"S00177630",55,10,17,8,6,10,7
"S00177631",165,13,48,25,13,17,52
"S00177632",100,21,33,10,12,11,9
"S00177633",108,2,17,18,8,18,48
"S00177634",82,10,6,11,8,18,25
"S00177635",64,13,21,5,4,6,14
"S00177636",101,18,24,8,8,12,34
"S00177637",107,11,19,16,10,18,33
"S00177638",99,7,13,14,6,10,49
"S00177639",98,21,29,7,2,12,28
"S00177640",110,13,18,15,11,12,41
"S00177641",108,19,28,13,4,17,20
"S00177642",105,12,35,15,7,20,18
"S00177643",124,31,30,12,14,19,16
"S00177644",123,9,19,23,17,17,38
"S00177645",69,17,10,9,2,10,21
"S00177646",86,15,16,12,13,12,15
"S00177647",59,4,11,5,4,8,27
"S00177648",73,9,21,12,4,15,12
"S00177649",69,6,12,7,7,15,25
"S00177650",138,25,38,12,12,25,29
"S00177651",80,12,25,5,12,10,18
"S00177652",72,25,20,2,12,8,12
"S00177653",93,13,29,9,8,12,18
"S00177654",104,-,18,17,6,21,43
"S00177655",79,3,3,10,6,19,35
"S00177656",106,14,29,17,2,18,27
"S00177657",141,17,25,24,12,26,38
"S00177658",139,30,28,12,10,17,46
"S00177659",109,9,21,21,6,25,25
"S00177660",81,11,24,7,10,10,19
"S00177661",87,8,10,17,5,13,36
"S00177662",76,29,15,4,7,9,12
"S00177663",117,30,27,12,16,15,17
"S00177664",113,9,19,19,7,21,42
"S00177665",90,6,6,12,4,22,40
"S00177666",151,9,23,21,15,24,58
"S00177667",184,98,24,10,9,15,28
"S00177668",105,24,32,7,7,17,18
"S00177669",80,13,21,12,7,9,16
"S00177670",124,15,24,13,11,22,39
"S00177671",58,3,11,5,3,13,23
"S00177672",100,17,29,12,10,14,17
"S00177673",108,13,15,8,14,26,33
"S00177674",82,21,12,6,13,9,19
"S00177675",81,-,13,10,6,12,36
"S00177676",70,10,15,8,10,23,13
"S00177677",73,24,15,14,9,5,6
"S00177678",71,11,10,6,6,9,29
"S00177679",91,9,20,9,5,13,30
"S00177680",96,6,14,10,10,18,44
"S00177681",88,28,24,6,5,11,14
"S00177682",131,9,18,18,11,24,54
"S00177683",81,8,23,12,9,14,15
"S00177684",90,3,10,10,2,10,55
"S00177685",82,13,17,8,6,18,19
"S00177686",59,4,19,11,1,8,12
"S00177687",139,22,30,12,13,22,42
"S00177688",117,6,19,14,7,15,56
"S00177689",71,22,16,2,5,3,17
"S00177690",55,19,11,4,6,6,12
"S00177691",84,29,23,7,4,15,8
"S00177692",132,12,31,15,17,23,36
"S00177693",94,20,25,12,12,15,8
"S00177694",79,19,15,9,6,15,15
"S00177695",139,38,41,8,13,20,17
"S00177696",110,34,23,10,14,14,15
"S00177697",118,62,18,5,2,13,13
"S00177698",145,21,22,20,27,18,37
"S00177699",129,19,37,15,10,20,28
"S00177700",141,19,15,18,12,25,52
"S00177701",102,14,24,20,8,16,22
"S00177702",103,25,25,6,14,16,19
"S00177703",98,22,22,12,6,26,11
"S00177704",141,26,39,15,12,23,26
"S00177705",108,23,30,11,4,18,24
"S00177706",130,13,26,19,10,28,36
"S00177707",123,25,41,15,6,13,23
"S00177708",89,9,28,8,12,12,17
"S00177709",98,21,25,9,7,17,15
"S00177710",140,6,17,18,14,22,64
"S00177711",61,13,17,8,7,7,12
"S00177712",124,23,33,9,18,20,21
"S00177713",103,24,18,14,8,16,23
"S00177714",98,34,25,8,6,13,11
"S00177715",130,14,28,15,8,23,45
"S00177716",78,20,15,9,6,10,18
"S00177717",111,11,10,22,6,26,32
"S00177718",123,28,21,14,11,18,28
"S00177719",91,29,32,9,6,6,7
"S00177720",115,26,22,18,15,13,19
"S00177721",64,12,22,3,5,5,13
"S00177722",93,27,27,8,8,14,11
"S00177723",153,35,38,16,11,26,23
"S00177724",120,40,37,6,6,16,12
"S00177725",73,17,19,13,3,11,8
"S00177726",73,6,8,10,4,8,30
"S00177727",122,27,38,8,10,17,22
"S00177728",71,14,21,8,4,16,8
"S00177729",91,15,28,6,8,19,13
"S00177730",141,18,36,20,11,21,35
"S00177731",63,15,13,8,7,8,13
"S00177732",99,12,30,10,8,15,23
"S00177733",119,32,22,12,11,27,15
"S00177734",113,19,27,12,5,24,27
"S00177735",176,11,25,21,13,32,67
"S00177736",62,12,21,4,2,8,15
"S00177737",77,15,17,9,8,13,15
"S00177738",105,9,24,17,10,17,34
"S00177739",132,24,35,17,13,25,20
"S00177740",137,24,30,23,13,14,33
"S00177741",111,12,29,7,9,18,36
"S00177742",135,14,24,22,8,14,51
"S00177743",112,4,9,14,11,28,49
"S00177744",74,14,23,7,4,14,18
"S00177745",118,27,29,15,9,19,18
"S00177746",116,40,20,13,16,20,8
"S00177747",113,12,35,7,9,20,23
"S00177748",103,6,18,14,5,22,31
"S00177749",121,38,28,8,6,19,22
"S00177750",55,9,12,4,6,10,12
"S00177751",99,5,24,9,3,24,34
"S00177752",90,21,14,7,15,10,22
"S00177753",108,15,28,16,7,18,24
"S00177754",100,9,15,16,6,19,33
"S00177755",97,15,15,20,10,7,25
"S00177756",96,25,22,12,10,14,14
"S00177757",128,1,15,14,9,22,67
"S00177758",62,6,10,13,3,9,23
"S00177759",121,31,30,13,15,12,20
"S00177760",64,14,17,11,5,10,11
"S00177761",95,16,37,9,7,13,12
"S00177762",90,27,25,8,6,11,13
"S00177763",60,15,13,10,3,10,9
"S00177764",121,30,31,11,19,13,21
"S00177765",70,8,15,4,6,10,24
"S00177766",74,22,13,4,4,10,22
"S00177767",87,18,24,10,3,12,14
"S00177768",95,21,22,8,8,14,22
"S00177769",121,23,40,19,6,18,20
"S00177770",110,18,18,24,9,18,22
"S00177771",129,6,26,16,4,28,48
"S00177772",113,21,24,8,14,12,38
"S00177773",96,20,26,11,11,16,15
"S00177774",129,22,36,10,12,26,22
"S00177775",147,9,28,19,7,38,46
"S00177776",110,24,36,13,8,13,15
"S00177777",102,25,32,10,10,20,9
"S00177778",151,47,33,18,11,23,19
"S00177779",165,32,32,15,21,21,49
