Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00174115",87,20,11,4,4,5,1,45
"S00174116",147,13,51,2,5,6,-,70
"S00174117",66,12,10,7,1,10,-,28
"S00174118",126,18,27,10,1,7,-,64
"S00174119",123,23,31,1,6,2,3,57
"S00174120",98,14,15,6,6,7,1,49
"S00174121",115,16,21,2,3,-,-,74
"S00174122",117,14,21,6,5,7,-,63
"S00174123",169,31,30,6,5,4,1,89
"S00174124",178,21,16,8,4,22,-,107
"S00174125",81,17,13,5,1,2,1,42
"S00174126",98,11,23,6,4,4,-,50
"S00174127",82,6,17,3,6,-,-,50
"S00174128",101,10,30,5,3,3,-,49
"S00174129",79,17,25,3,2,5,2,29
"S00174130",132,21,22,3,8,10,-,68
"S00174131",71,5,8,-,2,8,1,49
"S00174132",179,18,50,4,9,5,-,89
"S00174133",66,7,14,1,5,3,2,32
"S00174134",77,11,10,4,1,4,2,44
"S00174135",99,14,15,6,2,-,-,63
"S00174136",80,14,16,3,5,6,-,34
"S00174137",154,19,37,1,4,1,-,90
"S00174138",137,8,10,1,2,1,3,114
"S00174139",76,8,15,5,-,4,-,44
"S00174140",90,14,24,5,4,3,-,45
"S00174141",121,24,31,3,2,3,-,51
"S00174142",137,15,21,4,5,10,-,82
"S00174143",68,11,10,5,5,-,-,38
"S00174144",59,7,15,-,2,7,-,27
"S00174145",105,8,30,6,3,5,3,49
"S00174146",136,22,38,6,5,1,-,64
"S00174147",95,20,9,5,6,2,2,49
"S00174148",71,11,17,3,-,-,-,41
"S00174149",135,8,34,3,5,11,-,71
"S00174150",132,18,28,3,2,5,-,78
"S00174151",91,9,17,6,2,5,2,51
"S00174152",113,9,35,8,2,4,-,46
"S00174153",74,8,14,3,-,2,-,45
"S00174154",68,-,21,7,3,4,-,33
"S00174155",124,17,28,4,4,6,-,65
"S00174156",71,16,10,2,-,4,3,37
"S00174157",109,23,25,7,5,7,1,41
"S00174158",81,10,22,1,-,2,-,41
"S00174159",129,18,25,5,4,1,1,73
"S00174160",105,17,21,4,4,2,-,60
"S00174161",119,18,31,4,-,4,-,63
"S00174162",79,10,18,4,-,7,1,39
"S00174163",102,7,32,7,3,1,1,48
"S00174164",116,24,10,1,4,11,1,64
"S00174165",98,15,11,-,4,3,-,64
"S00174166",109,21,26,6,1,4,-,51
"S00174167",121,23,20,6,6,2,1,64
"S00174168",81,14,19,4,6,4,-,34
"S00174169",153,23,34,2,3,9,-,82
"S00174170",124,22,23,8,7,19,2,47
"S00174171",77,12,16,4,2,2,-,38
"S00174172",100,15,31,6,3,1,-,41
"S00174173",94,16,31,-,8,2,1,35
"S00174174",97,2,33,2,2,3,1,51
"S00174175",102,16,22,4,4,3,-,54
"S00174176",107,12,22,2,4,10,-,61
"S00174177",115,16,18,2,9,11,-,57
"S00174178",100,24,31,4,1,-,-,38
"S00174179",115,16,26,10,3,4,2,56
"S00174180",189,30,31,15,3,3,-,105
"S00174181",139,24,31,7,5,2,4,72
"S00174182",216,27,46,6,10,13,3,115
"S00174183",98,15,19,6,10,1,-,48
"S00174184",98,10,21,1,2,3,-,62
"S00174185",101,9,20,8,4,6,-,54
"S00174186",127,16,29,8,2,-,1,67
"S00174187",75,8,14,6,5,1,-,39
"S00174188",88,18,14,9,4,4,-,41
"S00174189",88,18,27,6,2,2,1,34
"S00174190",171,33,27,8,5,6,1,91
"S00174191",70,11,13,-,2,3,-,39
"S00174192",75,8,18,8,4,5,-,34
"S00174193",100,6,30,2,6,1,2,58
"S00174194",112,18,22,3,3,-,1,65
"S00174195",150,24,25,2,6,6,-,86
"S00174196",65,11,21,2,4,3,-,23
"S00174197",145,24,43,7,6,4,-,63
"S00174198",175,24,25,8,5,10,-,104
"S00174199",157,25,46,10,1,5,-,70
"S00174200",135,11,32,6,3,10,1,72
"S00174201",153,19,29,2,3,9,1,90
"S00174202",98,8,19,8,12,4,-,45
"S00174203",96,16,21,3,6,4,-,44
"S00174204",109,9,28,6,3,4,-,60
"S00174205",137,27,27,2,13,4,-,64
"S00174206",252,46,33,9,11,8,2,141
"S00174207",69,12,22,3,-,2,1,29
"S00174208",108,19,20,4,7,2,-,54
"S00174209",88,8,21,7,2,-,1,50
"S00174210",85,15,11,5,3,7,-,48
"S00174211",79,16,21,3,8,-,-,27
"S00174212",64,5,13,2,2,5,-,34
"S00174213",97,12,31,1,2,1,-,50
"S00174214",100,14,20,5,6,-,-,52
"S00174215",87,16,20,2,2,6,-,42
"S00174216",139,21,49,6,3,4,-,56
"S00174217",133,15,35,6,8,1,-,68
"S00174218",186,41,30,16,7,7,1,86
"S00174219",66,4,24,1,2,3,2,29
"S00174220",87,11,22,4,3,2,-,46
"S00174221",130,23,31,4,4,4,-,66
"S00174222",98,15,14,2,7,7,-,55
"S00174223",142,19,21,6,10,7,5,75
"S00174224",137,18,33,6,1,5,-,72
"S00174225",67,14,28,4,-,3,1,19
"S00174226",178,26,52,3,5,4,-,86
"S00174227",134,16,24,3,4,7,-,79
"S00174228",145,28,23,5,4,6,-,79
"S00174229",185,23,40,11,10,6,2,92
"S00174230",113,19,30,1,-,2,-,58
"S00174231",94,19,15,1,3,3,2,52
"S00174232",147,22,24,3,6,-,-,91
"S00174233",93,15,17,-,2,8,-,44
"S00174234",74,3,20,1,2,-,-,46
"S00174235",93,19,23,6,2,5,-,40
"S00174236",129,18,32,-,9,1,-,63
"S00174237",85,11,36,3,-,6,3,32
"S00174238",99,15,41,4,3,1,-,37
"S00174239",112,16,31,6,7,4,-,48
"S00174240",162,29,32,8,8,3,1,82
"S00174241",149,23,38,6,5,5,2,72
"S00174242",109,18,35,5,4,7,3,42
"S00174243",138,23,37,7,4,6,-,60
"S00174244",91,22,15,-,-,3,1,50
"S00174245",100,18,40,2,2,1,-,37
"S00174246",115,24,30,7,1,-,2,55
"S00174247",104,17,31,8,7,2,-,38
"S00174248",118,15,28,2,6,7,-,58
"S00174249",120,14,27,2,3,1,-,71
"S00174250",116,18,27,5,1,7,-,58
"S00174251",153,28,25,4,5,9,1,84
"S00174252",127,22,29,3,9,1,3,61
"S00174253",124,19,18,-,8,6,-,73
"S00174254",183,39,40,8,6,4,2,85
"S00174255",130,12,36,4,1,6,-,73
"S00174256",124,25,31,5,5,3,-,52
"S00174257",87,13,31,2,3,-,-,39
"S00174258",95,9,26,2,-,-,-,52
"S00174259",155,30,31,6,7,6,-,75
"S00174260",74,8,10,4,4,5,-,44
"S00174261",87,13,18,3,6,2,-,45
"S00174262",88,12,21,3,9,10,2,30
"S00174263",132,25,42,8,5,3,-,51
"S00174264",90,14,20,2,6,3,-,47
"S00174265",105,16,19,5,2,5,1,56
"S00174266",83,14,13,4,4,-,1,52
"S00174267",67,6,7,2,1,1,-,49
"S00174268",63,8,16,3,-,2,1,32
"S00174269",112,6,39,10,2,-,-,53
"S00174270",96,16,19,5,4,4,-,47
"S00174271",148,24,18,4,5,10,-,91
"S00174272",76,10,19,8,-,4,-,35
"S00174273",107,25,29,6,4,-,1,40
"S00174274",124,16,37,8,4,7,-,52
"S00174275",138,15,27,3,4,4,-,83
"S00174276",103,7,14,1,13,3,-,63
"S00174277",111,6,28,4,-,5,1,66
"S00174278",96,14,17,3,3,9,-,50
"S00174279",155,20,13,6,2,5,-,109
"S00174280",106,13,32,6,1,5,-,48
"S00174281",132,17,18,9,2,4,-,82
"S00174282",99,12,15,8,9,4,2,59
"S00174283",104,17,27,2,4,6,-,47
"S00174284",69,-,24,3,3,6,-,26
"S00174285",170,20,30,5,6,18,2,93
"S00174286",69,5,18,3,1,2,1,44
"S00174287",74,8,27,5,2,-,-,32
"S00174288",179,35,25,6,4,7,-,102
"S00174289",111,13,20,3,9,7,1,59
"S00174290",104,11,25,12,3,3,-,50
"S00174291",68,13,5,-,3,4,-,43
"S00174292",177,23,26,4,5,3,-,116
"S00174293",112,8,19,-,1,4,2,77
"S00174294",139,16,31,4,5,7,2,74
"S00174295",127,13,31,6,6,3,-,69
"S00174296",139,22,26,3,4,5,2,79
"S00174297",119,18,25,5,11,9,-,48
"S00174298",87,20,9,-,5,3,1,48
"S00174299",140,10,25,4,8,5,-,85
"S00174300",131,25,23,7,2,5,-,64
"S00174301",121,9,21,2,8,4,1,70
"S00174302",184,34,43,7,12,10,4,77
"S00174303",159,28,32,4,5,4,5,81
"S00174304",107,8,11,1,6,7,1,71
"S00174305",78,8,23,1,2,2,3,38
"S00174306",101,17,20,4,5,5,2,44
"S00174307",110,24,19,4,-,6,-,55
"S00174308",99,13,17,3,3,9,-,54
"S00174309",125,22,24,8,1,7,1,63
"S00174310",83,9,21,4,3,2,2,42
"S00174311",59,10,19,1,2,-,-,27
"S00174312",70,16,13,2,2,-,4,35
"S00174313",111,12,20,7,3,5,1,61
"S00174314",81,10,18,6,1,3,-,45
"S00174315",67,8,17,1,-,4,-,37
"S00174316",73,13,25,4,7,3,-,22
"S00174317",65,6,13,-,3,2,-,39
"S00174318",114,17,12,7,4,7,4,64
"S00174319",101,20,8,3,1,9,-,60
"S00174320",118,27,16,1,-,3,-,78
"S00174321",128,16,31,3,4,-,1,75
"S00174322",81,11,16,6,3,5,-,41
"S00174323",99,17,19,4,6,6,-,49
"S00174324",88,17,10,6,2,2,-,49
"S00174325",99,10,28,7,4,9,-,43
"S00174326",108,24,24,2,1,3,-,57
"S00174327",116,34,20,1,4,8,-,46
"S00174328",201,31,35,11,11,9,-,101
"S00174329",68,7,13,3,1,1,-,42
"S00174330",103,13,36,7,4,-,1,42
"S00174331",152,24,23,-,7,13,1,82
"S00174332",71,10,22,1,4,-,-,34
"S00174333",125,17,16,4,3,4,-,80
"S00174334",124,14,11,4,7,4,1,80
"S00174335",88,20,15,3,8,5,-,40
"S00174336",153,21,19,3,2,10,-,93
"S00174337",203,32,46,10,2,4,-,110
"S00174338",67,8,21,1,3,2,-,32
"S00174339",68,6,3,6,4,2,1,49
"S00174340",67,12,6,2,1,3,2,38
"S00174341",76,14,17,1,6,7,1,30
"S00174342",109,19,25,-,1,6,-,56
"S00174343",107,27,12,6,5,9,-,48
"S00174344",108,18,6,3,5,10,-,64
"S00174345",136,17,24,7,7,6,1,73
"S00174346",58,9,18,1,1,2,-,27
"S00174347",90,4,18,1,4,4,-,55
"S00174348",94,12,26,-,2,3,-,51
"S00174349",72,14,17,4,2,1,-,38
"S00174350",189,23,35,12,7,5,1,108
"S00174351",166,24,34,2,8,9,-,83
"S00174352",157,27,36,8,8,2,-,74
"S00174353",63,14,12,2,-,5,1,24
"S00174354",103,13,40,3,8,-,-,41
"S00174355",105,23,24,6,1,4,-,46
"S00174356",84,13,22,4,2,3,-,40
"S00174357",109,32,20,4,7,16,-,30
"S00174358",141,34,53,1,-,3,1,47
"S00174359",78,11,21,6,3,3,1,37
"S00174360",111,14,40,5,5,2,-,42
"S00174361",142,25,24,7,5,8,-,73
"S00174362",78,14,10,5,4,2,-,42
"S00174363",64,2,21,5,7,6,-,23
"S00174364",125,14,14,-,5,10,-,83
"S00174365",113,18,32,4,8,3,-,48
"S00174366",173,35,41,2,3,4,1,89
"S00174367",90,19,15,5,4,5,1,43
"S00174368",125,24,19,1,7,7,2,62
"S00174369",106,24,19,5,6,4,-,51
"S00174370",122,23,23,17,6,8,-,45
"S00174371",59,17,15,1,1,4,-,18
"S00174372",78,13,8,3,5,2,-,49
"S00174373",97,15,25,4,6,9,-,42
"S00174374",127,22,46,3,2,4,1,53
"S00174375",150,22,34,-,7,6,2,74
"S00174376",131,15,16,6,7,10,1,77
"S00174377",112,12,23,3,3,4,2,66
"S00174378",125,13,22,2,3,11,2,72
"S00174379",105,25,27,4,6,2,-,42
"S00174380",80,20,17,3,2,1,-,35
"S00174381",101,12,17,5,10,6,-,51
"S00174382",101,12,14,1,9,-,-,61
"S00174383",79,12,4,-,4,5,-,54
"S00174384",80,16,13,-,4,3,-,44
"S00174385",89,17,23,14,3,2,-,27
"S00174386",110,23,7,6,4,6,-,68
"S00174387",107,21,25,4,11,-,-,47
"S00174388",157,16,13,5,6,12,-,105
"S00174389",89,19,18,1,1,3,2,47
"S00174390",127,21,40,9,7,-,-,48
"S00174391",105,12,32,2,7,6,-,45
"S00174392",80,16,23,1,5,1,-,40
"S00174393",62,10,13,4,-,1,-,28
"S00174394",135,16,49,4,10,2,-,54
"S00174395",96,7,17,6,5,3,-,62
"S00174396",106,16,24,11,3,3,1,51
"S00174397",118,24,41,2,3,3,-,51
"S00174398",85,12,16,-,6,2,2,43
"S00174399",81,11,20,3,3,5,1,35
"S00174400",86,10,17,4,1,5,-,49
"S00174401",103,19,40,5,4,4,1,30
"S00174402",126,11,27,2,3,4,-,79
"S00174403",113,15,24,3,7,8,-,57
"S00174404",116,22,29,3,7,3,-,52
"S00174405",219,38,78,11,14,3,-,73
"S00174406",160,28,21,5,10,6,-,90
"S00174407",124,16,40,3,8,5,3,50
"S00174408",127,21,40,5,3,3,-,55
"S00174409",94,12,18,8,7,2,-,48
"S00174410",88,17,40,7,2,-,1,20
"S00174411",69,14,16,2,5,3,-,31
"S00174412",124,6,20,-,9,9,-,81
"S00174413",101,17,12,6,3,6,-,53
"S00174414",93,19,20,4,-,1,-,46
"S00174415",130,18,38,1,3,7,-,63
"S00174416",62,7,19,2,2,5,-,25
"S00174417",95,8,36,6,6,-,1,41
"S00174418",75,12,28,2,2,-,1,37
"S00174419",102,23,18,6,5,7,-,47
"S00174420",111,18,32,6,1,1,-,50
"S00174421",66,12,18,2,2,5,-,26
"S00174422",92,15,22,2,5,6,2,41
"S00174423",83,8,25,4,7,4,-,34
"S00174424",78,18,18,-,2,4,-,35
"S00174425",136,19,32,7,4,1,1,72
"S00174426",71,10,16,8,3,-,1,35
"S00174427",62,10,19,1,3,4,1,25
"S00174428",63,11,7,1,-,5,1,38
"S00174429",108,19,21,6,1,-,-,57
"S00174430",70,20,12,6,4,4,-,30
"S00174431",84,13,17,4,8,5,-,41
"S00174432",107,20,28,12,4,5,3,35
"S00174433",81,4,21,6,3,1,-,45
"S00174434",66,16,17,2,3,2,-,30
"S00174435",141,18,27,6,5,11,2,71
"S00174436",75,4,17,7,3,7,-,38
"S00174437",107,10,21,2,10,4,1,65
"S00174438",67,8,13,2,1,8,-,38
"S00174439",81,15,25,3,5,2,-,28
"S00174440",110,10,30,3,11,3,-,56
"S00174441",86,10,19,4,4,4,-,49
"S00174442",74,11,25,7,-,3,-,28
"S00174443",60,11,17,3,2,-,-,27
"S00174444",75,18,20,3,1,2,-,29
"S00174445",157,27,22,10,9,15,-,75
"S00174446",104,11,28,4,3,8,-,52
"S00174447",77,13,24,5,1,-,-,34
"S00174448",83,16,20,6,3,4,-,37
"S00174449",141,23,27,5,8,8,-,70
"S00174450",139,18,41,6,3,3,1,65
"S00174451",104,11,38,6,4,3,-,44
"S00174452",98,17,21,5,2,4,-,49
"S00174453",106,22,13,-,-,5,-,68
"S00174454",79,7,23,1,2,3,-,43
"S00174455",117,30,25,8,4,11,-,39
"S00174456",92,10,24,1,2,3,-,54
"S00174457",66,9,19,2,3,5,-,27
"S00174458",90,14,17,2,-,-,1,56
"S00174459",63,8,21,1,1,4,-,30
"S00174460",113,25,26,4,2,1,1,53
"S00174461",116,30,17,4,7,4,-,51
"S00174462",169,28,35,4,10,8,2,79
"S00174463",95,7,18,12,3,1,-,52
"S00174464",89,9,21,4,10,2,1,39
"S00174465",110,26,17,2,-,9,1,53
"S00174466",101,5,22,2,1,7,2,59
"S00174467",157,27,39,6,6,4,-,74
"S00174468",141,19,29,3,2,5,-,85
"S00174469",107,19,27,1,3,9,-,45
"S00174470",66,11,14,1,1,11,-,31
"S00174471",72,11,22,11,1,-,2,27
"S00174472",99,18,25,-,8,9,2,45
"S00174473",141,25,31,2,7,4,-,69
"S00174474",96,10,37,6,6,1,1,33
"S00174475",154,23,23,4,3,10,-,85
"S00174476",121,32,21,3,2,9,-,55
"S00174477",121,13,12,11,8,3,-,75
"S00174478",76,9,9,4,11,5,-,39
"S00174479",94,22,22,10,3,10,-,27
"S00174480",100,13,13,-,-,6,2,64
"S00174481",128,21,29,3,2,4,4,62
"S00174482",126,19,24,4,6,5,2,67
"S00174483",161,21,41,1,1,6,3,86
"S00174484",115,18,22,6,8,2,-,57
"S00174485",109,16,17,2,5,4,-,67
"S00174486",106,20,16,-,4,11,-,56
"S00174487",129,14,33,3,5,6,-,64
"S00174488",166,21,31,8,6,8,-,93
"S00174489",157,19,45,7,4,3,2,73
"S00174490",77,19,24,-,2,2,1,32
"S00174491",114,25,41,4,-,2,1,40
"S00174492",100,23,20,1,4,-,-,51
"S00174493",60,6,13,6,2,-,-,36
"S00174494",73,6,19,-,6,2,-,40
"S00174495",87,9,31,4,5,1,-,36
"S00174496",90,12,21,5,2,2,-,48
"S00174497",74,13,25,4,-,2,-,29
"S00174498",136,22,33,6,8,7,-,60
"S00174499",172,22,39,8,1,2,-,99
"S00174500",114,24,23,11,6,3,-,44
"S00174501",105,18,23,8,10,5,-,41
"S00174502",142,19,25,1,8,5,2,78
"S00174503",159,17,36,10,3,2,-,90
"S00174504",85,9,25,2,4,3,-,40
"S00174505",63,5,20,6,2,4,1,31
"S00174506",157,12,33,1,6,5,-,99
"S00174507",74,8,16,4,2,1,-,40
"S00174508",79,19,23,3,7,-,3,28
"S00174509",89,14,13,3,4,5,-,48
"S00174510",104,7,28,5,8,3,-,55
"S00174511",114,11,19,9,5,2,1,67
"S00174512",75,8,22,2,3,5,-,33
"S00174513",134,14,34,4,14,4,-,64
"S00174514",161,18,44,5,9,6,2,79
"S00174515",170,19,32,11,9,7,2,92
"S00174516",104,25,22,4,6,1,-,45
"S00174517",72,10,26,5,1,2,-,29
"S00174518",131,11,32,7,5,7,1,67
"S00174519",62,11,22,2,4,1,-,27
"S00174520",113,18,23,2,6,-,-,65
"S00174521",110,28,15,-,-,2,-,70
"S00174522",83,12,18,13,-,2,1,36
"S00174523",102,7,21,9,2,3,-,61
"S00174524",134,27,27,11,4,1,-,67
"S00174525",123,24,34,1,5,2,-,57
"S00174526",134,27,29,3,5,4,-,69
"S00174527",159,24,48,10,7,3,-,68
"S00174528",71,11,19,5,1,9,-,26
"S00174529",118,21,25,4,5,2,1,60
"S00174530",133,22,13,-,4,7,1,82
"S00174531",92,16,22,2,5,3,-,42
"S00174532",85,16,12,7,6,1,1,42
"S00174533",84,8,27,4,6,1,-,38
"S00174534",79,15,9,2,3,2,-,50
"S00174535",95,14,23,4,4,3,-,50
"S00174536",110,12,40,3,1,-,-,53
"S00174537",106,11,17,3,3,9,-,64
"S00174538",120,11,25,4,6,3,-,71
"S00174539",125,18,25,6,7,6,1,62
"S00174540",87,8,19,7,3,1,-,47
"S00174541",65,4,27,4,5,6,-,23
"S00174542",143,20,43,14,3,1,-,62
"S00174543",132,15,50,3,4,6,-,54
"S00174544",118,26,24,8,-,3,-,56
"S00174545",128,13,30,4,5,5,2,63
"S00174546",89,16,30,1,-,-,-,40
"S00174547",108,21,27,6,-,-,-,52
"S00174548",155,31,59,3,1,3,1,61
"S00174549",96,11,24,4,3,-,-,54
"S00174550",131,18,49,8,-,-,-,55
"S00174551",133,27,35,10,3,2,2,50
"S00174552",135,40,27,7,5,4,1,52
"S00174553",96,11,29,4,5,2,-,46
"S00174554",105,18,34,9,4,-,1,39
"S00174555",106,15,30,8,2,1,1,47
"S00174556",95,14,25,9,6,4,-,37
"S00174557",119,18,27,8,5,3,-,60
"S00174558",100,6,19,7,3,3,-,62
"S00174559",94,6,30,6,2,3,1,45
"S00174560",136,16,41,12,7,3,-,59
"S00174561",98,22,20,4,4,-,-,49
"S00174562",125,14,37,14,2,1,-,56
"S00174563",73,13,19,12,10,-,-,22
"S00174564",114,17,31,9,6,2,-,49
"S00174565",74,16,22,5,3,-,-,34
"S00174566",83,13,28,7,3,2,-,31
"S00174567",110,17,26,2,3,3,-,60
"S00174568",88,11,26,7,4,1,4,37
"S00174569",107,16,31,3,4,-,1,47
"S00174570",143,17,50,11,6,3,1,56
"S00174571",147,18,47,10,6,-,1,67
"S00174572",101,17,17,5,4,-,1,57
"S00174573",82,2,31,-,3,1,-,42
"S00174574",71,20,10,6,4,6,1,24
"S00174575",122,13,43,6,9,3,2,45
"S00174576",83,18,19,2,3,1,-,37
"S00174577",98,22,29,3,2,4,-,47
"S00174578",134,15,31,10,3,3,-,64
"S00174579",81,6,16,3,8,-,-,48
"S00174580",90,5,19,6,1,4,-,55
"S00174581",88,11,23,3,-,2,-,50
"S00174582",151,23,41,14,6,4,2,59
"S00174583",72,7,26,12,6,-,-,21
"S00174584",92,10,23,3,-,4,2,49
"S00174585",143,23,37,13,14,5,-,51
"S00174586",105,7,22,10,8,-,2,48
"S00174587",79,10,15,4,4,2,-,43
"S00174588",90,11,23,8,3,-,-,48
"S00174589",82,13,27,2,5,3,2,34
"S00174590",141,31,49,6,1,2,2,45
"S00174591",94,16,20,6,6,-,-,49
"S00174592",76,15,19,3,3,5,-,32
"S00174593",84,14,16,4,3,-,-,45
"S00174594",70,12,16,-,-,4,1,36
"S00174595",62,7,16,4,-,-,-,31
"S00174596",162,19,44,5,10,5,-,83
"S00174597",118,12,31,6,2,2,4,66
"S00174598",85,13,14,4,4,-,1,46
"S00174599",142,23,42,13,1,3,1,62
"S00174600",115,11,32,8,1,2,-,59
"S00174601",127,16,40,5,6,6,1,53
"S00174602",131,16,38,9,10,1,1,56
"S00174603",85,10,22,4,3,1,2,42
"S00174604",77,12,14,3,4,6,-,38
"S00174605",66,12,10,1,4,-,-,37
"S00174606",108,13,28,1,9,7,-,52
"S00174607",88,10,14,5,9,-,-,47
"S00174608",98,13,23,7,1,6,1,47
"S00174609",109,17,16,12,-,1,4,56
"S00174610",82,20,27,4,9,1,2,17
"S00174611",79,9,24,3,7,3,-,33
"S00174612",127,13,29,4,17,6,-,61
"S00174613",74,11,24,6,2,2,-,30
"S00174614",128,13,34,13,8,7,1,53
"S00174615",125,11,23,8,3,5,-,78
"S00174616",101,9,27,7,6,2,-,55
"S00174617",118,19,29,4,6,5,-,56
"S00174618",124,15,26,1,4,3,-,75
"S00174619",104,13,41,3,7,2,-,38
"S00174620",79,10,26,1,3,-,-,39
"S00174621",111,13,33,4,7,4,-,51
"S00174622",144,23,41,3,3,3,-,66
"S00174623",81,21,23,8,11,5,-,15
"S00174624",91,8,25,3,4,-,3,46
"S00174625",75,18,14,-,2,3,1,35
"S00174626",60,10,18,1,-,1,-,30
"S00174627",79,9,24,6,5,1,2,32
"S00174628",136,10,42,3,2,1,-,75
"S00174629",92,17,22,6,4,1,-,47
"S00174630",127,13,43,8,4,4,1,54
"S00174631",121,14,37,9,5,5,-,51
"S00174632",58,13,18,-,4,2,-,21
"S00174633",164,18,36,21,5,7,-,73
"S00174634",100,10,31,4,7,5,1,38
"S00174635",157,21,22,4,-,5,-,102
"S00174636",167,21,52,18,8,3,-,65
"S00174637",63,13,18,4,4,-,1,23
"S00174638",59,8,20,-,3,-,-,30
"S00174639",139,26,25,2,5,11,-,72
"S00174640",84,8,23,4,-,2,-,49
"S00174641",63,7,15,4,1,-,-,35
"S00174642",66,9,18,2,3,5,-,30
"S00174643",97,16,29,2,5,-,-,46
"S00174644",114,26,18,7,12,-,-,52
"S00174645",90,24,20,11,1,6,-,30
"S00174646",64,5,14,3,6,2,-,34
"S00174647",71,17,17,2,-,3,-,29
"S00174648",181,13,48,15,5,1,-,98
"S00174649",124,28,31,16,3,4,-,40
"S00174650",67,8,23,-,3,-,-,31
"S00174651",150,9,40,12,1,6,-,83
"S00174652",80,12,27,3,2,-,4,33
"S00174653",84,15,22,2,2,2,-,41
"S00174654",65,13,14,2,5,1,-,30
"S00174655",124,10,45,7,5,1,-,59
"S00174656",60,12,14,1,4,1,-,27
"S00174657",124,14,38,11,7,5,-,48
"S00174658",69,14,15,4,-,1,-,34
"S00174659",169,24,49,11,9,4,2,71
"S00174660",70,23,20,1,-,1,-,21
"S00174661",146,17,32,10,6,3,-,78
"S00174662",104,17,36,3,5,-,4,40
"S00174663",106,15,9,-,8,5,-,67
"S00174664",70,7,19,1,5,3,-,33
"S00174665",93,11,24,11,3,-,1,42
"S00174666",73,18,18,5,4,3,-,18
"S00174667",133,29,33,6,8,3,-,55
"S00174668",69,8,27,2,2,4,-,27
"S00174669",86,13,36,4,4,-,-,28
"S00174670",82,17,14,2,4,4,-,35
"S00174671",116,23,31,4,6,4,-,48
"S00174672",65,17,5,4,-,-,-,38
"S00174673",95,13,33,3,-,4,-,43
"S00174674",64,11,25,2,6,2,-,16
"S00174675",74,11,23,1,1,-,-,35
"S00174676",135,16,30,7,2,6,-,74
"S00174677",109,14,13,2,5,10,1,66
"S00174678",88,8,19,5,4,9,-,42
"S00174679",114,21,33,4,3,6,-,53
"S00174680",136,17,18,2,12,7,3,73
"S00174681",82,5,18,5,2,3,1,44
"S00174682",65,18,11,3,3,1,-,32
"S00174683",139,17,16,-,5,6,-,96
"S00174684",96,11,22,3,4,3,4,47
"S00174685",79,11,5,-,-,2,1,60
"S00174686",97,20,20,4,1,2,-,49
"S00174687",161,29,36,5,7,-,4,79
"S00174688",102,23,19,7,1,1,-,47
"S00174689",100,14,29,1,1,3,1,52
"S00174690",95,11,20,5,2,6,-,51
"S00174691",61,7,8,3,2,4,-,36
"S00174692",73,10,25,4,3,1,-,28
"S00174693",84,9,12,3,1,4,-,54
"S00174694",156,33,46,8,5,6,1,59
"S00174695",65,11,20,2,3,6,-,23
"S00174696",171,25,40,3,6,8,-,89
"S00174697",65,8,20,4,3,4,-,27
"S00174698",72,7,26,4,3,3,-,30
"S00174699",106,20,21,6,3,6,2,48
"S00174700",200,32,37,10,3,16,-,100
"S00174701",90,10,24,7,3,3,1,41
"S00174702",131,24,51,6,3,10,-,43
"S00174703",117,24,41,2,-,11,-,40
"S00174704",66,12,11,2,-,9,1,32
"S00174705",70,10,28,1,3,2,-,26
"S00174706",123,21,28,4,4,16,1,52
"S00174707",122,24,33,4,10,7,-,44
"S00174708",78,13,16,5,2,6,-,35
"S00174709",194,34,56,14,5,12,-,76
"S00174710",159,16,46,8,4,4,-,82
"S00174711",143,19,43,8,5,8,-,59
"S00174712",133,21,28,4,3,7,-,64
"S00174713",98,13,27,-,3,6,-,46
"S00174714",136,17,38,1,-,3,-,76
"S00174715",152,22,40,4,6,11,-,69
"S00174716",100,13,26,2,1,5,-,55
"S00174717",136,13,41,11,7,6,-,58
"S00174718",110,14,30,1,6,8,2,49
"S00174719",62,8,7,2,2,1,1,44
"S00174720",118,24,38,9,4,14,1,28
"S00174721",120,13,36,1,10,4,2,53
"S00174722",203,40,49,6,5,10,-,93
"S00174723",182,34,49,5,6,1,1,92
"S00174724",170,31,60,6,7,14,-,55
"S00174725",60,5,13,5,9,3,1,24
"S00174726",109,23,22,-,6,3,-,53
"S00174727",74,13,20,3,9,8,-,24
"S00174728",174,24,41,16,12,5,-,80
"S00174729",73,17,16,3,3,2,1,31
"S00174730",126,21,35,9,5,14,3,39
"S00174731",60,18,19,6,4,2,-,17
"S00174732",182,28,57,10,9,16,4,54
"S00174733",154,24,45,4,8,10,1,65
"S00174734",197,52,54,7,1,5,1,76
"S00174735",95,14,39,3,4,4,-,33
"S00174736",69,7,25,4,2,1,-,25
"S00174737",78,21,23,5,-,3,-,27
"S00174738",141,26,35,13,2,4,-,65
"S00174739",156,35,39,12,6,9,-,56
"S00174740",92,14,33,9,5,7,1,26
"S00174741",85,15,9,11,5,6,1,41
"S00174742",151,19,36,10,6,12,-,70
"S00174743",158,40,21,8,6,18,-,60
