Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00179941",37,9,17,13,1,3,5,2,-,-,3,-,-,6,-,1,-,3,2,-,-
"S00179942",48,13,11,5,2,4,8,3,-,3,3,-,1,15,-,-,1,3,1,5,3
"S00179943",29,9,4,2,-,1,7,2,-,3,-,-,-,9,2,-,-,5,-,1,-
"S00179944",82,33,26,7,12,7,17,3,3,1,-,1,3,11,-,-,-,2,-,1,6
"S00179945",41,24,11,6,2,2,5,1,-,1,1,-,2,1,-,-,-,1,-,-,-
"S00179946",57,15,27,12,6,9,11,3,2,-,4,-,3,4,-,-,1,1,-,-,3
"S00179947",54,6,10,3,1,3,21,6,2,2,2,7,2,17,3,1,-,3,1,1,6
"S00179948",35,9,7,2,2,-,9,-,-,-,4,-,-,13,2,-,-,-,2,-,9
"S00179949",47,15,4,4,1,1,7,1,-,4,-,5,-,15,-,-,1,8,5,-,2
"S00179950",43,22,11,4,2,6,5,-,-,1,1,2,1,5,-,2,-,-,1,2,-
"S00179951",44,19,11,6,1,7,9,4,-,2,-,2,-,7,2,-,1,1,-,-,1
"S00179952",64,19,12,2,4,7,28,4,5,7,10,2,4,5,-,1,-,4,-,-,2
"S00179953",44,19,8,4,1,3,9,1,-,2,1,2,3,8,2,-,-,4,2,-,2
"S00179954",68,25,24,11,1,6,7,-,-,-,4,3,3,13,-,-,2,3,2,-,1
"S00179955",45,20,9,2,2,4,9,3,-,1,4,-,-,7,-,-,4,2,-,1,2
"S00179956",70,32,21,7,7,7,11,4,2,1,2,1,1,6,-,-,-,4,-,2,-
"S00179957",54,27,9,-,3,5,9,2,-,1,2,3,-,12,2,-,-,-,-,6,2
"S00179958",65,19,23,8,6,10,15,2,2,3,5,2,3,8,-,-,-,2,-,2,4
"S00179959",48,11,11,1,5,2,11,-,3,2,-,2,3,15,-,-,-,2,1,3,9
"S00179960",43,9,14,6,3,4,12,1,-,2,2,6,-,8,-,-,-,3,2,5,-
"S00179961",51,25,11,5,3,3,8,3,-,2,-,1,-,8,-,-,-,4,-,-,3
"S00179962",41,14,13,5,5,5,9,3,1,1,-,3,-,5,-,-,-,-,1,-,4
"S00179963",51,20,8,6,1,-,12,1,-,2,3,4,4,12,2,-,1,5,1,1,2
"S00179964",42,9,20,12,4,4,7,5,-,-,-,2,1,4,-,-,-,3,-,-,1
"S00179965",60,20,18,4,6,9,11,-,-,4,2,1,1,13,-,-,-,5,-,3,6
"S00179966",41,6,18,6,3,5,9,2,2,2,5,2,1,5,1,-,-,1,-,1,2
"S00179967",53,23,14,3,8,3,8,3,1,-,1,-,-,8,-,-,1,2,3,-,2
"S00179968",42,13,12,8,2,3,9,2,-,4,3,-,1,4,1,-,-,2,-,-,2
"S00179969",49,21,16,4,2,9,9,1,-,3,4,3,-,3,-,2,-,2,-,-,1
"S00179970",41,20,12,6,3,3,4,-,1,-,-,-,4,4,-,-,-,-,1,-,4
"S00179971",43,15,8,4,2,1,12,4,-,1,4,2,1,8,4,-,-,-,-,-,2
"S00179972",64,31,17,7,5,5,6,1,2,-,1,1,2,10,1,-,1,2,1,3,3
"S00179973",75,31,36,12,12,12,5,-,-,2,-,-,-,7,-,1,1,-,1,1,3
"S00179974",52,19,11,6,2,4,13,5,2,1,3,1,-,9,-,-,-,1,1,3,2
"S00179975",47,17,7,3,1,3,10,2,2,-,4,1,4,13,-,-,2,3,-,3,2
"S00179976",63,20,15,8,-,5,11,-,1,2,2,1,3,17,-,-,-,6,5,2,4
"S00179977",66,25,18,10,5,3,15,2,1,3,4,3,2,8,-,-,-,8,1,2,1
"S00179978",34,13,10,6,3,2,3,-,-,-,1,2,-,7,-,-,-,3,3,-,1
"S00179979",38,13,6,2,1,2,11,1,-,2,4,2,1,8,-,-,-,3,2,-,4
"S00179980",73,25,21,4,6,7,15,5,2,-,3,4,1,15,-,1,-,4,2,2,8
"S00179981",29,12,4,2,2,-,8,-,1,-,2,3,-,5,-,-,-,3,-,1,-
"S00179982",54,24,19,8,2,7,7,1,1,2,2,-,5,11,-,4,-,1,1,1,4
"S00179983",53,12,16,9,6,5,15,2,-,3,4,1,2,10,-,1,-,4,1,1,3
"S00179984",72,41,21,5,6,12,4,1,2,-,-,-,-,3,-,-,1,-,1,1,-
"S00179985",55,28,10,2,4,2,11,5,1,2,2,2,-,7,-,-,-,-,-,-,2
"S00179986",43,19,8,2,2,4,9,2,2,-,6,1,1,7,-,-,-,5,-,1,3
"S00179987",53,25,10,3,3,8,10,1,2,1,3,-,2,5,-,-,-,-,-,1,3
"S00179988",66,28,15,6,5,4,13,1,2,2,6,2,1,10,-,-,-,6,-,3,1
"S00179989",66,26,11,8,-,1,13,-,4,3,3,1,3,16,-,2,-,4,1,3,4
"S00179990",44,9,9,4,2,-,10,1,1,-,2,4,-,17,-,3,-,2,2,2,6
"S00179991",75,43,25,8,10,5,8,1,-,-,-,-,5,2,-,-,-,-,-,-,-
"S00179992",43,20,12,7,3,2,6,-,-,1,1,1,2,5,-,2,-,5,-,-,-
"S00179993",40,9,8,2,3,2,10,2,4,2,1,2,1,11,-,3,-,6,-,-,-
"S00179994",42,14,8,5,1,1,9,1,-,1,3,2,1,9,-,1,2,7,2,1,2
"S00179995",58,22,15,6,11,1,13,2,1,-,8,3,-,8,-,-,-,4,1,-,3
"S00179996",41,15,8,3,4,2,10,-,1,2,5,-,1,8,2,-,-,2,1,-,3
"S00179997",43,13,11,5,3,3,6,-,-,1,1,2,-,13,-,-,2,3,1,2,5
"S00179998",47,15,9,3,6,-,11,-,1,1,4,-,5,13,-,1,-,4,-,2,4
"S00179999",54,11,10,4,4,5,15,3,1,2,3,5,2,13,2,-,-,3,2,3,4
"S00180000",42,17,6,2,1,2,9,1,1,3,3,-,1,10,-,-,-,1,1,3,4
"S00180001",51,21,13,7,1,3,6,1,-,4,1,1,1,11,-,-,4,5,-,2,3
"S00180002",65,20,15,11,2,4,11,2,3,1,-,4,1,19,-,-,1,4,-,6,4
"S00180003",54,18,8,5,4,1,7,2,-,3,1,-,-,21,-,2,-,6,3,5,4
"S00180004",39,7,2,-,2,-,8,4,2,1,4,1,-,20,-,1,1,7,-,6,5
"S00180005",68,28,5,5,2,1,17,5,2,4,3,-,2,15,-,2,-,6,-,4,6
"S00180006",62,17,12,4,6,1,14,1,3,2,3,1,2,17,-,4,1,3,-,1,9
"S00180007",58,9,9,3,1,2,22,4,-,4,4,4,5,22,1,3,-,5,-,5,8
"S00180008",39,16,5,-,-,3,9,1,2,2,-,2,-,8,-,-,-,2,4,1,3
"S00180009",34,12,4,2,1,1,7,2,2,1,2,-,-,12,-,-,1,2,-,1,8
"S00180010",43,16,8,4,2,3,5,1,-,-,-,1,1,13,-,1,-,4,2,2,6
"S00180011",76,30,19,3,7,7,12,2,-,2,2,3,2,16,-,2,1,6,-,3,3
"S00180012",56,19,9,6,1,2,9,-,-,3,5,-,1,15,-,1,1,2,3,7,6
"S00180013",42,21,10,4,-,5,5,4,-,-,-,2,-,8,1,-,-,2,3,-,2
"S00180014",43,15,14,4,5,5,8,1,1,3,-,-,1,4,-,-,2,2,-,-,-
"S00180015",60,25,19,6,6,7,6,-,2,3,-,-,1,10,-,-,2,1,-,4,2
"S00180016",44,24,6,-,2,2,9,-,-,1,4,2,1,5,1,1,-,1,-,1,1
"S00180017",75,37,15,4,6,2,15,-,6,2,1,2,3,6,-,-,2,1,1,1,2
"S00180018",48,19,9,1,4,4,8,1,2,2,1,-,-,12,1,-,-,3,2,-,4
"S00180019",40,17,10,3,1,4,6,-,-,1,3,2,-,12,-,1,-,4,-,2,3
"S00180020",75,34,15,2,8,5,15,3,2,2,6,2,2,10,-,2,2,3,1,-,3
"S00180021",64,20,16,5,4,4,15,3,-,5,2,2,1,16,-,1,2,6,1,2,1
"S00180022",77,21,26,5,18,7,19,-,4,1,3,-,9,9,-,-,5,2,-,2,-
"S00180023",85,41,31,6,17,6,15,1,1,2,4,-,3,1,-,-,-,1,-,-,-
"S00180024",62,17,27,14,8,8,14,-,1,-,8,-,4,4,-,-,-,3,-,1,1
"S00180025",47,14,19,4,8,9,7,-,3,-,4,-,-,7,-,1,1,3,-,1,1
"S00180026",72,51,18,7,6,3,1,-,1,-,1,1,-,-,-,-,-,-,-,-,-
"S00180027",46,11,13,4,2,9,6,2,-,-,3,-,-,15,-,1,-,6,-,2,5
"S00180028",49,23,9,1,1,5,5,-,-,-,3,-,3,15,-,-,-,4,-,2,4
"S00180029",59,16,27,12,12,6,8,-,2,1,2,-,3,4,-,2,-,2,-,-,-
"S00180030",73,34,23,7,8,5,11,3,-,2,3,-,-,11,-,-,-,-,-,3,6
"S00180031",41,13,11,1,3,5,10,2,1,-,3,1,1,7,-,-,-,5,-,-,2
"S00180032",63,19,25,5,18,3,8,-,3,1,1,3,1,10,-,1,2,3,-,1,3
"S00180033",41,20,11,4,5,2,6,-,1,2,2,1,-,3,-,-,-,2,-,2,-
"S00180034",33,18,4,2,2,2,5,-,-,-,4,1,-,4,-,-,-,-,-,1,3
"S00180035",73,31,33,5,15,11,10,-,6,-,2,1,-,1,-,-,-,1,-,-,-
"S00180036",54,18,12,7,5,4,13,-,3,-,5,3,2,7,2,-,-,-,1,1,3
"S00180037",54,16,24,6,10,8,8,-,3,1,4,-,-,6,-,2,1,1,-,-,-
"S00180038",37,8,6,2,1,3,13,-,-,-,4,2,3,12,1,-,-,2,-,2,4
"S00180039",41,17,7,2,8,-,7,2,3,-,2,-,-,12,-,2,1,2,-,1,3
"S00180040",57,18,25,1,14,6,14,-,5,2,4,1,3,5,-,2,2,2,-,-,-
"S00180041",77,38,29,3,9,20,4,-,1,-,-,-,-,5,-,3,1,-,-,-,-
"S00180042",49,23,8,5,1,2,8,2,-,1,2,2,-,8,-,-,1,1,1,-,4
"S00180043",39,13,6,4,-,2,8,-,-,3,3,-,5,11,-,-,2,3,2,1,5
"S00180044",53,18,11,1,6,4,16,4,2,-,2,2,3,10,1,1,-,1,-,2,2
"S00180045",45,22,10,4,6,2,12,2,6,1,-,1,2,4,-,-,1,2,-,-,-
"S00180046",62,18,26,13,9,7,14,1,4,2,6,-,4,6,-,1,-,2,1,1,-
"S00180047",81,48,24,5,13,6,7,-,-,1,2,3,1,2,-,-,-,-,-,-,2
"S00180048",39,16,9,7,1,-,8,2,-,1,1,2,2,6,-,-,2,3,2,-,-
"S00180049",40,7,20,6,12,3,10,-,3,2,5,-,2,5,-,1,4,-,-,-,-
"S00180050",62,11,20,7,5,9,23,6,2,3,5,6,4,8,-,-,-,3,1,-,-
"S00180051",56,26,19,4,9,6,7,2,2,2,1,-,1,-,-,-,-,-,-,-,-
"S00180052",82,37,33,15,8,10,4,-,-,2,-,-,2,6,-,-,3,1,-,3,-
"S00180053",54,17,25,7,14,4,12,-,2,1,-,3,3,5,-,-,1,-,-,-,2
"S00180054",72,29,20,3,12,5,10,1,2,-,3,-,2,13,-,4,-,1,-,3,3
"S00180055",44,14,13,3,7,6,8,-,-,2,2,1,2,4,-,-,3,2,-,1,-
"S00180056",47,16,10,5,1,4,9,-,-,2,1,1,-,9,3,2,-,-,1,4,-
"S00180057",42,16,5,5,1,1,6,-,1,1,1,4,1,15,-,-,2,5,1,1,7
"S00180058",59,23,8,5,-,3,10,2,2,4,1,-,1,20,2,2,-,7,2,1,7
"S00180059",41,21,3,-,1,2,3,2,-,-,-,2,-,14,-,-,-,8,2,1,2
"S00180060",62,16,23,6,11,6,15,2,2,2,8,-,1,8,-,2,1,3,-,1,2
"S00180061",63,31,12,6,5,1,14,3,-,-,3,3,3,10,-,4,-,4,-,2,3
"S00180062",56,33,18,7,8,3,4,-,-,3,1,-,-,-,-,-,-,-,-,-,-
"S00180063",54,21,22,11,4,4,8,-,-,2,2,2,-,6,-,2,-,2,-,2,-
"S00180064",46,2,11,5,-,4,13,2,2,4,3,2,-,17,-,-,3,10,1,2,5
"S00180065",48,16,15,6,5,7,9,-,4,3,3,-,3,1,-,-,-,-,-,1,-
"S00180066",71,21,18,5,8,5,12,1,5,4,2,-,1,18,-,1,-,-,1,7,7
"S00180067",53,29,14,2,6,5,9,-,2,-,10,-,-,-,-,-,-,-,-,-,-
"S00180068",32,9,7,1,2,5,6,1,-,2,-,2,-,5,2,-,3,-,-,-,1
"S00180069",82,36,38,10,17,11,6,-,3,-,-,1,2,2,-,2,-,-,-,-,-
"S00180070",79,25,25,12,8,5,14,3,2,2,4,2,-,17,-,1,2,3,3,4,2
"S00180071",33,5,6,1,3,2,15,5,3,1,1,4,4,11,-,2,1,5,-,2,-
"S00180072",39,12,12,1,4,5,10,5,-,-,2,1,-,7,-,-,-,2,-,-,4
"S00180073",59,20,20,4,9,7,10,2,2,2,2,-,1,9,-,4,1,1,1,3,-
"S00180074",35,14,7,1,5,2,10,-,1,6,1,1,2,7,-,2,-,-,2,-,-
"S00180075",31,7,11,1,2,6,9,1,-,1,1,1,3,6,-,-,1,-,-,2,2
"S00180076",55,26,18,6,8,2,8,-,1,1,2,1,3,4,-,-,-,-,-,2,1
"S00180077",79,24,28,6,12,10,15,-,5,2,4,-,3,12,-,2,1,4,-,-,1
"S00180078",56,28,25,5,7,12,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00180079",57,14,9,5,5,2,11,-,3,2,6,1,4,23,1,3,-,7,2,1,5
"S00180080",56,23,22,7,10,7,9,-,-,-,-,3,3,2,-,-,-,1,1,-,-
"S00180081",78,38,33,-,20,10,9,1,-,1,2,1,3,-,-,-,-,-,-,-,-
"S00180082",58,44,12,2,2,5,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-
"S00180083",61,29,19,7,7,3,6,2,-,1,-,-,-,7,-,2,-,3,-,2,1
"S00180084",32,10,7,1,1,5,5,-,-,2,-,5,-,10,-,2,-,-,1,2,3
"S00180085",54,16,19,7,3,9,17,3,4,2,3,1,4,4,-,-,-,-,1,2,1
"S00180086",68,32,24,13,9,6,7,-,1,-,3,-,-,4,-,-,-,2,-,1,1
"S00180087",65,14,22,4,9,9,11,2,5,-,4,-,3,18,1,-,2,6,-,2,4
"S00180088",51,11,13,6,3,5,7,-,-,2,2,-,3,20,-,1,2,5,-,8,3
"S00180089",63,37,11,5,1,3,10,3,3,4,2,-,1,5,-,1,-,-,1,-,-
"S00180090",30,9,7,2,2,1,7,2,2,-,-,2,2,7,1,1,-,3,-,1,2
"S00180091",36,8,10,2,7,-,4,-,2,-,-,-,-,13,-,7,1,1,-,6,-
"S00180092",69,27,24,7,8,11,12,3,1,1,5,1,1,3,-,-,-,2,1,1,1
"S00180093",44,14,15,-,7,6,9,-,-,3,2,-,-,6,-,1,2,3,-,2,-
"S00180094",51,12,21,6,1,8,14,1,2,-,6,1,4,4,-,2,-,1,-,-,-
"S00180095",48,22,15,6,5,4,6,-,3,-,4,1,-,3,-,-,-,1,-,3,-
"S00180096",68,22,18,6,2,7,14,2,2,2,-,5,3,16,1,1,-,6,-,3,4
"S00180097",49,18,11,3,4,4,13,-,1,-,8,3,2,7,1,1,-,2,-,-,4
"S00180098",55,15,18,6,5,7,10,-,3,2,-,1,2,8,-,4,-,-,-,2,4
"S00180099",61,24,20,11,5,6,9,-,-,3,2,1,1,8,-,-,1,-,-,1,5
"S00180100",45,12,18,2,8,7,13,1,2,4,3,2,2,7,-,2,-,2,-,-,3
"S00180101",45,10,15,3,5,6,10,-,2,1,4,-,2,10,-,-,-,2,-,1,6
"S00180102",85,48,23,7,10,6,4,-,2,-,2,-,-,11,-,-,-,2,-,-,7
"S00180103",29,2,4,2,4,-,6,1,2,-,-,2,1,15,-,1,2,3,1,4,3
"S00180104",62,25,20,3,10,5,15,1,5,2,2,1,4,4,-,1,-,1,2,-,-
"S00180105",39,6,10,6,1,3,8,-,-,2,4,-,1,15,-,-,1,5,1,3,6
"S00180106",59,22,16,4,8,5,16,1,2,2,7,-,3,8,-,2,-,1,1,1,-
"S00180107",46,14,21,5,13,3,7,-,3,-,3,-,1,5,-,1,-,2,1,-,-
"S00180108",51,9,13,4,4,5,14,-,1,2,6,2,2,12,-,3,1,3,2,3,5
"S00180109",74,4,15,5,1,5,35,10,-,4,7,10,4,24,-,-,2,9,3,2,6
"S00180110",64,10,14,8,2,5,25,5,-,3,8,4,4,15,1,2,1,4,-,1,7
"S00180111",59,16,21,3,14,1,14,3,2,5,2,-,4,10,-,-,1,4,-,1,1
"S00180112",72,40,16,4,8,6,9,1,-,3,-,1,-,6,-,1,-,3,1,1,1
"S00180113",40,8,17,7,5,2,10,-,4,1,-,3,-,6,-,2,-,2,-,-,2
"S00180114",56,18,14,4,7,6,12,-,1,2,3,3,3,8,-,-,1,5,-,2,2
"S00180115",46,11,23,6,14,3,5,1,2,1,-,2,-,7,-,-,-,7,1,2,-
"S00180116",36,14,6,-,3,1,6,2,-,-,4,-,2,10,-,-,-,5,2,2,2
"S00180117",39,12,13,5,7,1,7,1,1,1,1,2,-,7,-,4,-,4,-,1,-
"S00180118",55,21,16,7,8,1,8,2,-,1,5,-,2,8,-,-,1,1,-,3,3
"S00180119",75,26,18,2,7,8,12,3,1,1,4,2,1,19,2,-,-,6,2,2,8
"S00180120",44,17,14,3,7,4,13,2,2,4,2,1,2,1,-,-,-,-,-,1,-
"S00180121",75,20,29,8,11,11,9,1,-,-,3,3,3,16,-,1,-,6,1,5,3
"S00180122",54,9,16,6,7,3,14,-,5,-,2,3,5,15,-,3,4,2,-,5,5
"S00180123",87,34,40,11,16,10,10,-,1,2,-,-,4,5,-,2,-,1,-,-,2
"S00180124",68,21,37,10,12,14,10,2,1,2,1,-,4,-,-,-,-,-,-,-,-
"S00180125",59,19,13,6,6,3,19,-,2,3,1,1,6,9,-,-,1,2,-,3,3
"S00180126",61,37,16,7,4,5,8,-,-,2,2,1,-,-,-,-,-,-,-,-,-
"S00180127",32,14,4,2,1,-,6,-,1,1,3,1,-,8,-,2,-,3,2,1,-
"S00180128",38,17,9,2,3,4,6,1,1,1,3,-,-,6,1,1,1,-,-,1,1
"S00180129",33,7,13,8,4,1,13,2,-,1,4,1,1,3,-,-,-,2,-,1,-
"S00180130",46,11,17,6,7,4,8,-,-,-,2,1,2,13,1,-,-,1,-,2,4
"S00180131",45,7,18,6,5,7,2,1,2,1,-,1,-,11,2,1,-,9,4,3,1
"S00180132",44,17,17,4,6,7,1,-,-,-,1,-,-,8,-,3,-,-,-,1,2
"S00180133",80,33,19,10,4,5,11,3,-,3,1,3,-,17,1,-,1,2,1,5,4
"S00180134",65,16,14,6,5,6,13,-,3,-,3,1,5,15,-,3,1,3,1,2,4
"S00180135",38,6,17,10,4,3,9,3,1,2,1,1,2,4,-,-,-,3,-,-,-
"S00180136",44,7,19,13,3,5,11,-,-,1,3,2,3,7,-,2,-,1,-,7,1
"S00180137",61,15,39,7,17,15,8,-,2,2,-,-,5,1,-,1,-,-,-,-,-
"S00180138",66,29,9,4,1,4,11,2,1,4,2,1,2,17,-,-,2,3,-,4,8
"S00180139",42,10,8,3,2,4,14,3,3,-,1,-,4,10,-,1,-,1,3,2,2
"S00180140",31,7,4,2,-,1,10,-,1,3,1,-,4,10,-,-,-,4,1,-,4
"S00180141",46,19,10,3,2,3,9,2,1,2,3,-,1,8,2,1,-,1,-,-,3
"S00180142",69,23,18,7,2,6,15,-,2,5,6,-,1,15,-,2,1,6,-,2,5
"S00180143",66,26,9,6,-,3,12,-,3,2,6,-,-,18,-,3,2,3,3,3,7
"S00180144",58,17,31,10,16,5,10,2,7,-,4,-,-,2,-,-,-,-,1,-,-
"S00180145",71,13,26,10,13,7,16,3,3,1,2,4,3,12,-,1,-,1,1,4,4
"S00180146",43,16,9,-,7,3,8,-,3,-,-,2,1,10,-,1,-,2,1,3,5
"S00180147",74,33,36,8,14,16,3,1,1,-,1,-,-,-,-,-,-,-,-,-,-
"S00180148",40,24,2,-,-,2,7,-,3,-,2,-,-,5,1,2,1,-,-,-,-
"S00180149",50,14,9,-,8,1,11,2,3,4,-,2,2,16,1,4,3,1,-,2,6
"S00180150",49,18,13,5,8,-,9,3,1,-,1,-,4,11,-,1,-,-,1,1,2
"S00180151",79,25,47,13,17,20,3,-,-,1,2,-,-,2,-,-,-,-,-,2,-
"S00180152",48,20,9,5,1,2,11,-,4,-,3,2,-,10,-,4,2,1,-,1,3
"S00180153",32,12,8,5,1,2,5,2,4,-,1,-,-,8,-,-,-,-,-,1,3
"S00180154",68,25,10,2,3,4,14,3,4,1,5,1,-,16,-,5,2,3,2,3,6
"S00180155",70,29,15,1,2,9,15,3,3,-,5,2,-,15,-,-,2,3,1,1,5
"S00180156",66,14,28,8,11,9,21,3,5,6,4,-,4,3,-,-,-,2,-,2,1
"S00180157",60,26,22,11,7,6,9,-,-,4,1,2,3,-,-,-,-,-,-,-,-
"S00180158",57,22,18,5,11,2,10,2,2,-,4,-,3,6,-,3,-,1,1,2,-
"S00180159",67,18,19,3,9,4,8,1,3,-,4,-,-,20,-,1,3,2,-,8,7
"S00180160",44,11,20,2,8,12,12,-,1,-,4,2,1,1,-,-,-,1,-,-,-
"S00180161",75,26,17,5,6,6,13,3,1,4,3,2,-,19,1,-,-,6,3,3,6
"S00180162",32,17,9,2,6,-,2,-,-,1,-,-,2,7,1,-,-,4,-,4,2
"S00180163",49,24,7,2,2,3,11,2,1,-,2,3,-,7,-,-,-,-,2,1,3
"S00180164",71,27,20,9,7,4,12,1,5,5,4,1,2,8,-,-,-,-,1,1,4
"S00180165",46,21,16,8,4,4,7,2,1,2,1,-,1,2,-,-,-,-,-,1,-
"S00180166",61,24,12,5,4,3,14,2,6,2,1,-,5,14,-,1,4,8,1,3,2
"S00180167",49,22,8,3,1,4,8,4,2,2,-,-,4,12,2,2,1,4,1,-,3
"S00180168",52,16,10,-,5,4,6,-,3,1,-,1,-,23,-,4,2,2,2,6,5
"S00180169",47,20,7,1,3,3,5,1,2,1,-,-,2,15,-,3,2,4,1,1,3
"S00180170",49,13,15,3,4,7,13,2,4,3,2,-,-,5,-,-,3,-,-,2,1
"S00180171",48,18,12,3,6,3,6,2,-,-,4,-,-,6,-,1,1,-,1,-,3
"S00180172",72,27,29,13,12,4,8,1,2,1,4,2,3,5,-,-,-,1,-,2,2
"S00180173",46,10,13,4,6,5,17,2,1,4,4,1,1,10,-,2,-,3,-,-,6
"S00180174",66,32,25,12,5,10,11,1,1,-,6,-,3,2,-,-,-,-,-,-,2
"S00180175",44,22,13,3,7,3,9,-,-,4,2,-,3,3,-,1,-,2,-,-,-
"S00180176",57,21,20,5,7,6,7,2,2,-,3,-,-,5,-,1,-,1,-,2,2
"S00180177",68,20,28,11,9,11,21,-,4,4,3,5,5,-,-,-,-,-,-,-,-
"S00180178",46,26,6,2,1,1,8,-,2,1,1,1,2,4,-,-,-,3,-,-,3
"S00180179",45,22,13,4,2,4,10,-,-,3,3,-,4,-,-,-,-,-,-,-,-
"S00180180",40,18,12,5,4,3,6,-,2,-,2,-,3,4,-,-,-,2,-,2,2
"S00180181",52,15,23,5,10,10,8,1,2,1,2,1,1,6,-,2,2,3,-,-,-
"S00180182",50,16,24,4,12,8,10,2,3,2,5,-,-,2,-,-,-,-,-,-,2
"S00180183",58,19,22,12,5,9,12,3,3,1,4,2,1,1,-,-,-,-,-,1,-
"S00180184",59,26,12,5,4,3,10,2,1,2,2,1,-,11,-,-,-,2,1,3,2
"S00180185",70,37,18,10,5,6,8,2,-,1,2,2,-,9,-,2,1,1,2,-,1
"S00180186",56,26,19,9,8,7,6,-,-,-,3,1,1,5,-,3,-,-,-,4,-
"S00180187",56,19,30,12,9,9,5,-,-,1,4,-,1,2,-,-,-,2,-,-,1
"S00180188",59,22,17,9,3,4,7,-,4,-,2,-,-,14,1,2,1,-,2,2,6
"S00180189",67,21,20,8,10,-,16,4,-,-,5,6,1,12,-,-,1,5,-,1,5
"S00180190",64,12,13,5,8,4,15,5,2,-,3,2,4,20,-,-,3,5,-,3,10
"S00180191",68,26,14,3,5,6,15,1,1,1,8,2,-,13,1,-,3,4,-,3,2
"S00180192",55,23,11,5,3,4,11,1,2,-,5,2,2,9,1,-,-,2,-,-,5
"S00180193",52,26,11,2,6,2,17,-,1,1,5,2,6,5,1,-,-,2,-,1,1
"S00180194",39,21,5,-,-,5,6,1,-,1,4,-,-,7,-,1,-,1,-,-,4
"S00180195",40,23,6,3,-,1,4,1,-,-,2,1,-,7,-,-,-,2,4,2,-
"S00180196",28,3,7,5,-,2,8,-,-,3,1,2,4,10,-,-,1,2,3,-,3
"S00180197",31,4,12,6,3,3,6,1,-,5,-,2,1,6,1,-,-,4,1,2,1
"S00180198",33,11,3,2,-,-,9,1,-,1,4,4,-,7,-,-,-,-,2,3,2
"S00180199",70,17,16,6,1,7,16,2,-,3,2,1,3,25,2,1,1,2,2,6,11
"S00180200",39,12,7,2,1,3,7,-,-,-,1,1,2,13,-,-,1,3,-,6,3
"S00180201",56,11,22,7,1,10,19,2,1,2,4,9,3,8,-,2,-,2,2,-,2
"S00180202",35,15,3,1,1,1,8,1,-,2,3,2,-,9,1,-,1,2,-,-,5
"S00180203",68,18,18,9,4,5,20,4,-,3,5,5,2,14,-,-,1,3,-,1,9
"S00180204",54,4,9,2,1,5,16,2,1,3,1,6,2,27,1,-,-,7,3,4,9
"S00180205",56,16,22,4,4,10,7,2,-,1,3,1,-,15,1,-,1,2,1,8,1
"S00180206",35,2,7,-,1,5,9,2,-,2,-,1,2,16,-,-,-,4,1,7,10
"S00180207",48,11,10,5,-,7,10,-,-,5,2,1,2,17,1,1,-,2,-,5,8
"S00180208",62,20,14,2,4,4,12,-,3,2,1,5,2,16,1,-,-,2,3,4,5
"S00180209",63,14,19,4,3,10,13,4,4,1,2,4,2,17,-,2,2,4,2,1,7
"S00180210",49,21,5,4,-,1,17,3,-,3,2,3,2,10,-,-,-,4,1,3,2
"S00180211",75,16,12,4,5,4,18,3,2,5,4,4,1,29,-,-,3,5,1,15,8
"S00180212",48,21,6,3,3,-,11,1,-,2,5,2,-,12,-,-,2,3,-,3,3
"S00180213",65,24,10,2,2,4,18,4,2,7,4,-,3,16,-,-,-,5,2,5,9
"S00180214",59,14,10,4,2,4,6,2,-,3,-,3,-,23,-,3,-,6,1,9,4
"S00180215",46,12,16,6,3,7,10,4,-,-,-,4,3,4,-,-,-,-,-,2,1
"S00180216",70,22,26,12,6,11,18,3,2,3,-,3,-,8,-,-,-,1,1,2,4
"S00180217",57,29,16,3,4,13,6,1,2,-,1,-,3,4,-,-,-,1,-,1,1
"S00180218",37,11,9,2,4,1,11,-,-,-,-,-,4,8,2,-,-,2,-,2,3
"S00180219",65,19,22,5,7,10,11,4,-,4,5,1,-,10,-,-,-,-,2,-,5
"S00180220",54,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00180221",62,42,8,3,3,1,7,2,-,2,2,2,2,5,-,1,-,-,-,4,-
