Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00178767",64,59,2,7,-,1,-
"S00178768",180,163,13,4,3,3,4
"S00178769",125,112,13,9,-,5,1
"S00178770",67,54,13,8,-,1,3
"S00178771",95,86,9,6,1,-,2
"S00178772",117,105,12,4,2,3,4
"S00178773",136,114,19,7,1,3,8
"S00178774",80,72,8,4,2,-,-
"S00178775",95,83,8,9,1,2,2
"S00178776",118,105,15,12,-,4,2
"S00178777",100,76,20,13,-,1,6
"S00178778",126,107,19,13,4,3,2
"S00178779",128,111,17,10,4,-,1
"S00178780",172,153,19,12,3,1,3
"S00178781",88,78,10,4,-,3,1
"S00178782",64,56,8,6,1,1,-
"S00178783",70,66,4,1,-,1,2
"S00178784",80,73,7,4,1,1,1
"S00178785",143,128,18,12,5,2,-
"S00178786",71,54,17,7,-,4,4
"S00178787",164,143,21,12,3,1,-
"S00178788",177,155,22,18,1,-,3
"S00178789",112,100,12,8,3,-,2
"S00178790",246,219,27,23,-,1,-
"S00178791",105,94,11,7,-,1,1
"S00178792",76,66,7,3,2,-,3
"S00178793",93,82,11,7,-,1,5
"S00178794",182,159,24,14,6,1,3
"S00178795",70,64,6,1,-,-,3
"S00178796",117,109,11,4,1,-,4
"S00178797",115,112,4,2,-,-,2
"S00178798",134,115,19,15,-,-,6
"S00178799",159,150,13,6,1,2,2
"S00178800",165,142,23,18,1,2,2
"S00178801",121,101,20,16,-,2,-
"S00178802",172,148,28,16,1,4,7
"S00178803",132,115,17,11,6,-,2
"S00178804",58,57,1,1,-,-,-
"S00178805",138,114,24,22,-,-,8
"S00178806",121,103,18,14,2,1,4
"S00178807",109,102,9,7,3,-,1
"S00178808",187,159,27,22,-,1,3
"S00178809",89,88,3,2,1,-,-
"S00178810",123,109,14,10,-,1,3
"S00178811",167,153,14,13,-,-,1
"S00178812",112,96,15,11,1,-,3
"S00178813",85,76,12,7,-,-,2
"S00178814",110,98,14,11,1,1,3
"S00178815",137,124,13,7,4,-,1
"S00178816",77,67,10,5,-,2,3
"S00178817",174,150,24,20,2,1,1
"S00178818",140,129,12,6,-,-,4
"S00178819",103,89,14,9,3,-,1
"S00178820",81,76,4,4,-,-,1
"S00178821",110,100,10,4,1,-,1
"S00178822",115,108,9,8,-,-,-
"S00178823",66,62,4,2,-,1,1
"S00178824",98,92,10,6,2,-,2
"S00178825",61,49,12,7,-,2,4
"S00178826",159,139,20,15,2,2,2
"S00178827",101,87,14,10,1,-,5
"S00178828",149,132,16,16,1,-,-
"S00178829",89,85,4,1,-,-,3
"S00178830",110,98,12,7,-,1,4
"S00178831",74,67,7,2,2,1,4
"S00178832",135,124,11,4,1,2,4
"S00178833",216,195,20,13,2,1,-
"S00178834",113,99,12,7,-,2,6
"S00178835",99,81,17,9,-,-,8
"S00178836",165,143,25,14,1,1,6
"S00178837",130,112,18,14,1,-,1
"S00178838",74,62,9,5,-,-,3
"S00178839",101,82,19,10,3,-,4
"S00178840",113,98,14,11,-,-,4
"S00178841",123,110,13,11,-,-,-
"S00178842",1848,1776,72,56,4,2,13
"S00178843",102,96,6,6,-,-,-
"S00178844",112,95,15,10,2,1,3
"S00178845",76,66,10,5,-,-,-
"S00178846",107,95,12,9,1,1,2
"S00178847",142,122,19,9,3,1,2
"S00178848",104,97,7,6,-,-,1
"S00178849",66,56,13,8,-,1,1
"S00178850",118,105,15,9,2,-,2
"S00178851",66,51,11,10,1,1,3
"S00178852",139,121,15,14,-,-,1
"S00178853",191,171,20,14,1,-,5
"S00178854",116,105,11,8,2,-,4
"S00178855",67,61,5,5,1,-,-
"S00178856",81,76,5,5,-,-,-
"S00178857",78,65,9,11,1,-,-
"S00178858",131,114,13,5,3,-,5
"S00178859",244,229,15,12,-,1,2
"S00178860",104,84,24,7,3,5,5
"S00178861",149,133,14,5,-,3,4
"S00178862",74,64,10,8,-,-,4
"S00178863",91,85,9,2,3,1,3
"S00178864",116,96,12,10,-,-,2
"S00178865",119,110,9,10,-,1,1
"S00178866",135,112,20,14,4,-,3
"S00178867",169,153,16,9,-,-,7
"S00178868",97,86,11,2,2,3,4
"S00178869",126,117,9,3,2,1,1
"S00178870",129,118,11,7,2,2,1
"S00178871",144,136,8,4,2,-,2
"S00178872",93,87,8,5,2,-,2
"S00178873",154,126,25,19,3,1,-
"S00178874",136,127,9,1,1,3,4
"S00178875",132,119,17,9,-,-,4
"S00178876",207,187,20,11,4,4,1
"S00178877",114,97,17,3,4,1,10
"S00178878",114,102,12,4,2,-,5
"S00178879",134,116,17,8,-,1,7
"S00178880",146,119,28,11,-,8,3
"S00178881",163,147,16,13,1,-,2
"S00178882",128,111,16,8,2,4,3
"S00178883",224,200,24,15,4,3,1
"S00178884",158,141,17,13,2,-,4
"S00178885",242,223,17,17,-,-,-
"S00178886",153,146,7,2,2,-,3
"S00178887",136,101,35,17,1,2,13
"S00178888",96,87,9,7,4,-,-
"S00178889",102,85,11,8,-,2,2
"S00178890",80,66,11,7,-,-,3
"S00178891",102,97,5,5,-,-,-
"S00178892",178,156,20,12,-,5,4
"S00178893",99,87,12,1,-,4,6
"S00178894",108,102,6,5,-,-,1
"S00178895",173,158,15,7,3,2,3
"S00178896",69,59,13,13,-,-,-
"S00178897",126,107,19,14,-,1,4
"S00178898",110,91,19,11,1,1,2
"S00178899",95,85,7,5,-,-,2
"S00178900",171,155,16,3,2,2,4
"S00178901",167,149,18,6,-,6,3
"S00178902",83,68,15,12,-,1,-
"S00178903",166,137,28,15,3,5,5
"S00178904",78,65,13,4,2,3,4
"S00178905",95,81,10,-,-,3,6
"S00178906",153,133,20,17,-,2,5
"S00178907",399,364,35,29,-,1,5
"S00178908",160,141,19,11,1,1,6
"S00178909",140,125,15,6,-,3,4
"S00178910",136,128,8,-,2,1,5
"S00178911",153,137,12,8,2,2,4
"S00178912",93,77,12,3,3,2,4
"S00178913",74,66,8,3,1,-,2
"S00178914",115,99,15,7,5,1,1
"S00178915",97,89,8,3,1,1,4
"S00178916",148,132,18,10,1,1,4
"S00178917",77,68,9,6,1,1,2
"S00178918",73,67,10,10,-,-,-
"S00178919",122,97,24,9,4,3,9
"S00178920",118,102,19,9,1,4,2
"S00178921",121,116,3,4,-,-,1
"S00178922",72,67,8,2,1,3,1
"S00178923",80,73,8,-,-,-,4
"S00178924",73,68,4,2,-,-,4
"S00178925",111,91,20,12,3,1,5
"S00178926",142,121,21,10,2,2,8
"S00178927",95,88,7,3,-,1,3
"S00178928",160,140,20,13,2,4,4
"S00178929",80,69,11,2,4,1,4
"S00178930",141,131,12,7,2,1,3
"S00178931",83,71,12,7,-,-,-
"S00178932",113,97,12,7,-,3,3
"S00178933",95,82,13,7,2,-,5
"S00178934",81,77,3,1,-,2,-
"S00178935",126,103,23,22,-,-,2
"S00178936",164,143,21,13,2,1,4
"S00178937",146,131,15,10,-,4,1
"S00178938",178,162,16,10,3,-,4
"S00178939",104,89,15,8,-,5,4
"S00178940",151,133,17,8,-,4,10
"S00178941",139,123,16,6,1,4,5
"S00178942",66,51,15,9,-,1,5
"S00178943",111,93,20,3,3,5,9
"S00178944",119,106,17,10,-,-,3
"S00178945",176,158,18,16,3,-,4
"S00178946",99,89,10,5,4,1,1
"S00178947",96,85,8,6,-,-,5
"S00178948",155,129,26,22,2,1,2
"S00178949",92,86,10,3,-,-,8
"S00178950",128,109,19,5,1,4,9
"S00178951",150,138,10,8,3,2,-
"S00178952",122,113,9,7,1,-,2
"S00178953",80,73,7,6,-,-,1
"S00178954",366,364,6,5,1,-,-
"S00178955",93,90,6,5,-,-,-
"S00178956",89,80,9,7,-,1,1
"S00178957",151,135,16,11,1,-,4
"S00178958",177,175,2,2,-,-,-
"S00178959",144,123,21,19,-,1,2
"S00178960",151,131,20,10,1,1,7
"S00178961",95,89,7,3,1,-,5
"S00178962",117,109,8,6,1,-,-
"S00178963",151,137,14,7,1,2,2
"S00178964",187,173,14,7,-,2,2
"S00178965",78,70,8,4,2,-,2
"S00178966",129,118,11,5,2,1,4
"S00178967",120,119,3,1,2,-,-
"S00178968",92,87,5,2,-,-,4
"S00178969",113,97,16,10,2,-,1
"S00178970",88,79,10,6,2,-,3
"S00178971",89,77,15,8,1,1,2
"S00178972",149,122,27,15,5,4,1
"S00178973",174,136,36,17,4,8,7
"S00178974",111,103,8,1,4,-,1
"S00178975",119,114,4,4,-,-,-
"S00178976",141,133,8,5,4,-,1
"S00178977",128,121,7,3,1,1,3
"S00178978",61,56,7,6,-,-,1
"S00178979",171,165,10,7,1,-,1
"S00178980",92,87,5,3,-,1,1
"S00178981",136,127,12,8,4,1,1
"S00178982",84,80,4,1,2,-,2
"S00178983",93,78,16,9,3,-,4
"S00178984",161,145,16,7,1,2,6
"S00178985",91,90,1,-,-,1,-
"S00178986",314,301,13,8,2,1,2
"S00178987",80,70,7,3,-,-,4
"S00178988",87,89,1,-,-,-,1
"S00178989",98,96,2,1,2,-,-
"S00178990",108,99,6,5,-,1,-
"S00178991",125,110,15,3,2,6,7
"S00178992",127,112,15,9,-,2,4
"S00178993",78,76,2,1,-,-,1
"S00178994",78,70,7,1,-,3,-
"S00178995",86,75,10,6,-,1,2
"S00178996",69,68,2,-,2,-,-
"S00178997",75,73,1,-,-,2,1
"S00178998",167,155,10,7,-,-,2
"S00178999",99,88,10,8,-,-,2
"S00179000",94,83,11,8,-,-,2
"S00179001",61,60,4,4,-,-,-
"S00179002",127,121,6,4,-,-,-
"S00179003",126,105,21,18,1,4,2
"S00179004",69,69,-,-,-,-,-
"S00179005",333,319,14,12,-,2,1
"S00179006",152,138,14,8,-,2,4
"S00179007",175,152,24,17,5,-,4
"S00179008",69,59,10,8,1,-,1
"S00179009",145,139,6,6,-,-,-
"S00179010",109,100,11,6,3,-,2
"S00179011",131,118,13,11,-,2,1
"S00179012",111,111,-,-,-,-,-
"S00179013",76,66,8,3,3,-,3
"S00179014",93,91,1,1,-,-,1
"S00179015",70,60,10,6,-,-,1
"S00179016",221,198,21,16,4,-,-
"S00179017",115,101,14,11,2,-,2
"S00179018",150,134,16,13,1,2,2
"S00179019",95,74,21,14,3,-,4
"S00179020",107,96,11,9,-,1,2
"S00179021",139,129,10,8,2,-,-
"S00179022",87,76,10,10,-,-,-
"S00179023",121,104,14,9,-,-,5
"S00179024",89,85,4,4,-,-,-
"S00179025",91,82,10,7,1,-,1
"S00179026",94,81,13,7,1,-,4
"S00179027",84,71,13,9,-,1,1
"S00179028",120,108,13,6,2,-,2
"S00179029",216,191,25,17,2,-,5
"S00179030",111,89,22,14,3,4,4
"S00179031",97,89,8,7,-,-,1
"S00179032",115,97,15,12,2,-,2
"S00179033",84,79,5,3,-,1,1
"S00179034",100,92,11,2,1,-,2
"S00179035",155,125,26,19,2,-,5
"S00179036",85,65,20,12,2,2,4
"S00179037",89,77,12,11,1,-,-
"S00179038",108,101,7,6,-,-,4
"S00179039",77,68,9,8,1,-,3
"S00179040",146,134,15,10,-,-,5
"S00179041",85,76,12,6,2,-,5
"S00179042",72,66,6,3,-,-,3
"S00179043",151,129,20,18,1,-,1
"S00179044",99,86,13,11,2,-,1
"S00179045",87,78,7,8,1,-,3
"S00179046",95,81,11,8,1,1,4
"S00179047",102,91,11,9,-,2,-
"S00179048",99,89,10,-,4,1,2
"S00179049",138,121,18,19,1,1,1
"S00179050",99,90,10,2,1,1,4
"S00179051",86,76,10,6,1,-,3
"S00179052",173,153,20,14,-,2,4
"S00179053",134,119,15,10,2,-,4
"S00179054",100,83,13,11,-,1,1
"S00179055",89,80,9,6,-,1,1
"S00179056",128,114,15,10,1,1,3
"S00179057",90,74,16,8,-,1,7
"S00179058",91,74,17,9,-,-,10
"S00179059",147,135,14,9,3,-,2
"S00179060",88,86,8,6,-,2,1
"S00179061",157,141,16,7,1,4,6
"S00179062",90,80,10,7,-,-,2
"S00179063",104,90,13,8,1,2,3
"S00179064",145,134,11,8,2,1,-
"S00179065",113,98,15,10,-,2,3
"S00179066",112,88,24,19,-,2,3
"S00179067",104,91,11,6,-,1,6
"S00179068",68,56,13,8,1,2,2
"S00179069",114,101,13,4,-,3,6
"S00179070",183,165,15,12,-,-,2
"S00179071",92,82,10,2,-,3,5
"S00179072",67,62,5,3,-,-,2
"S00179073",133,115,18,9,1,-,6
"S00179074",181,160,21,17,-,1,3
"S00179075",81,74,7,5,-,-,3
"S00179076",75,58,17,13,-,1,-
"S00179077",116,108,12,8,-,-,3
"S00179078",110,105,5,2,-,-,1
"S00179079",133,123,10,8,-,-,3
"S00179080",60,50,10,7,-,-,3
"S00179081",135,110,23,21,2,-,-
"S00179082",157,136,21,13,1,-,5
"S00179083",78,70,8,2,1,1,4
"S00179084",96,88,11,5,3,-,1
"S00179085",132,110,22,14,2,2,4
"S00179086",111,94,17,14,3,-,-
"S00179087",124,110,12,12,1,-,1
"S00179088",94,82,10,3,2,-,4
"S00179089",130,114,14,5,4,2,3
"S00179090",137,120,15,7,-,1,9
"S00179091",130,111,17,11,-,3,3
"S00179092",91,77,14,4,-,4,9
"S00179093",80,70,10,5,2,-,3
"S00179094",128,113,15,5,3,1,6
"S00179095",165,147,18,9,2,2,6
"S00179096",102,89,13,10,-,-,3
"S00179097",107,84,20,8,2,3,7
"S00179098",130,111,19,10,3,-,6
"S00179099",82,68,14,6,-,-,8
"S00179100",92,75,16,8,-,5,1
"S00179101",105,94,11,4,3,-,4
"S00179102",105,89,16,7,1,1,6
"S00179103",82,67,15,10,1,3,1
"S00179104",93,80,16,8,-,-,2
"S00179105",177,150,27,8,4,3,13
"S00179106",101,93,9,1,1,2,-
"S00179107",127,101,26,19,1,5,3
"S00179108",97,87,9,6,-,-,4
"S00179109",113,104,9,9,-,-,-
"S00179110",104,90,14,9,2,1,2
"S00179111",169,137,29,7,4,6,10
"S00179112",104,89,15,5,3,2,4
"S00179113",154,131,23,17,-,3,4
"S00179114",145,120,25,9,3,3,12
"S00179115",95,87,8,6,-,-,2
"S00179116",112,97,12,10,1,-,5
"S00179117",109,105,6,2,-,-,2
"S00179118",99,85,11,11,1,2,-
"S00179119",120,106,14,12,-,2,-
"S00179120",97,89,6,9,-,-,2
"S00179121",123,113,13,6,3,-,4
"S00179122",131,105,26,20,2,2,4
"S00179123",104,97,11,2,2,2,-
"S00179124",72,70,1,1,-,-,-
"S00179125",166,140,26,14,8,3,4
"S00179126",92,81,11,3,2,1,4
"S00179127",67,59,7,5,1,-,-
"S00179128",84,72,12,8,-,2,-
"S00179129",115,100,15,11,1,2,-
"S00179130",132,122,8,5,-,1,4
"S00179131",185,160,25,15,6,3,1
"S00179132",93,76,17,14,-,-,2
"S00179133",65,58,7,2,-,1,4
"S00179134",117,107,10,5,1,-,3
"S00179135",85,74,14,8,1,2,3
"S00179136",65,57,8,2,3,-,3
"S00179137",80,68,12,2,-,-,8
"S00179138",63,49,16,12,-,-,3
"S00179139",100,86,14,3,7,1,4
"S00179140",103,91,12,3,2,4,3
"S00179141",62,58,4,3,-,-,1
"S00179142",86,74,14,5,3,1,3
"S00179143",135,118,18,10,-,1,5
"S00179144",95,85,10,7,1,2,-
"S00179145",112,101,13,6,2,1,2
"S00179146",215,191,24,12,-,2,7
"S00179147",115,97,18,7,1,1,8
"S00179148",63,54,9,8,1,-,-
"S00179149",141,125,13,9,-,2,3
"S00179150",79,79,3,3,-,-,-
"S00179151",94,86,8,8,-,-,1
"S00179152",131,114,17,12,3,2,3
"S00179153",123,105,18,11,-,3,2
"S00179154",127,104,23,11,4,-,3
"S00179155",116,102,15,6,1,1,4
"S00179156",212,190,20,14,4,2,3
"S00179157",105,91,15,6,-,1,8
"S00179158",108,99,13,10,-,1,3
"S00179159",92,82,11,3,1,3,-
"S00179160",140,121,19,9,-,4,5
"S00179161",88,75,12,4,1,4,4
"S00179162",118,106,12,4,-,2,6
"S00179163",116,100,16,2,-,4,8
"S00179164",82,76,8,4,-,-,2
"S00179165",159,144,15,10,-,4,1
"S00179166",92,88,8,6,2,2,-
"S00179167",82,67,11,6,-,1,4
"S00179168",64,59,5,2,2,-,-
"S00179169",74,60,14,11,1,-,3
"S00179170",73,67,8,4,1,-,2
"S00179171",98,74,17,11,1,2,6
"S00179172",96,90,6,3,2,-,4
"S00179173",183,162,21,14,2,2,4
"S00179174",99,85,14,6,3,3,2
"S00179175",187,168,19,15,1,1,-
"S00179176",116,101,15,7,4,4,2
"S00179177",104,90,14,2,1,1,10
"S00179178",139,135,4,-,-,-,3
"S00179179",140,122,18,8,-,-,9
"S00179180",133,111,22,7,3,6,-
"S00179181",85,75,14,8,5,-,-
"S00179182",77,74,3,1,1,-,1
"S00179183",110,94,16,7,-,-,6
"S00179184",111,106,6,5,-,1,1
"S00179185",60,59,9,1,1,2,6
"S00179186",97,77,20,8,1,6,7
"S00179187",66,61,5,1,-,-,4
"S00179188",91,75,16,9,3,2,2
"S00179189",105,91,11,7,2,-,3
"S00179190",123,95,24,17,-,-,7
"S00179191",71,60,11,6,2,-,2
"S00179192",87,76,11,8,1,-,5
"S00179193",70,62,10,7,1,-,2
"S00179194",100,85,13,6,2,-,5
"S00179195",85,67,16,10,3,1,4
"S00179196",107,93,10,6,2,-,-
"S00179197",123,106,17,12,4,1,2
"S00179198",94,83,11,9,1,1,-
"S00179199",106,89,14,5,3,-,6
"S00179200",83,74,9,6,2,1,1
"S00179201",109,92,17,8,-,1,8
"S00179202",127,113,18,11,3,2,-
"S00179203",92,81,11,8,-,3,-
"S00179204",169,150,21,10,2,1,6
"S00179205",119,105,12,8,1,-,3
"S00179206",103,80,19,9,4,-,6
"S00179207",112,96,19,6,2,1,6
"S00179208",154,133,20,11,2,3,4
"S00179209",154,145,9,7,1,-,1
"S00179210",71,60,11,5,1,-,5
"S00179211",205,176,31,15,2,6,4
"S00179212",62,52,10,6,-,-,3
"S00179213",150,122,31,24,3,3,-
"S00179214",131,103,28,16,3,4,6
"S00179215",144,129,15,2,1,3,8
"S00179216",65,58,11,2,1,4,2
"S00179217",115,101,10,7,-,-,1
"S00179218",84,71,13,6,2,-,5
"S00179219",103,91,14,9,-,-,6
"S00179220",168,149,19,12,3,-,4
"S00179221",119,107,12,11,-,-,2
"S00179222",74,63,11,8,1,1,1
"S00179223",63,56,7,9,-,-,1
"S00179224",135,113,22,19,1,1,1
"S00179225",215,186,29,19,1,4,8
"S00179226",204,172,32,12,6,1,13
"S00179227",125,108,16,5,-,4,7
"S00179228",107,84,23,11,5,2,5
"S00179229",117,99,18,8,1,3,6
"S00179230",94,71,21,8,1,5,9
"S00179231",113,97,16,10,-,-,6
"S00179232",184,145,36,16,5,4,11
"S00179233",122,101,21,13,2,-,6
"S00179234",65,52,13,12,1,-,-
"S00179235",94,74,17,8,6,3,5
"S00179236",85,76,9,8,-,-,1
"S00179237",75,66,9,4,1,1,3
"S00179238",65,59,6,3,-,1,2
"S00179239",88,78,10,6,1,1,3
"S00179240",173,135,34,27,2,3,2
"S00179241",76,60,19,15,-,5,3
"S00179242",101,93,10,-,-,3,8
"S00179243",101,94,10,7,-,1,1
"S00179244",93,74,19,12,1,-,6
"S00179245",141,126,18,7,2,1,6
"S00179246",113,89,16,16,1,-,2
"S00179247",134,113,21,11,3,2,4
"S00179248",105,94,11,2,-,2,6
"S00179249",114,94,20,8,5,3,4
"S00179250",76,65,11,8,1,-,-
"S00179251",105,87,18,12,1,2,2
"S00179252",133,120,13,8,-,-,3
"S00179253",73,59,14,8,1,-,4
"S00179254",61,53,7,4,1,-,4
"S00179255",118,102,16,11,1,-,6
"S00179256",134,118,16,12,1,-,3
"S00179257",113,99,14,5,-,-,11
"S00179258",164,155,7,6,-,1,1
"S00179259",75,61,14,7,-,6,3
"S00179260",178,155,24,17,-,4,4
"S00179261",150,124,26,14,5,2,7
"S00179262",120,101,19,12,2,-,4
"S00179263",115,97,18,8,2,3,6
"S00179264",88,72,16,11,4,1,2
"S00179265",145,127,14,3,2,4,5
"S00179266",141,126,11,10,-,2,4
"S00179267",59,48,11,4,3,-,5
"S00179268",135,121,14,9,1,2,2
"S00179269",96,87,13,9,1,1,1
"S00179270",176,155,21,10,-,2,9
"S00179271",118,94,24,19,2,-,2
"S00179272",120,109,11,3,-,-,4
"S00179273",194,173,21,11,1,2,10
"S00179274",96,72,24,13,3,3,6
"S00179275",189,161,26,20,3,1,2
"S00179276",116,106,10,4,-,2,5
"S00179277",120,104,16,12,-,-,2
"S00179278",146,123,23,9,1,7,8
"S00179279",143,128,15,13,-,1,1
"S00179280",155,137,15,7,4,-,3
"S00179281",105,88,16,8,1,2,6
"S00179282",100,82,18,11,2,4,-
"S00179283",145,128,17,6,1,4,3
"S00179284",123,103,24,7,6,2,9
"S00179285",181,164,17,12,-,1,5
"S00179286",121,115,6,1,1,-,2
"S00179287",112,93,19,9,2,3,6
"S00179288",135,120,15,7,-,1,5
"S00179289",124,111,13,4,-,1,7
"S00179290",89,76,13,7,-,-,6
"S00179291",119,102,17,6,2,2,4
"S00179292",148,124,24,8,5,4,8
"S00179293",88,75,13,12,2,-,1
"S00179294",95,87,7,4,1,-,2
"S00179295",129,106,21,12,1,8,4
"S00179296",106,90,16,11,2,-,3
"S00179297",126,106,20,17,1,-,2
"S00179298",149,127,18,15,3,4,6
"S00179299",87,77,8,5,-,3,2
"S00179300",106,89,17,12,1,2,2
"S00179301",150,131,19,9,2,2,6
"S00179302",107,87,20,15,1,2,2
"S00179303",125,110,15,6,4,1,4
"S00179304",75,68,10,6,2,-,-
"S00179305",80,69,13,10,-,-,4
"S00179306",157,143,14,12,1,1,-
"S00179307",132,112,20,12,1,1,6
"S00179308",157,134,23,12,-,3,2
"S00179309",126,108,18,15,2,1,2
"S00179310",145,133,13,9,2,-,2
"S00179311",101,90,15,10,-,-,8
"S00179312",147,128,19,13,2,1,3
"S00179313",60,55,6,4,1,1,-
"S00179314",82,74,10,2,-,1,4
"S00179315",105,83,22,16,2,3,4
"S00179316",86,76,10,8,-,-,1
"S00179317",131,111,16,10,1,-,5
"S00179318",135,120,15,6,-,-,6
"S00179319",76,69,7,3,3,-,-
"S00179320",62,62,-,-,-,-,-
"S00179321",78,65,11,8,-,1,-
"S00179322",105,93,12,9,2,-,6
"S00179323",57,53,8,6,-,1,-
"S00179324",61,52,6,3,-,-,1
"S00179325",145,125,20,12,1,-,8
"S00179326",193,181,12,4,1,4,2
"S00179327",121,106,14,9,3,-,2
"S00179328",134,122,8,3,2,1,6
"S00179329",65,62,5,1,-,4,1
"S00179330",156,132,20,5,2,5,8
"S00179331",140,110,30,16,1,5,10
"S00179332",118,92,26,9,2,2,11
"S00179333",121,110,11,8,1,1,1
"S00179334",86,74,13,2,2,5,4
"S00179335",85,75,7,4,3,-,-
"S00179336",81,75,5,1,-,-,4
"S00179337",104,86,18,8,1,3,7
"S00179338",94,79,16,8,4,-,3
"S00179339",116,102,14,4,1,3,5
"S00179340",77,65,10,8,-,1,-
"S00179341",100,91,7,4,1,-,4
"S00179342",110,96,11,6,2,2,4
"S00179343",77,76,5,5,-,-,-
"S00179344",202,172,31,17,-,1,11
"S00179345",108,93,15,9,4,-,4
"S00179346",95,79,17,10,3,1,3
"S00179347",115,107,8,7,-,1,-
"S00179348",147,132,15,15,-,-,-
"S00179349",152,128,21,15,1,-,5
"S00179350",177,155,22,16,1,1,2
"S00179351",134,118,13,10,-,-,2
"S00179352",196,172,24,19,-,-,5
"S00179353",118,105,13,9,1,-,3
"S00179354",105,89,16,12,3,-,1
"S00179355",91,77,14,8,2,-,-
"S00179356",59,46,13,9,2,1,1
"S00179357",136,124,12,8,-,-,2
"S00179358",115,97,17,9,2,1,5
"S00179359",181,161,20,10,3,1,7
"S00179360",123,111,12,8,-,-,3
"S00179361",95,87,8,7,-,-,-
"S00179362",99,87,12,10,2,-,-
"S00179363",120,104,13,9,1,1,5
"S00179364",179,160,19,15,-,1,2
"S00179365",150,133,15,10,3,1,2
"S00179366",212,194,18,13,2,1,-
"S00179367",180,165,15,9,2,2,1
"S00179368",114,97,15,9,-,-,4
"S00179369",91,79,12,9,3,-,2
"S00179370",67,55,12,7,2,2,3
"S00179371",158,145,16,11,3,2,2
"S00179372",70,57,16,7,-,1,2
"S00179373",122,101,21,14,2,-,5
"S00179374",135,121,14,8,1,1,2
"S00179375",108,97,11,7,2,1,1
"S00179376",107,86,21,12,4,5,4
"S00179377",121,107,17,8,1,4,6
"S00179378",186,166,20,9,1,1,3
"S00179379",139,120,19,14,4,2,3
"S00179380",99,78,18,12,-,1,5
"S00179381",109,98,11,10,3,-,-
"S00179382",85,72,9,5,1,1,-
"S00179383",165,138,27,17,4,1,5
"S00179384",94,88,10,7,-,-,3
"S00179385",113,99,14,6,-,-,4
"S00179386",66,53,13,5,-,-,8
"S00179387",86,72,14,10,2,-,1
"S00179388",96,77,19,12,-,-,10
"S00179389",112,95,17,19,1,-,1
"S00179390",116,102,14,10,-,3,2
"S00179391",124,104,20,13,1,2,3
"S00179392",108,84,24,15,4,1,4
"S00179393",78,66,12,5,4,-,4
"S00179394",125,106,19,9,2,2,7
"S00179395",161,140,21,17,-,4,4
"S00179396",188,156,32,17,7,3,6
"S00179397",102,88,14,6,2,2,5
"S00179398",100,91,9,4,-,-,5
"S00179399",80,66,17,10,-,-,1
"S00179400",238,220,18,14,2,1,6
"S00179401",96,84,12,7,-,2,4
"S00179402",138,113,25,17,2,2,5
"S00179403",71,62,9,4,1,-,3
"S00179404",124,97,31,21,-,2,4
"S00179405",83,65,18,12,-,2,2
"S00179406",74,65,9,2,-,1,2
"S00179407",73,61,12,5,4,1,5
"S00179408",74,65,9,4,-,-,4
"S00179409",153,135,17,5,3,3,6
"S00179410",81,77,5,2,-,-,4
"S00179411",78,66,12,5,2,2,2
"S00179412",94,78,16,10,-,1,5
"S00179413",98,84,14,7,-,-,8
"S00179414",102,90,9,8,3,1,1
"S00179415",103,87,16,9,3,-,4
"S00179416",72,61,15,7,-,1,3
"S00179417",81,68,12,4,1,-,6
"S00179418",95,85,13,3,2,1,4
"S00179419",59,49,11,9,1,-,1
"S00179420",151,135,13,9,2,1,4
"S00179421",66,61,5,2,3,-,-
"S00179422",77,67,13,7,-,1,4
"S00179423",150,135,15,6,1,4,4
"S00179424",114,102,15,6,4,1,2
"S00179425",91,85,6,4,-,2,-
"S00179426",172,153,19,11,-,-,4
"S00179427",88,67,22,13,3,2,5
"S00179428",109,93,16,8,1,-,5
"S00179429",59,50,9,5,1,1,2
"S00179430",162,129,33,9,2,6,16
"S00179431",87,75,12,9,-,3,-
"S00179432",119,103,16,4,2,6,4
"S00179433",76,70,6,4,-,1,1
"S00179434",141,120,19,6,1,3,7
"S00179435",108,94,9,2,1,2,7
"S00179436",115,94,21,17,1,1,5
"S00179437",79,62,17,6,4,4,2
"S00179438",95,81,14,4,4,-,5
"S00179439",69,65,4,1,-,-,1
"S00179440",123,106,17,7,1,-,7
"S00179441",175,151,27,9,3,4,11
"S00179442",139,124,12,8,1,1,5
"S00179443",83,69,16,6,-,4,5
"S00179444",90,77,13,9,2,1,4
"S00179445",109,93,16,8,-,1,6
"S00179446",86,71,15,4,-,1,9
"S00179447",70,60,10,9,-,-,1
"S00179448",155,137,18,9,2,5,2
"S00179449",115,95,23,12,3,-,5
"S00179450",60,53,4,1,1,-,1
"S00179451",69,59,10,7,-,2,-
"S00179452",76,66,6,3,-,-,5
"S00179453",92,82,8,6,-,-,4
"S00179454",116,103,13,8,1,-,2
"S00179455",114,103,11,6,2,-,2
"S00179456",79,68,11,5,2,1,2
"S00179457",73,56,19,9,1,2,8
"S00179458",61,57,4,-,-,1,3
"S00179459",176,158,15,15,-,1,-
