Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00169143",61,2,59
"S00169144",107,4,103
"S00169145",90,2,85
"S00169146",105,7,98
"S00169147",159,2,157
"S00169148",107,1,105
"S00169149",132,3,132
"S00169150",98,4,94
"S00169151",97,1,96
"S00169152",131,6,125
"S00169153",88,3,85
"S00169154",135,3,132
"S00169155",102,1,101
"S00169156",108,-,108
"S00169157",66,1,67
"S00169158",129,3,126
"S00169159",109,2,105
"S00169160",99,5,94
"S00169161",64,-,64
"S00169162",75,1,74
"S00169163",88,2,87
"S00169164",125,7,121
"S00169165",82,-,82
"S00169166",100,5,96
"S00169167",132,-,132
"S00169168",81,-,81
"S00169169",89,-,89
"S00169170",79,1,74
"S00169171",157,2,155
"S00169172",76,-,76
"S00169173",85,-,85
"S00169174",101,4,97
"S00169175",66,-,64
"S00169176",56,3,53
"S00169177",73,2,73
"S00169178",69,2,65
"S00169179",80,3,77
"S00169180",95,3,95
"S00169181",89,-,89
"S00169182",90,1,89
"S00169183",102,1,101
"S00169184",90,4,88
"S00169185",96,-,96
"S00169186",127,3,124
"S00169187",93,-,92
"S00169188",85,5,80
"S00169189",106,3,104
"S00169190",157,3,153
"S00169191",97,-,95
"S00169192",88,3,85
"S00169193",115,2,112
"S00169194",116,3,112
"S00169195",89,3,86
"S00169196",83,2,85
"S00169197",152,12,143
"S00169198",76,2,74
"S00169199",154,6,148
"S00169200",146,3,144
"S00169201",107,6,98
"S00169202",105,-,105
"S00169203",84,3,84
"S00169204",116,4,109
"S00169205",118,2,116
"S00169206",76,3,73
"S00169207",125,6,119
"S00169208",114,7,107
"S00169209",59,1,61
"S00169210",156,5,153
"S00169211",126,5,123
"S00169212",80,-,80
"S00169213",129,2,127
"S00169214",86,-,85
"S00169215",109,3,106
"S00169216",109,6,103
"S00169217",63,-,59
"S00169218",66,-,66
"S00169219",116,2,114
"S00169220",115,5,110
"S00169221",121,4,121
"S00169222",154,5,152
"S00169223",89,7,82
"S00169224",84,4,77
"S00169225",148,4,141
"S00169226",62,4,58
"S00169227",117,6,111
"S00169228",105,1,107
"S00169229",72,-,72
"S00169230",93,-,91
"S00169231",90,2,85
"S00169232",121,3,118
"S00169233",82,3,83
"S00169234",79,-,78
"S00169235",77,1,78
"S00169236",211,3,208
"S00169237",66,3,63
"S00169238",84,2,82
"S00169239",89,4,84
"S00169240",80,1,79
"S00169241",90,2,89
"S00169242",99,5,94
"S00169243",84,4,82
"S00169244",112,5,108
"S00169245",144,6,138
"S00169246",89,-,89
"S00169247",88,2,86
"S00169248",61,-,61
"S00169249",99,1,101
"S00169250",132,2,131
"S00169251",71,4,67
"S00169252",101,2,101
"S00169253",136,6,130
"S00169254",92,4,87
"S00169255",165,6,159
"S00169256",80,3,77
"S00169257",83,3,81
"S00169258",104,7,101
"S00169259",107,4,103
"S00169260",74,1,73
"S00169261",100,1,100
"S00169262",121,3,118
"S00169263",84,4,80
"S00169264",80,2,75
"S00169265",102,4,99
"S00169266",74,4,67
"S00169267",87,-,87
"S00169268",94,2,93
"S00169269",96,-,96
"S00169270",119,7,109
"S00169271",62,1,57
"S00169272",134,4,130
"S00169273",183,2,181
"S00169274",116,5,111
"S00169275",136,2,132
"S00169276",194,3,191
"S00169277",43,2,45
"S00169278",98,1,96
"S00169279",120,-,120
"S00169280",101,-,101
"S00169281",171,3,168
"S00169282",75,4,72
"S00169283",175,-,175
"S00169284",91,-,91
"S00169285",61,-,61
"S00169286",135,5,132
"S00169287",131,7,120
"S00169288",124,2,122
"S00169289",96,1,95
"S00169290",114,1,113
"S00169291",117,-,117
"S00169292",133,2,131
"S00169293",85,3,82
"S00169294",80,-,80
"S00169295",123,2,124
"S00169296",107,2,105
"S00169297",64,-,64
"S00169298",117,-,117
"S00169299",90,4,87
"S00169300",71,3,68
"S00169301",104,3,101
"S00169302",55,1,55
"S00169303",125,-,125
"S00169304",72,1,71
"S00169305",87,2,85
"S00169306",123,10,113
"S00169307",89,3,89
"S00169308",132,4,128
"S00169309",64,4,60
"S00169310",116,2,114
"S00169311",93,2,91
"S00169312",76,7,70
"S00169313",119,1,120
"S00169314",108,5,105
"S00169315",77,2,75
"S00169316",106,2,105
"S00169317",73,6,67
"S00169318",107,2,107
"S00169319",182,5,180
"S00169320",84,-,84
"S00169321",72,1,71
"S00169322",135,4,131
"S00169323",78,2,76
"S00169324",83,-,83
"S00169325",78,-,78
"S00169326",146,-,146
"S00169327",73,4,73
"S00169328",140,-,140
"S00169329",86,1,85
"S00169330",68,1,67
"S00169331",111,2,109
"S00169332",114,4,106
"S00169333",71,5,65
"S00169334",134,5,129
"S00169335",76,5,73
"S00169336",68,3,65
"S00169337",72,-,70
"S00169338",91,2,89
"S00169339",156,7,153
"S00169340",84,-,84
"S00169341",64,-,62
"S00169342",80,2,78
"S00169343",143,3,140
"S00169344",95,-,93
"S00169345",99,6,92
"S00169346",91,4,87
"S00169347",81,3,77
"S00169348",111,3,109
"S00169349",131,7,121
"S00169350",108,2,110
"S00169351",63,3,63
"S00169352",105,-,103
"S00169353",192,-,192
"S00169354",95,1,93
"S00169355",138,3,135
"S00169356",122,7,115
"S00169357",71,5,66
"S00169358",116,1,110
"S00169359",81,4,77
"S00169360",94,3,91
"S00169361",127,5,122
"S00169362",76,3,73
"S00169363",91,-,91
"S00169364",87,2,85
"S00169365",97,4,93
"S00169366",118,1,113
"S00169367",160,5,155
"S00169368",86,1,84
"S00169369",153,3,150
"S00169370",130,3,125
"S00169371",187,3,183
"S00169372",119,-,119
"S00169373",134,3,131
"S00169374",102,2,100
"S00169375",73,2,71
"S00169376",139,1,138
"S00169377",127,3,124
"S00169378",45,4,47
"S00169379",92,5,91
"S00169380",102,3,99
"S00169381",117,4,113
"S00169382",145,1,143
"S00169383",126,3,124
"S00169384",133,4,129
"S00169385",84,3,81
"S00169386",101,2,100
"S00169387",86,-,86
"S00169388",104,2,102
"S00169389",111,5,106
"S00169390",54,2,53
"S00169391",74,-,74
"S00169392",87,4,87
"S00169393",124,-,122
"S00169394",84,-,82
"S00169395",98,4,95
"S00169396",129,2,127
"S00169397",121,7,114
"S00169398",100,3,97
"S00169399",68,3,64
"S00169400",101,4,99
"S00169401",93,1,91
"S00169402",58,3,55
"S00169403",86,1,83
"S00169404",115,1,110
"S00169405",77,-,77
"S00169406",132,5,127
"S00169407",99,3,98
"S00169408",146,1,144
"S00169409",73,3,70
"S00169410",89,-,89
"S00169411",115,5,110
"S00169412",109,1,108
"S00169413",69,1,68
"S00169414",98,2,96
"S00169415",107,1,106
"S00169416",99,8,94
"S00169417",63,-,63
"S00169418",126,1,123
"S00169419",134,3,127
"S00169420",87,1,86
"S00169421",99,3,96
"S00169422",110,4,106
"S00169423",91,3,88
"S00169424",137,-,137
"S00169425",137,1,136
"S00169426",80,4,75
"S00169427",70,3,70
"S00169428",87,1,86
"S00169429",69,3,69
"S00169430",81,3,76
"S00169431",85,2,83
"S00169432",141,1,140
"S00169433",92,-,90
"S00169434",81,4,81
"S00169435",102,4,98
"S00169436",156,3,154
"S00169437",108,1,106
"S00169438",79,-,79
"S00169439",76,-,76
"S00169440",97,3,94
"S00169441",93,3,90
"S00169442",82,-,82
"S00169443",121,6,115
"S00169444",102,-,102
"S00169445",86,4,79
"S00169446",102,2,100
"S00169447",86,2,84
"S00169448",126,4,123
"S00169449",92,1,87
"S00169450",88,-,88
"S00169451",114,4,110
"S00169452",134,-,134
"S00169453",63,-,63
"S00169454",104,4,98
"S00169455",131,8,132
"S00169456",86,5,82
"S00169457",84,-,84
"S00169458",129,4,125
"S00169459",153,-,153
"S00169460",81,1,83
"S00169461",70,3,67
"S00169462",64,-,63
"S00169463",81,-,81
"S00169464",101,3,99
"S00169465",133,5,128
"S00169466",101,5,96
"S00169467",98,3,95
"S00169468",113,-,113
"S00169469",114,1,113
"S00169470",85,4,80
"S00169471",94,-,94
"S00169472",102,3,102
"S00169473",110,2,109
"S00169474",171,4,165
"S00169475",107,2,101
"S00169476",122,4,118
"S00169477",93,4,91
"S00169478",115,2,113
"S00169479",78,-,78
"S00169480",110,3,104
"S00169481",225,8,216
"S00169482",107,3,101
"S00169483",110,8,102
"S00169484",112,5,107
"S00169485",89,2,87
"S00169486",98,2,92
"S00169487",63,-,62
"S00169488",106,4,102
"S00169489",105,-,103
"S00169490",86,-,85
"S00169491",77,-,77
"S00169492",106,1,103
"S00169493",172,5,171
"S00169494",67,5,62
"S00169495",117,4,114
"S00169496",52,2,50
"S00169497",111,6,105
"S00169498",142,6,136
"S00169499",91,2,89
"S00169500",91,4,87
"S00169501",85,1,84
"S00169502",70,1,67
"S00169503",70,4,66
"S00169504",66,1,69
"S00169505",616,30,586
"S00169506",92,-,92
"S00169507",88,-,88
"S00169508",152,1,151
"S00169509",69,3,67
"S00169510",159,4,155
"S00169511",135,3,132
"S00169512",55,2,54
"S00169513",95,5,89
"S00169514",141,4,136
"S00169515",69,3,67
"S00169516",108,-,106
"S00169517",60,4,56
"S00169518",88,2,87
"S00169519",136,3,133
"S00169520",84,3,81
"S00169521",173,6,167
"S00169522",79,-,79
"S00169523",48,1,47
"S00169524",147,10,137
"S00169525",81,3,78
"S00169526",75,3,71
"S00169527",68,1,67
"S00169528",118,2,117
"S00169529",69,4,65
"S00169530",100,3,97
"S00169531",116,6,106
"S00169532",113,-,112
"S00169533",104,5,99
"S00169534",100,2,98
"S00169535",70,3,67
"S00169536",129,3,126
"S00169537",124,2,122
"S00169538",82,1,81
"S00169539",77,2,75
"S00169540",67,4,63
"S00169541",62,2,59
"S00169542",92,3,87
"S00169543",63,1,62
"S00169544",106,7,95
"S00169545",70,-,65
"S00169546",61,5,58
"S00169547",92,1,91
"S00169548",78,2,76
"S00169549",59,6,55
"S00169550",89,3,86
"S00169551",89,5,84
"S00169552",80,2,78
"S00169553",143,3,138
"S00169554",66,-,66
"S00169555",147,2,145
"S00169556",77,5,68
"S00169557",94,5,91
"S00169558",121,2,119
"S00169559",87,5,79
"S00169560",67,5,64
"S00169561",90,1,90
"S00169562",90,3,87
"S00169563",62,2,60
"S00169564",83,4,79
"S00169565",92,3,89
"S00169566",62,-,62
"S00169567",98,2,96
"S00169568",114,5,109
"S00169569",78,3,76
"S00169570",67,-,67
"S00169571",65,1,64
"S00169572",102,8,97
"S00169573",64,1,63
"S00169574",110,6,107
"S00169575",91,3,86
"S00169576",89,4,85
"S00169577",79,3,76
"S00169578",83,1,82
"S00169579",53,3,50
"S00169580",76,3,73
"S00169581",58,1,57
"S00169582",95,1,94
"S00169583",98,-,98
"S00169584",90,4,88
"S00169585",117,-,117
"S00169586",101,2,99
"S00169587",128,6,123
"S00169588",116,3,113
"S00169589",58,2,55
"S00169590",100,-,98
"S00169591",130,4,126
"S00169592",103,1,102
"S00169593",100,2,98
"S00169594",99,-,97
"S00169595",87,4,84
"S00169596",65,2,62
"S00169597",82,2,80
"S00169598",68,3,65
"S00169599",116,4,112
"S00169600",71,4,67
"S00169601",149,4,143
"S00169602",120,3,117
"S00169603",70,1,69
"S00169604",58,1,57
"S00169605",71,1,70
"S00169606",161,6,156
"S00169607",51,-,49
"S00169608",58,1,57
"S00169609",92,-,92
"S00169610",85,3,82
"S00169611",103,-,97
"S00169612",80,-,80
"S00169613",105,3,99
"S00169614",78,5,69
"S00169615",135,-,135
"S00169616",74,6,66
"S00169617",86,-,85
"S00169618",68,5,64
"S00169619",66,-,66
"S00169620",116,-,116
"S00169621",86,3,79
"S00169622",139,4,135
"S00169623",73,1,72
"S00169624",152,5,149
"S00169625",161,5,160
"S00169626",62,-,61
"S00169627",88,1,87
"S00169628",86,3,83
"S00169629",142,7,135
"S00169630",65,3,65
"S00169631",71,6,65
"S00169632",76,3,74
"S00169633",91,3,88
"S00169634",84,1,83
"S00169635",96,-,96
"S00169636",128,2,125
"S00169637",60,2,56
"S00169638",96,-,96
"S00169639",66,3,63
"S00169640",108,5,103
"S00169641",59,2,57
"S00169642",141,3,139
"S00169643",74,1,73
"S00169644",84,2,86
"S00169645",114,2,111
"S00169646",137,6,131
"S00169647",119,2,117
"S00169648",49,5,46
"S00169649",79,3,76
"S00169650",52,1,51
"S00169651",91,3,84
"S00169652",67,1,66
"S00169653",123,1,122
"S00169654",137,1,136
"S00169655",104,4,100
"S00169656",61,-,61
"S00169657",55,2,53
"S00169658",92,4,87
"S00169659",81,2,77
"S00169660",130,4,126
"S00169661",63,2,61
"S00169662",94,4,90
"S00169663",171,2,169
"S00169664",92,2,91
"S00169665",129,2,127
"S00169666",106,-,106
"S00169667",99,4,96
"S00169668",107,4,101
"S00169669",99,3,96
"S00169670",142,5,137
"S00169671",109,2,107
"S00169672",60,-,58
"S00169673",63,-,63
"S00169674",57,-,57
"S00169675",133,-,133
"S00169676",97,6,92
"S00169677",80,2,79
"S00169678",109,3,109
"S00169679",127,7,120
"S00169680",100,2,98
"S00169681",129,4,125
"S00169682",75,8,69
"S00169683",111,4,114
"S00169684",73,1,72
"S00169685",75,3,73
"S00169686",152,4,150
"S00169687",76,2,75
"S00169688",55,3,52
"S00169689",79,5,74
"S00169690",79,5,74
"S00169691",69,2,68
"S00169692",109,1,109
"S00169693",123,4,119
"S00169694",132,4,131
"S00169695",86,1,85
"S00169696",125,7,120
"S00169697",75,2,73
"S00169698",79,4,72
"S00169699",89,5,84
"S00169700",160,7,153
"S00169701",94,-,94
"S00169702",98,3,95
"S00169703",69,6,65
"S00169704",75,1,74
"S00169705",66,1,63
"S00169706",82,2,80
"S00169707",93,3,90
"S00169708",80,3,77
"S00169709",80,3,79
"S00169710",74,2,72
"S00169711",75,6,67
"S00169712",132,7,125
"S00169713",97,5,94
"S00169714",102,3,101
"S00169715",67,3,62
"S00169716",66,2,63
"S00169717",86,4,82
"S00169718",89,6,83
"S00169719",109,3,106
"S00169720",125,4,121
"S00169721",84,2,82
"S00169722",67,1,66
"S00169723",58,3,55
"S00169724",75,3,72
"S00169725",116,4,114
"S00169726",123,3,120
"S00169727",69,4,66
"S00169728",142,-,142
"S00169729",74,2,72
"S00169730",109,-,108
"S00169731",112,2,110
"S00169732",114,2,112
"S00169733",109,4,103
"S00169734",106,5,99
"S00169735",125,6,119
"S00169736",107,4,102
"S00169737",123,2,121
"S00169738",102,4,97
"S00169739",56,3,53
"S00169740",103,2,101
"S00169741",86,4,79
"S00169742",68,4,65
"S00169743",87,-,87
"S00169744",117,1,116
"S00169745",63,2,61
"S00169746",76,1,70
"S00169747",89,4,90
"S00169748",81,-,81
"S00169749",75,4,71
"S00169750",121,1,120
"S00169751",86,5,81
"S00169752",137,2,131
"S00169753",83,2,81
"S00169754",105,3,102
"S00169755",96,4,92
"S00169756",86,4,82
"S00169757",130,3,127
"S00169758",77,-,77
"S00169759",87,-,87
"S00169760",67,7,60
"S00169761",60,-,59
"S00169762",134,2,133
"S00169763",102,4,99
"S00169764",64,3,61
"S00169765",51,2,45
"S00169766",91,6,85
"S00169767",124,1,123
"S00169768",101,2,96
"S00169769",104,3,102
"S00169770",95,7,91
"S00169771",117,3,114
"S00169772",97,-,95
"S00169773",100,-,99
"S00169774",108,4,106
"S00169775",81,2,79
"S00169776",133,-,131
"S00169777",107,2,103
"S00169778",145,4,138
"S00169779",99,2,97
"S00169780",102,2,101
"S00169781",120,4,120
"S00169782",57,-,57
"S00169783",141,3,138
"S00169784",132,3,129
"S00169785",121,1,120
"S00169786",66,4,57
"S00169787",107,3,104
"S00169788",72,1,71
"S00169789",102,2,100
"S00169790",85,3,82
"S00169791",73,4,67
"S00169792",79,-,79
"S00169793",96,2,94
"S00169794",83,2,79
"S00169795",117,-,117
"S00169796",70,2,65
"S00169797",88,3,85
"S00169798",117,5,115
"S00169799",137,6,131
"S00169800",115,5,113
"S00169801",101,-,101
"S00169802",67,2,65
"S00169803",83,1,82
"S00169804",82,2,81
"S00169805",100,4,96
"S00169806",91,3,89
"S00169807",104,4,100
"S00169808",79,3,76
"S00169809",62,2,60
"S00169810",103,1,100
"S00169811",55,-,55
"S00169812",131,4,127
"S00169813",60,1,59
"S00169814",56,7,53
"S00169815",72,1,71
"S00169816",101,1,96
"S00169817",120,4,116
"S00169818",115,5,110
"S00169819",154,5,147
"S00169820",85,-,85
"S00169821",54,4,50
"S00169822",91,-,91
"S00169823",72,3,70
"S00169824",143,5,142
"S00169825",66,1,65
"S00169826",76,-,76
"S00169827",146,6,140
"S00169828",105,5,101
"S00169829",129,7,123
"S00169830",45,3,46
"S00169831",75,1,74
"S00169832",85,-,85
"S00169833",114,9,105
"S00169834",94,-,93
"S00169835",58,-,58
"S00169836",60,4,58
"S00169837",57,2,54
"S00169838",69,2,68
"S00169839",128,1,123
"S00169840",109,3,105
"S00169841",104,-,104
"S00169842",58,5,56
"S00169843",58,1,57
"S00169844",74,2,74
"S00169845",62,1,61
"S00169846",168,4,164
"S00169847",74,1,73
"S00169848",88,4,84
"S00169849",82,2,80
"S00169850",81,-,81
"S00169851",67,-,67
"S00169852",91,-,91
"S00169853",77,3,78
"S00169854",97,2,95
"S00169855",105,2,100
"S00169856",72,-,72
"S00169857",131,5,126
"S00169858",77,-,77
"S00169859",115,-,115
"S00169860",60,-,60
"S00169861",132,2,130
"S00169862",112,1,111
"S00169863",58,5,59
"S00169864",66,-,66
"S00169865",52,3,49
"S00169866",105,2,104
"S00169867",130,3,128
"S00169868",99,3,96
"S00169869",94,-,93
"S00169870",112,4,107
"S00169871",85,3,82
"S00169872",60,3,57
"S00169873",99,-,98
"S00169874",64,1,63
"S00169875",67,1,66
"S00169876",69,1,70
"S00169877",97,2,91
"S00169878",107,-,107
"S00169879",86,7,79
"S00169880",176,5,171
"S00169881",154,2,152
"S00169882",111,-,109
"S00169883",96,2,94
"S00169884",64,-,62
"S00169885",112,2,108
"S00169886",102,1,100
"S00169887",105,1,100
"S00169888",148,3,146
"S00169889",90,1,89
"S00169890",165,4,161
"S00169891",126,2,124
"S00169892",134,2,132
"S00169893",103,2,101
"S00169894",65,2,63
"S00169895",78,2,76
"S00169896",90,2,91
"S00169897",72,6,66
"S00169898",55,2,54
"S00169899",98,6,95
"S00169900",57,4,54
"S00169901",73,1,73
"S00169902",103,4,101
"S00169903",91,5,90
"S00169904",102,2,100
"S00169905",101,2,99
"S00169906",84,5,79
"S00169907",111,-,107
"S00169908",67,5,60
"S00169909",87,2,89
"S00169910",92,1,91
"S00169911",60,5,55
"S00169912",84,-,84
"S00169913",87,1,86
"S00169914",88,3,81
"S00169915",114,-,114
"S00169916",98,2,99
"S00169917",171,2,169
"S00169918",147,1,146
"S00169919",78,-,78
"S00169920",60,3,58
"S00169921",125,1,122
"S00169922",69,8,61
"S00169923",75,2,73
"S00169924",64,2,58
"S00169925",96,3,93
"S00169926",88,-,88
"S00169927",71,4,67
"S00169928",144,4,140
"S00169929",58,2,56
"S00169930",108,-,106
"S00169931",129,3,127
"S00169932",169,4,165
"S00169933",60,1,61
"S00169934",75,-,74
"S00169935",76,2,71
"S00169936",82,1,81
"S00169937",99,5,94
"S00169938",131,3,128
"S00169939",87,1,86
"S00169940",64,-,64
"S00169941",72,2,70
"S00169942",54,-,54
"S00169943",112,2,110
"S00169944",148,1,147
"S00169945",72,-,72
"S00169946",110,1,109
"S00169947",115,1,111
"S00169948",88,2,87
"S00169949",68,1,65
"S00169950",99,4,99
"S00169951",128,6,126
"S00169952",48,-,49
"S00169953",107,-,107
"S00169954",100,-,101
"S00169955",83,10,76
"S00169956",175,6,173
"S00169957",100,3,97
"S00169958",64,4,62
"S00169959",148,3,141
"S00169960",212,6,206
"S00169961",59,6,46
"S00169962",143,3,140
"S00169963",78,3,76
"S00169964",101,-,100
"S00169965",65,-,65
"S00169966",52,3,50
"S00169967",68,-,63
"S00169968",137,7,126
"S00169969",151,1,152
"S00169970",99,4,94
"S00169971",101,-,101
"S00169972",105,5,100
"S00169973",102,-,102
"S00169974",71,2,67
"S00169975",130,2,128
"S00169976",95,2,93
"S00169977",104,1,102
"S00169978",160,4,154
"S00169979",127,4,123
"S00169980",60,2,60
"S00169981",113,4,109
"S00169982",110,7,103
"S00169983",86,-,86
"S00169984",65,2,61
"S00169985",56,1,55
"S00169986",57,-,52
"S00169987",116,4,114
"S00169988",198,2,196
"S00169989",88,3,85
"S00169990",159,5,154
"S00169991",105,6,99
"S00169992",122,3,116
"S00169993",136,6,130
"S00169994",165,7,158
"S00169995",119,3,113
"S00169996",69,6,63
"S00169997",99,3,96
"S00169998",127,1,122
"S00169999",127,1,126
"S00170000",90,-,90
"S00170001",103,4,99
"S00170002",160,3,160
"S00170003",76,2,74
"S00170004",135,4,129
"S00170005",70,2,69
"S00170006",126,5,121
"S00170007",87,4,83
"S00170008",122,-,122
"S00170009",74,-,74
"S00170010",86,-,86
"S00170011",108,4,101
"S00170012",97,-,97
"S00170013",165,1,164
"S00170014",84,2,82
"S00170015",116,2,114
"S00170016",106,-,106
"S00170017",81,2,79
"S00170018",55,-,54
"S00170019",94,3,91
"S00170020",103,-,102
"S00170021",76,2,74
"S00170022",113,-,108
"S00170023",92,3,90
"S00170024",107,2,108
"S00170025",102,3,99
"S00170026",71,3,69
"S00170027",125,5,120
"S00170028",105,2,103
"S00170029",85,3,83
"S00170030",89,3,87
"S00170031",81,2,77
"S00170032",65,2,63
"S00170033",97,2,95
"S00170034",80,5,75
"S00170035",86,3,84
"S00170036",122,6,114
"S00170037",109,-,109
"S00170038",83,4,81
"S00170039",95,2,94
"S00170040",53,1,52
"S00170041",96,2,94
"S00170042",101,4,99
"S00170043",89,4,84
"S00170044",152,5,147
